訓練日期,20110824 - 20111123
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11207448.700000001117587
真實報酬,1207448.700000001117587

夏普值報酬,0.112044870000000
夏普值風險,0.060796257356628
夏普值,1.842956702790942

預期報酬,32713.648665136402997
風險,270017.918243570544291
趨勢值,0.121153621500137
找到最佳解世代,1509
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](2),IBM[10](3),INTC[11](1),
Stock#,CSCO[4](2),IBM[10](3),INTC[11](1),
張數,215889,20285,169118,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,6.840000000316650,101.800000000279397,17.219999999739230,
20110824,3337650.780000000726432,3382828.399999999906868,3348553.619999999646097,10069033.800000000745058
20110825,3255612.960000000428408,3358892.100000000558794,3284288.779999999795109,9898794.839999999850988
20110826,3307426.320000000298023,3431106.700000000186265,3343480.079999999608845,10082014.099999999627471
20110829,3398099.700000000186265,3501698.500000000465661,3433112.619999999646097,10332911.820000000298023
20110830,3374351.910000000614673,3499467.149999999906868,3422965.539999999571592,10296785.599999999627471
20110831,3382987.470000000204891,3487296.150000000372529,3404362.559999999590218,10274647.179999999701977
20110901,3415370.820000000298023,3455245.850000000558794,3380686.039999999571592,10251303.710000000894070
20110902,3326856.330000000540167,3387291.100000000093132,3321494.739999999757856,10035643.169999999925494
20110906,3298790.760000000242144,3349358.150000000372529,3304582.939999999478459,9952732.849999999627471
20110907,3428324.160000000614673,3393985.150000000372529,3395906.659999999683350,10218216.970000000670552
20110908,3516838.649999999906868,3352198.050000000279397,3365465.419999999459833,10234503.119999999180436
20110909,3415370.820000000298023,3273492.250000000465661,3331641.819999999832362,10020505.890000000596046
20110912,3473660.850000000093132,3294791.500000000000000,3429730.259999999776483,10198183.609999999403954
20110913,3529791.990000000689179,3315279.350000000558794,3510906.899999999906868,10355979.240000002086163
20110914,3525474.209999999962747,3392565.200000000651926,3571789.379999999888241,10489829.789999999105930
20110915,3598876.470000000670552,3450377.450000000186265,3642818.939999999478459,10692073.859999999403954
20110916,3588082.020000000484288,3509203.950000000651926,3715539.679999999701977,10812826.650000000372529
20110919,3564334.230000000447035,3512043.850000000093132,3708774.959999999497086,10785154.039999999105930
20110920,3568652.010000000707805,3544297.000000000465661,3754436.819999999832362,10867386.830000001937151
20110921,3419688.600000000093132,3509812.500000000465661,3710466.140000000130385,10639968.240000000223517
20110922,3309585.210000000428408,3420558.500000000465661,3656348.379999999888241,10386493.089999999850988
20110923,3370034.130000000353903,3435163.700000000186265,3747672.099999999627471,10552870.929999999701977
20110926,3452071.950000000186265,3540037.149999999906868,3761201.539999999571592,10753311.639999998733401
20110927,3469343.070000000298023,3604949.150000000372529,3811936.939999999478459,10886230.160000000149012
20110928,3419688.600000000093132,3601703.550000000279397,3773039.799999999348074,10794432.949999999254942
20110929,3421847.490000000223517,3634565.250000000000000,3756128.000000000000000,10812541.740000000223517
20110930,3346286.340000000316650,3547339.750000000465661,3608995.339999999850988,10502622.429999999701977
20111003,3279360.750000000000000,3515289.450000000186265,3487230.379999999888241,10281881.580000000074506
20111004,3363557.460000000428408,3544702.700000000651926,3588701.179999999701977,10496962.339999999850988
