訓練日期,20091105 - 20100209
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12134185.899999998509884
真實報酬,2134185.899999998509884

夏普值報酬,0.204718590000000
夏普值風險,0.062572425952532
夏普值,3.271706137065897

預期報酬,40630.527759568671172
風險,292700.242380739073269
趨勢值,0.138812757478749
找到最佳解世代,2008
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),UNH[23](2),
Stock#,BA[2](1),UNH[23](2),
張數,104014,179404,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,47.019999999552965,10.519999999552965,
20091105,5176823.799999999813735,5060997.359999999403954,10237821.160000000149012
20091106,5167462.539999999105930,5143523.200000000186265,10310985.739999998360872
20091109,5341165.919999999925494,5226049.039999999105930,10567214.959999999031425
20091110,5234031.500000000000000,5197344.399999999441206,10431375.899999998509884
20091111,5271476.539999999105930,5269106.000000000000000,10540582.539999999105930
20091112,5229870.939999999478459,5159669.559999999590218,10389540.500000000000000
20091113,5271476.539999999105930,5217078.839999998919666,10488555.379999998956919
20091116,5458701.739999999292195,5229637.119999999180436,10688338.859999999403954
20091117,5463902.439999999478459,5197344.399999999441206,10661246.839999999850988
20091118,5410855.299999999813735,5179404.000000000000000,10590259.300000000745058
20091119,5349487.039999999105930,5136347.039999999105930,10485834.079999998211861
20091120,5377570.820000000298023,5123788.759999999776483,10501359.580000000074506
20091123,5474303.839999999850988,5217078.839999998919666,10691382.679999999701977
20091124,5405654.599999999627471,5303192.759999999776483,10708847.359999999403954
20091125,5505508.039999999105930,5299604.679999999701977,10805112.719999998807907
20091127,5455581.320000000298023,5281664.279999999329448,10737245.599999999627471
20091130,5451420.759999998845160,5143523.200000000186265,10594943.959999999031425
20091201,5587679.099999999627471,5148905.319999999366701,10736584.419999998062849
20091202,5593919.939999999478459,5075349.679999999701977,10669269.619999999180436
20091203,5592879.799999999813735,4903121.839999998919666,10496001.639999998733401
20091204,5687532.539999999105930,4926444.359999999403954,10613976.899999998509884
20091207,5806108.500000000000000,5077143.719999999739230,10883252.219999998807907
20091208,5789466.259999998845160,5105848.359999999403954,10895314.619999997317791
20091209,5769703.599999999627471,5113024.519999999552965,10882728.119999999180436
20091210,5721857.159999999217689,5437745.759999999776483,11159602.919999998062849
20091211,5783225.419999999925494,5468244.439999999478459,11251469.859999999403954
20091214,5830031.719999998807907,5552564.319999999366701,11382596.039999999105930
20091215,5790506.399999999441206,5618943.799999999813735,11409450.199999999254942
20091216,5734338.839999999850988,5776819.320000000298023,11511158.160000000149012
20091217,5665689.599999999627471,5708645.799999999813735,11374335.399999998509884
20091218,5558555.179999999701977,5658412.679999999701977,11216967.859999999403954
20091221,5648007.219999998807907,5771437.200000000186265,11419444.419999998062849
20091222,5731218.419999999925494,5798347.799999999813735,11529566.219999998807907
20091223,5716656.459999999962747,5672765.000000000000000,11389421.460000000894070
20091224,5770743.739999999292195,5683529.239999999292195,11454272.979999998584390
20091228,5735378.979999999515712,5631502.080000000074506,11366881.059999998658895
20091229,5742659.959999999962747,5534623.919999999925494,11277283.879999998956919
20091230,5716656.459999999962747,5563328.559999999590218,11279985.019999999552965
20091231,5630324.839999999850988,5468244.439999999478459,11098569.279999999329448
20100104,5843553.539999999105930,5656618.639999999664724,11500172.179999999701977
20100105,6034939.299999999813735,5647648.439999999478459,11682587.739999998360872
20100106,6218003.939999999478459,5703263.679999999701977,11921267.619999999180436
20100107,6469717.820000000298023,5922136.559999999590218,12391854.379999998956919
20100108,6407309.419999999925494,5866521.320000000298023,12273830.740000000223517
20100111,6331379.199999999254942,5905990.200000000186265,12237369.399999998509884
20100112,6285613.039999999105930,5749908.719999998807907,12035521.759999997913837
20100113,6361543.259999998845160,5837816.679999999701977,12199359.939999997615814
20100114,6403148.859999999403954,5977751.799999999813735,12380900.660000000149012
20100115,6326178.500000000000000,6054895.519999999552965,12381074.019999999552965
20100119,6308496.119999999180436,6302473.040000000037253,12610969.160000000149012
20100120,6261689.820000000298023,6198418.719999998807907,12460108.539999999105930
20100121,6157675.820000000298023,5938282.919999999925494,12095958.740000000223517
20100122,6008935.799999999813735,5949047.159999999217689,11957982.959999999031425
20100125,6009975.939999999478459,5920342.519999999552965,11930318.459999999031425
20100126,6002694.959999999962747,5819876.279999999329448,11822571.239999998360872
20100127,6441634.039999999105930,5963399.479999999515712,12405033.519999999552965
20100128,6507162.859999999403954,5997486.239999999292195,12504649.099999997764826
20100129,6303295.419999999925494,5920342.519999999552965,12223637.939999999478459
20100201,6417710.820000000298023,5943665.040000000037253,12361375.859999999403954
20100202,6442674.179999999701977,6108716.719999998807907,12551390.899999998509884
20100203,6392747.459999999962747,5977751.799999999813735,12370499.259999999776483
20100204,6170157.500000000000000,5823464.359999999403954,11993621.859999999403954
20100205,6074464.619999999180436,5837816.679999999701977,11912281.299999998882413
20100208,6021417.479999999515712,5814494.159999999217689,11835911.639999998733401
20100209,6213843.379999999888241,5920342.519999999552965,12134185.899999998509884
