訓練日期,20160504 - 20160804
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11049636.060000000521541
真實報酬,1049636.060000000521541

夏普值報酬,0.096263606000000
夏普值風險,0.035385155400283
夏普值,2.720451695380419

預期報酬,18419.054221640955802
風險,100793.169896472012624
趨勢值,0.182741094863469
找到最佳解世代,2112
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CSCO[4](3),IBM[10](5),JNJ[12](1),VZ[26](10),WMT[28](2),
Stock#,CSCO[4](3),IBM[10](5),JNJ[12](1),VZ[26](10),WMT[28](2),
張數,74460,13876,17747,39463,29850,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,4.400000000139698,52.120000000111759,90.570000000065193,15.159999999916181,50.000000000000000,
20160504,1968726.800000000279397,2001665.120000000111759,1991658.910000000149012,2006314.080000000074506,2005671.500000000000000,9974036.410000000149012
20160505,1951601.000000000232831,2032469.840000000083819,2003371.929999999934807,2006314.080000000074506,2006268.499999999767169,10000025.349999999627471
20160506,1975428.200000000186265,2043848.159999999916181,2000887.349999999860302,2017363.719999999739230,2037312.500000000000000,10074839.929999999701977
20160509,1973939.000000000232831,2044541.960000000195578,2018279.410000000149012,2015785.199999999953434,2058207.500000000000000,10110753.070000000298023
20160510,2012658.200000000186265,2081035.840000000083819,2035139.060000000055879,2033938.179999999934807,2053431.500000000232831,10216202.779999999329448
20160511,1988086.400000000139698,2066882.320000000065193,2029814.960000000195578,2018547.609999999869615,1982388.500000000000000,10085719.790000000968575
20160512,1985852.600000000325963,2065355.960000000195578,2027330.380000000121072,2031175.769999999785796,1995522.499999999767169,10105237.209999999031425
20160513,1975428.200000000186265,2049814.840000000083819,2015439.890000000130385,2010260.379999999888241,1938509.000000000000000,9989452.309999998658895
20160516,2008190.600000000093132,2073959.080000000307336,2031057.250000000000000,2021704.649999999906868,1970746.999999999767169,10105658.580000000074506
20160517,1984363.400000000139698,2053700.120000000111759,2020231.580000000074506,2008681.859999999869615,1943284.999999999767169,10010261.960000000894070
20160518,1989575.600000000093132,2044541.960000000195578,2015972.300000000046566,1988555.729999999981374,1885077.500000000000000,9923723.089999999850988
20160519,2052866.600000000093132,2011100.800000000279397,2002839.520000000018626,1958563.850000000093132,2065670.000000000000000,10091040.769999999552965
20160520,2082650.600000000093132,2043293.120000000111759,1999112.650000000139698,1959747.739999999757856,2085371.000000000000000,10170175.109999999403954
20160523,2080416.800000000279397,2036632.640000000363216,1990594.090000000083819,1939226.979999999981374,2074625.000000000000000,10121495.509999999776483
20160524,2119880.599999999627471,2058001.680000000167638,2000000.000000000000000,1956590.699999999953434,2096713.999999999767169,10231186.979999998584390
20160525,2153387.600000000558794,2104902.560000000055879,2011713.020000000018626,1967245.709999999962747,2103878.000000000000000,10341126.890000000596046
20160526,2151898.400000000372529,2115309.560000000055879,2003726.870000000111759,1979479.239999999757856,2114922.500000000000000,10365336.570000000298023
20160527,2153387.600000000558794,2120859.959999999962747,2006566.390000000130385,1997632.219999999739230,2111937.500000000000000,10390383.670000001788139
20160531,2163067.400000000372529,2133348.360000000335276,2000000.000000000000000,2008681.859999999869615,2112833.000000000000000,10417930.620000001043081
20160601,2151898.400000000372529,2116280.879999999888241,2001597.229999999981374,1990134.250000000000000,2104475.000000000000000,10364385.759999999776483
20160602,2165301.200000000186265,2130018.120000000111759,2031944.599999999860302,2003551.669999999925494,2117907.500000000000000,10448723.089999999850988
20160603,2169024.200000000186265,2121553.759999999776483,2036736.290000000270084,2009471.119999999878928,2115519.500000000000000,10452304.870000001043081
20160606,2166790.400000000372529,2119333.600000000093132,2054660.760000000009313,2001183.889999999897555,2120892.500000000000000,10462861.149999998509884
20160607,2164556.600000000558794,2127659.200000000186265,2053950.880000000121072,2042225.409999999916181,2120295.500000000000000,10508687.589999999850988
20160608,2169768.799999999813735,2136956.120000000111759,2055193.169999999925494,2033148.919999999925494,2127758.000000000000000,10522825.009999999776483
20160609,2169768.799999999813735,2128908.040000000037253,2076489.570000000065193,2050118.010000000009313,2122086.500000000000000,10547370.919999999925494
20160610,2161578.200000000186265,2114338.240000000223517,2076667.040000000270084,2078531.369999999878928,2123579.000000000000000,10554693.849999999627471
20160613,2147430.799999999813735,2099213.399999999906868,2072762.700000000186265,2074585.069999999832362,2105370.500000000000000,10499362.469999998807907
20160614,2156366.000000000000000,2096160.680000000167638,2078619.210000000195578,2091159.530000000027940,2117907.500000000000000,10540212.919999999925494
20160615,2133283.400000000372529,2090887.800000000279397,2066018.840000000083819,2085240.080000000074506,2122982.000000000000000,10498412.120000001043081
20160616,2149664.600000000558794,2096160.680000000167638,2070100.650000000139698,2109707.139999999664724,2128355.000000000000000,10553988.070000000298023
20160617,2155621.400000000372529,2109065.360000000335276,2049514.130000000121072,2122335.299999999813735,2117907.500000000000000,10554443.690000001341105
20160620,2144452.400000000372529,2131544.480000000447035,2068325.950000000186265,2121546.040000000037253,2122385.000000000000000,10588253.870000001043081
20160621,2142218.600000000558794,2137649.920000000391155,2061937.030000000260770,2134963.459999999962747,2133131.000000000000000,10609900.010000001639128
20160622,2138495.599999999627471,2121970.040000000037253,2066906.189999999944121,2132201.049999999813735,2141787.500000000000000,10601360.379999998956919
20160623,2175725.599999999627471,2155688.720000000204891,2083233.429999999934807,2157457.370000000111759,2152235.000000000000000,10724340.120000001043081
20160624,2066269.400000000139698,2034134.960000000195578,2052176.179999999934807,2147986.250000000000000,2148056.000000000000000,10448622.789999999105930
20160627,2033507.000000000000000,1991258.120000000111759,2068503.419999999925494,2160219.780000000260770,2134325.000000000000000,10387813.320000000298023
20160628,2069247.800000000046566,2021785.320000000065193,2098318.379999999888241,2163376.820000000298023,2134623.500000000000000,10487351.820000000298023
20160629,2104244.000000000000000,2060083.080000000307336,2117840.080000000074506,2172847.940000000409782,2162981.000000000000000,10617996.100000001490116
20160630,2136261.799999999813735,2106151.399999999906868,2152801.669999999925494,2203629.080000000074506,2179697.000000000000000,10778540.949999999254942
20160701,2144452.400000000372529,2114060.720000000204891,2152624.200000000186265,2219019.649999999441206,2173428.500000000000000,10803585.470000000670552
20160705,2109456.200000000186265,2104763.800000000279397,2170016.259999999776483,2230858.549999999813735,2183279.000000000000000,10798373.809999998658895
20160706,2138495.599999999627471,2114338.240000000223517,2176582.650000000372529,2220203.540000000037253,2203577.000000000000000,10853197.030000001192093
20160707,2139984.799999999813735,2117529.720000000204891,2174275.540000000037253,2185476.099999999627471,2194920.500000000000000,10812186.660000000149012
20160708,2178704.000000000000000,2143339.080000000074506,2180309.519999999552965,2205996.859999999403954,2204174.000000000000000,10912523.459999999031425
20160711,2191362.200000000186265,2155411.200000000186265,2181729.280000000260770,2207180.750000000000000,2210741.000000000000000,10946424.429999999701977
20160712,2204765.000000000000000,2179139.160000000149012,2181551.810000000521541,2189027.769999999552965,2187159.500000000000000,10941643.240000000223517
20160713,2215189.400000000372529,2192737.640000000130385,2182971.570000000298023,2209943.160000000149012,2197607.000000000000000,10998448.770000001415610
20160714,2215934.000000000000000,2224097.399999999906868,2186166.030000000260770,2203629.080000000074506,2199995.000000000000000,11029821.510000001639128
20160715,2220401.600000000558794,2217159.399999999906868,2182971.570000000298023,2203629.080000000074506,2199099.500000000000000,11023261.150000000372529
20160718,2227103.000000000000000,2218269.480000000447035,2185456.150000000372529,2207180.750000000000000,2204174.000000000000000,11042183.380000000819564
20160719,2227847.600000000558794,2214384.200000000186265,2222902.320000000298023,2198104.259999999776483,2198801.000000000000000,11062039.380000000819564
20160720,2280714.200000000186265,2239083.480000000447035,2220950.150000000372529,2194947.219999999739230,2202681.500000000000000,11138376.550000000745058
