訓練日期,20120203 - 20120507
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11475099.399999998509884
真實報酬,1475099.399999998509884

夏普值報酬,0.138809940000000
夏普值風險,0.041697947483684
夏普值,3.328939393343381

預期報酬,23846.434076229084894
風險,84803.014860743263853
趨勢值,0.281197951692965
找到最佳解世代,2174
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),KO[14](3),
Stock#,HD[9](1),KO[14](3),
張數,112460,147405,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,28.399999999441206,22.399999999441206,
20120203,5079846.599999999627471,5017688.599999999627471,10097535.199999999254942
20120206,5083220.399999999441206,5014740.500000000000000,10097960.899999998509884
20120207,5112460.000000000000000,5053065.799999999813735,10165525.800000000745058
20120208,5079846.599999999627471,5036851.250000000000000,10116697.849999999627471
20120209,5091092.599999999627471,5010318.349999999627471,10101410.949999999254942
20120210,5097840.199999999254942,5007370.249999999068677,10105210.449999999254942
20120213,5165316.199999999254942,5044221.499999999068677,10209537.699999999254942
20120214,5179936.000000000000000,5078124.649999999441206,10258060.649999998509884
20120215,5140575.000000000000000,5041273.399999999441206,10181848.399999998509884
20120216,5165316.199999999254942,5075176.549999999813735,10240492.750000000000000
20120217,5253035.000000000000000,5089917.049999999813735,10342952.050000000745058
20120221,5276651.599999999627471,5072228.449999999254942,10348880.049999998882413
20120222,5237290.599999999627471,5104657.549999999813735,10341948.149999998509884
20120223,5280025.399999999441206,5098761.349999999627471,10378786.750000000000000
20120224,5283399.199999999254942,5085494.899999999441206,10368894.099999997764826
20120227,5277776.199999999254942,5073702.500000000000000,10351478.699999999254942
20120228,5311514.199999999254942,5073702.500000000000000,10385216.699999999254942
20120229,5349750.599999999627471,5148879.049999999813735,10498629.649999998509884
20120301,5337380.000000000000000,5129716.399999999441206,10467096.399999998509884
20120302,5331756.999999999068677,5098761.349999999627471,10430518.349999997764826
20120305,5329507.799999999813735,5103183.499999999068677,10432691.299999998882413
20120306,5217047.799999999813735,5067806.299999999813735,10284854.099999999627471
20120307,5329507.799999999813735,5070754.399999999441206,10400262.199999999254942
20120308,5377865.599999999627471,5106131.599999999627471,10483997.199999999254942
20120309,5409354.399999999441206,5123820.199999999254942,10533174.599999997764826
20120312,5464459.799999999813735,5170989.799999998882413,10635449.599999997764826
20120313,5526312.799999999813735,5178360.049999999813735,10704672.849999999627471
20120314,5563424.599999999627471,5175411.949999999254942,10738836.549999998882413
20120315,5533060.399999999441206,5184256.250000000000000,10717316.649999998509884
20120316,5516191.399999999441206,5170989.799999998882413,10687181.199999999254942
20120319,5491450.199999999254942,5188678.399999999441206,10680128.599999997764826
20120320,5553303.200000000186265,5203418.899999999441206,10756722.099999999627471
20120321,5599411.799999998882413,5241744.200000000186265,10841156.000000000000000
20120322,5587041.199999999254942,5263854.949999999254942,10850896.149999998509884
20120323,5571296.799999998882413,5268277.099999999627471,10839573.899999998509884
20120326,5637648.200000000186265,5299232.149999999441206,10936880.349999999627471
20120327,5627526.799999998882413,5297758.099999998696148,10925284.899999998509884
20120328,5612906.999999999068677,5355246.049999998882413,10968153.049999997019768
20120329,5612906.999999999068677,5440740.949999999254942,11053647.949999999254942
20120330,5657891.000000000000000,5455481.449999999254942,11113372.449999999254942
20120402,5621903.799999999813735,5464325.749999999068677,11086229.549999998882413
20120403,5623028.399999999441206,5436318.799999999813735,11059347.199999999254942
20120404,5606159.399999999441206,5414208.049999998882413,11020367.449999999254942
20120405,5692753.599999998696148,5415682.099999999627471,11108435.699999999254942
20120409,5688255.199999999254942,5371460.599999998696148,11059715.799999997019768
20120410,5551053.999999999068677,5308076.449999999254942,10859130.449999999254942
20120411,5594913.399999999441206,5315446.700000000186265,10910360.099999999627471
20120412,5693878.200000000186265,5322816.949999999254942,11016695.149999998509884
20120413,5730990.000000000000000,5302180.249999999068677,11033170.250000000000000
20120416,5813085.799999998882413,5339031.499999999068677,11152117.299999997019768
20120417,5851322.199999999254942,5451059.299999998882413,11302381.499999998137355
20120418,5826581.000000000000000,5467273.849999999627471,11293854.849999999627471
20120419,5798466.000000000000000,5440740.949999999254942,11239206.949999999254942
20120420,5787220.000000000000000,5464325.749999999068677,11251545.750000000000000
20120423,5746734.399999999441206,5431896.649999999441206,11178631.049999998882413
20120424,5761354.199999999254942,5462851.700000000186265,11224205.899999998509884
20120425,5837826.999999999068677,5523287.749999999068677,11361114.749999998137355
20120426,5833328.599999998696148,5579301.649999999441206,11412630.249999998137355
20120427,5842325.399999999441206,5648581.999999999068677,11490907.399999998509884
20120430,5824331.799999998882413,5624997.199999999254942,11449328.999999998137355
20120501,5883935.599999999627471,5670692.749999999068677,11554628.349999997764826
20120502,5927795.000000000000000,5686907.299999998882413,11614702.299999998882413
20120503,5900804.599999999627471,5707543.999999999068677,11608348.599999997764826
20120504,5843450.000000000000000,5675114.899999999441206,11518564.899999998509884
20120507,5779347.799999999813735,5695751.599999999627471,11475099.399999998509884
