訓練日期,20120514 - 20120814
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12066500.640000000596046
真實報酬,2066500.640000000596046

夏普值報酬,0.197950064000000
夏普值風險,0.061260935159243
夏普值,3.231260892205539

預期報酬,36073.005528852816497
風險,134481.873193469917169
趨勢值,0.268236935374607
找到最佳解世代,2060
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](3),WMT[28](1),
Stock#,MRK[17](3),WMT[28](1),
張數,131475,84146,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,5.750000000000000,44.679999999701977,
20120514,5024980.250000000000000,4970548.899999999441206,9995529.149999998509884
20120515,4961872.250000000000000,4994109.780000000260770,9955982.030000001192093
20120516,5026295.000000000000000,4980646.419999999925494,10006941.419999999925494
20120517,5000000.000000000000000,5190169.959999999962747,10190169.960000000894070
20120518,4972390.250000000000000,5253279.459999999962747,10225669.710000000894070
20120521,4943465.750000000000000,5304608.519999999552965,10248074.269999999552965
20120522,4925059.250000000000000,5362669.259999999776483,10287728.509999999776483
20120523,4925059.250000000000000,5362669.259999999776483,10287728.509999999776483
20120524,4943465.750000000000000,5475424.899999999441206,10418890.649999998509884
20120525,4936892.000000000000000,5495619.939999999478459,10432511.939999999478459
20120529,4942151.000000000000000,5526753.959999999962747,10468904.960000000894070
20120530,4917170.750000000000000,5506558.919999999925494,10423729.669999999925494
20120531,4940836.250000000000000,5538534.399999999441206,10479370.649999998509884
20120601,4888246.250000000000000,5515814.979999999515712,10404061.230000000447035
20120604,4925059.250000000000000,5552839.219999998807907,10477898.469999998807907
20120605,4930318.250000000000000,5511607.679999999701977,10441925.929999999701977
20120606,4982908.250000000000000,5547790.459999999962747,10530698.710000000894070
20120607,5039442.500000000000000,5542741.700000000186265,10582184.199999999254942
20120608,5056534.250000000000000,5740484.799999999813735,10797019.050000000745058
20120611,5057849.000000000000000,5682424.059999999590218,10740273.059999998658895
20120612,5107809.500000000000000,5698411.799999999813735,10806221.300000000745058
20120613,5048645.750000000000000,5643716.899999999441206,10692362.649999998509884
20120614,5099921.000000000000000,5690838.659999999217689,10790759.660000000149012
20120615,5119642.250000000000000,5700936.179999999701977,10820578.429999999701977
20120618,5107809.500000000000000,5732070.200000000186265,10839879.699999999254942
20120619,5157770.000000000000000,5705984.939999999478459,10863754.939999999478459
20120620,5155140.500000000000000,5765728.599999999627471,10920869.099999999627471
20120621,5186694.500000000000000,5696728.879999999888241,10883423.379999998956919
20120622,5282671.250000000000000,5663070.479999999515712,10945741.730000000447035
20120625,5230081.250000000000000,5737118.959999999962747,10967200.210000000894070
20120626,5268209.000000000000000,5770777.359999999403954,11038986.359999999403954
20120627,5328687.500000000000000,5771618.820000000298023,11100306.320000000298023
20120628,5348408.750000000000000,5747216.479999999515712,11095625.230000000447035
20120629,5489087.000000000000000,5866703.799999999813735,11355790.800000000745058
20120702,5502234.500000000000000,5835569.779999999329448,11337804.279999999329448
20120703,5496975.500000000000000,5953374.179999999701977,11450349.679999999701977
20120705,5473310.000000000000000,5981142.359999999403954,11454452.359999999403954
20120706,5457533.000000000000000,6004703.239999999292195,11462236.239999998360872
20120709,5539047.500000000000000,6038361.640000000596046,11577409.140000000596046
20120710,5439126.500000000000000,6067812.739999999292195,11506939.239999998360872
20120711,5418090.500000000000000,6080434.640000000596046,11498525.140000000596046
20120712,5641598.000000000000000,6084641.939999999478459,11726239.939999999478459
20120713,5715224.000000000000000,6157848.959999999962747,11873072.960000000894070
20120716,5699447.000000000000000,6141019.759999999776483,11840466.759999999776483
20120717,5809886.000000000000000,6151117.279999999329448,11961003.279999999329448
20120718,5777017.250000000000000,6130080.779999999329448,11907098.029999999329448
20120719,5777017.250000000000000,6019008.059999999590218,11796025.309999998658895
20120720,5707335.500000000000000,6079593.179999999701977,11786928.679999999701977
20120723,5688929.000000000000000,6045934.779999999329448,11734863.779999999329448
20120724,5612673.500000000000000,6070337.120000000111759,11683010.620000001043081
20120725,5603470.250000000000000,6065288.359999999403954,11668758.609999999403954
20120726,5696817.500000000000000,6199080.500000000000000,11895898.000000000000000
20120727,5929528.250000000000000,6270604.599999999627471,12200132.849999999627471
20120730,5848013.750000000000000,6309311.759999999776483,12157325.509999999776483
20120731,5807256.500000000000000,6263031.459999999962747,12070287.960000000894070
20120801,5821718.750000000000000,6194873.200000000186265,12016591.949999999254942
20120802,5773073.000000000000000,6231055.979999999515712,12004128.980000000447035
20120803,5804627.000000000000000,6273128.979999999515712,12077755.980000000447035
20120806,5849328.500000000000000,6250409.559999999590218,12099738.059999998658895
20120807,5784905.750000000000000,6226007.219999998807907,12010912.969999998807907
20120808,5792794.250000000000000,6252933.939999999478459,12045728.189999999478459
20120809,5821718.750000000000000,6214226.779999999329448,12035945.529999999329448
20120810,5859846.500000000000000,6199921.959999999962747,12059768.460000000894070
20120813,5840125.250000000000000,6176361.080000000074506,12016486.330000000074506
20120814,5838810.500000000000000,6227690.140000000596046,12066500.640000000596046
