訓練日期,20141219 - 20150325
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11073050.919999999925494
真實報酬,1073050.919999999925494

夏普值報酬,0.098605092000000
夏普值風險,0.035262361153664
夏普值,2.796326983615939

預期報酬,20455.977482517486351
風險,98871.503019264564500
趨勢值,0.206894573844313
找到最佳解世代,1884
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),MRK[17](17),WBA[27](5),
Stock#,BA[2](2),MRK[17](17),WBA[27](5),
張數,26524,56516,44814,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,61.919999999925494,19.320000000298023,67.680000000167638,
20141219,3348186.439999999944121,3367242.600000000093132,3281796.900000000372529,9997226.940000001341105
20141222,3400969.199999999720603,3332202.680000000167638,3328403.459999999962747,10061576.339999999850988
20141223,3448977.640000000130385,3233299.680000000167638,3428786.820000000298023,10111065.140000000596046
20141224,3481071.680000000167638,3247428.680000000167638,3435957.060000000055879,10164458.419999999925494
20141226,3491416.040000000037253,3265513.800000000279397,3426546.120000000111759,10183476.960000000894070
20141229,3508921.879999999888241,3262688.000000000000000,3441334.740000000223517,10212945.620000001043081
20141230,3496720.840000000316650,3258166.720000000204891,3408172.379999999888241,10163060.940000001341105
20141231,3447651.439999999478459,3209562.960000000428408,3414894.480000000447035,10072109.880000000819564
20150102,3446855.719999999739230,3232169.360000000335276,3405931.680000000167638,10084957.759999999776483
20150105,3422984.120000000111759,3280207.960000000428408,3338710.680000000167638,10041903.759999999776483
20150106,3382667.640000000130385,3409064.440000000409782,3347225.339999999850988,10138958.419999999925494
20150107,3435185.159999999683350,3481970.080000000074506,3432820.080000000074506,10349976.320000000298023
20150108,3495925.120000000111759,3552049.920000000391155,3475393.379999999888241,10523369.420000001788139
20150109,3489028.879999999888241,3535660.280000000260770,3391143.060000000055879,10415833.220000000670552
20150112,3471257.799999999813735,3520966.120000000111759,3392487.480000000447035,10384712.400000000372529
20150113,3479214.999999999534339,3514749.360000000335276,3372769.320000000298023,10366734.679999999701977
20150114,3458261.040000000037253,3540181.560000000521541,3360669.540000000037253,10359113.140000000596046
20150115,3451895.279999999795109,3497229.400000000372529,3351258.600000000093132,10300384.279999999329448
20150116,3468870.640000000130385,3562222.800000000279397,3407276.100000000093132,10438370.540000000968575
20150120,3480541.199999999720603,3538486.080000000074506,3408172.379999999888241,10427200.660000000149012
20150121,3512104.759999999776483,3513053.879999999888241,3387557.940000000409782,10412717.580000000074506
20150122,3597777.279999999795109,3537355.760000000707805,3406827.959999999962747,10541962.000000000000000
20150123,3570722.799999999813735,3531704.160000000614673,3387557.940000000409782,10489985.900000002235174
20150126,3556134.599999999627471,3550354.440000000409782,3398761.440000000409782,10505251.480000000447035
20150127,3513961.439999999478459,3535660.280000000260770,3357980.700000000651926,10407603.419999999925494
20150128,3703873.279999999795109,3472927.520000000484288,3305996.459999999962747,10482798.260000001639128
20150129,3919778.640000000130385,3509097.760000000707805,3341847.659999999683350,10770725.060000000521541
20150130,3855855.799999999813735,3406803.800000000279397,3305100.180000000167638,10567760.779999999329448
20150202,3879462.159999999683350,3440713.400000000372529,3356188.140000000130385,10676364.700000001117587
20150203,3908108.080000000074506,3448625.640000000596046,3351706.740000000223517,10708441.460000000894070
