訓練日期,20121206 - 20130312
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11386977.990000000223517
真實報酬,1386977.990000000223517

夏普值報酬,0.129997799000000
夏普值風險,0.037772149618124
夏普值,3.441630945399617

預期報酬,21792.066115731588070
風險,65352.471800968582102
趨勢值,0.333454351690009
找到最佳解世代,2016
找到最佳解實驗#,21
找到最佳解次數,6

stock[index](rank)
投資組合檔數,5
JNJ[12](6),JPM[13](2),MMM[16](1),NKE[19](11),VZ[26](27),
Stock#,JNJ[12](6),JPM[13](2),MMM[16](1),NKE[19](11),VZ[26](27),
張數,28583,48543,22036,81900,45351,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,47.489999999990687,28.399999999906868,12.639999999897555,1.999999999767169,20.899999999906868,
20121206,2002286.639999999897555,2013106.609999999869615,2004186.839999999850988,2015560.999999999767169,2015872.850000000093132,10051013.939999999478459
20121207,2013719.840000000083819,2066018.479999999981374,2016527.000000000000000,2018836.999999999767169,2014058.809999999823049,10129161.130000000819564
20121210,2018007.289999999804422,2053882.729999999981374,2024459.959999999962747,2008189.999999999767169,1996825.429999999934807,10101365.410000000149012
20121211,2032298.789999999804422,2069901.919999999925494,2064345.120000000111759,2035216.999999999767169,2015419.339999999850988,10217182.169999999925494
20121212,2028297.169999999925494,2076212.510000000009313,2052004.959999999962747,2031121.999999999767169,2031292.189999999944121,10218928.830000000074506
20121213,2022294.739999999990687,2076697.939999999944121,2038342.639999999897555,1992628.999999999534339,2019047.420000000158325,10149011.739999998360872
20121214,2020579.760000000009313,2078154.229999999981374,2033494.719999999972060,1984438.999999999767169,2004988.609999999869615,10121656.320000000298023
20121217,2027725.510000000009313,2110678.039999999571592,2050021.719999999972060,2006551.999999999767169,2000907.019999999785796,10195884.289999999105930
20121218,2028011.340000000083819,2129609.809999999590218,2068091.239999999757856,2025388.999999999767169,1989569.269999999785796,10240670.659999998286366
20121219,2018864.779999999795109,2113105.189999999944121,2049801.359999999869615,2002456.999999999767169,1967347.280000000027940,10151575.609999999403954
20121220,2022294.739999999990687,2161648.189999999944121,2074261.319999999832362,2027026.999999999767169,1986848.209999999962747,10272079.460000000894070
20121221,2008574.899999999906868,2135920.399999999906868,2051564.239999999757856,2152334.000000000000000,1975963.969999999972060,10324357.509999999776483
20121224,2001429.149999999906868,2132036.959999999962747,2053547.479999999748543,2162162.000000000000000,1974603.439999999944121,10323779.029999999329448
20121226,2005716.600000000093132,2133978.680000000167638,2050903.159999999683350,2102375.000000000000000,1970521.850000000093132,10263495.289999999105930
20121227,2003429.960000000195578,2117959.490000000223517,2041427.679999999934807,2119574.000000000000000,1971882.379999999655411,10254273.509999999776483
20121228,1985994.330000000074506,2099027.720000000204891,2022476.719999999972060,2088451.999999999767169,1945578.799999999813735,10141529.570000000298023
20121231,2003715.789999999804422,2134464.109999999869615,2046055.239999999757856,2113022.000000000000000,1962358.670000000158325,10259615.809999998658895
20130102,2024867.210000000195578,2167958.779999999795109,2088584.719999999972060,2122850.000000000000000,2007709.670000000158325,10411970.380000000819564
20130103,2022008.909999999916181,2163589.910000000149012,2086160.760000000009313,2144963.000000000000000,1998185.959999999962747,10414908.539999999105930
20130104,2045161.139999999897555,2201938.879999999888241,2101585.959999999962747,2165438.000000000000000,2009070.199999999720603,10523194.179999999701977
20130107,2040873.690000000176951,2204366.029999999795109,2104230.279999999329448,2168714.000000000000000,2026757.089999999850988,10544941.089999999850988
20130108,2041159.519999999785796,2208734.899999999906868,2104450.639999999664724,2145782.000000000000000,1954649.000000000000000,10454776.059999998658895
20130109,2050306.080000000074506,2207278.609999999869615,2124503.399999999441206,2148239.000000000000000,1950113.899999999906868,10480440.990000000223517
20130110,2063454.260000000009313,2240287.849999999627471,2135080.679999999701977,2152334.000000000000000,1976870.989999999990687,10568027.779999999329448
20130111,2068027.539999999804422,2239802.419999999925494,2121638.719999999739230,2174447.000000000000000,1963719.199999999720603,10567634.879999998956919
20130114,2074029.969999999972060,2227181.240000000223517,2139267.519999999552965,2178542.000000000000000,1931519.989999999990687,10550540.720000000670552
20130115,2068599.200000000186265,2249996.450000000186265,2143895.080000000074506,2196560.000000000000000,1903402.369999999878928,10562453.099999999627471
20130116,2074601.629999999888241,2272811.660000000149012,2150726.240000000223517,2200655.000000000000000,1882540.909999999916181,10581335.440000001341105
20130117,2083748.190000000176951,2254365.319999999832362,2161303.519999999552965,2190008.000000000000000,1910658.530000000027940,10600083.559999998658895
20130118,2093180.580000000074506,2255336.180000000167638,2175847.279999999329448,2182637.000000000000000,1929252.439999999944121,10636253.479999998584390
20130122,2077745.760000000009313,2259219.619999999646097,2188848.519999999552965,2190008.000000000000000,1947392.839999999850988,10663214.739999998360872
20130123,2082319.039999999804422,2244171.289999999571592,2192374.279999999329448,2174447.000000000000000,1940590.189999999944121,10633901.799999998882413
20130124,2089464.789999999804422,2250967.309999999590218,2196340.759999999776483,2205569.000000000000000,1931519.989999999990687,10673861.849999999627471
20130125,2112902.849999999627471,2289316.279999999795109,2216613.879999999888241,2275184.000000000000000,1935148.070000000065193,10829165.079999998211861
