訓練日期,20091014 - 20100115
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11929041.880000000819564
真實報酬,1929041.880000000819564

夏普值報酬,0.184204188000000
夏普值風險,0.056420966023098
夏普值,3.264818045203099

預期報酬,32995.146205092605669
風險,123430.383573395563872
趨勢值,0.267317861695477
找到最佳解世代,1796
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](20),MSFT[18](4),UNH[23](1),V[25](2),VZ[26](10),
Stock#,BA[2](20),MSFT[18](4),UNH[23](1),V[25](2),VZ[26](10),
張數,38535,77489,82338,107123,73719,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,33.500000000000000,8.910000000149012,9.979999999981374,13.589999999850988,3.530000000027940,
20091014,2023506.349999999860302,2011623.350000000325963,2047756.040000000037253,2003213.689999999711290,1994839.669999999925494,10080939.099999999627471
20091015,1994605.099999999860302,2069740.100000000325963,2021407.880000000121072,2010712.299999999813735,2006634.709999999962747,10103100.089999999850988
20091016,2049710.149999999906868,2053467.410000000149012,2013174.079999999841675,1989287.699999999953434,1991890.909999999916181,10097530.250000000000000
20091019,2059729.250000000000000,2042618.950000000186265,2051872.940000000176951,2007498.609999999636784,1996314.049999999813735,10158033.800000000745058
20091020,1999614.649999999906868,2043393.840000000316650,2137504.459999999962747,2009641.070000000065193,1985256.199999999953434,10175410.220000000670552
20091021,1951060.550000000046566,2059666.530000000027940,2068340.540000000037253,2013925.989999999990687,2000737.190000000176951,10093730.800000000745058
20091022,1968015.949999999953434,2060441.420000000158325,2116919.959999999962747,2026780.750000000000000,2000000.000000000000000,10172158.080000000074506
20091023,1922544.649999999906868,2171250.689999999944121,2128447.280000000260770,1985002.780000000027940,1988204.959999999962747,10195450.359999999403954
20091026,1860888.649999999906868,2222393.430000000167638,2083984.759999999776483,1949652.189999999711290,1974198.350000000093132,10091117.379999998956919
20091027,1840079.750000000000000,2215419.419999999925494,2181966.979999999981374,1979646.629999999888241,2012532.229999999981374,10229645.009999999776483
20091028,1819656.199999999953434,2171250.689999999944121,2130917.419999999925494,2050347.809999999823049,2064135.530000000027940,10236307.649999998509884
20091029,1880926.850000000093132,2186748.490000000223517,2179496.839999999850988,2069629.949999999953434,2070770.239999999990687,10387572.369999999180436
20091030,1842006.500000000000000,2148778.880000000353903,2136681.080000000074506,2028923.209999999962747,2039071.070000000065193,10195460.740000000223517
20091102,1860117.950000000186265,2160402.229999999981374,2175379.939999999944121,2069629.949999999953434,2027276.030000000027940,10292806.099999999627471
20091103,1853567.000000000000000,2133281.080000000074506,2215725.560000000055879,2079271.019999999785796,2003685.949999999953434,10285530.609999999403954
20091104,1852410.949999999953434,2174350.250000000000000,2294770.040000000037253,2097481.929999999701977,2005897.520000000018626,10424910.689999999478459
20091105,1917920.450000000186265,2206120.740000000223517,2322764.959999999962747,2131761.289999999571592,2019904.129999999888241,10598471.570000000298023
20091106,1914452.300000000046566,2209995.189999999944121,2360640.439999999944121,2133903.750000000000000,2037596.690000000176951,10656588.369999999180436
20091109,1978805.750000000000000,2246415.020000000018626,2398515.919999999925494,2173539.259999999776483,2079616.520000000018626,10876892.469999998807907
20091110,1939114.699999999953434,2247964.800000000279397,2385341.839999999850988,2171396.799999999813735,2089199.989999999990687,10833018.130000000819564
20091111,1952987.300000000046566,2256488.590000000316650,2418277.040000000037253,2163898.189999999944121,2092148.750000000000000,10883799.870000001043081
20091112,1937573.300000000046566,2275085.950000000186265,2368050.860000000335276,2140331.129999999888241,2078879.330000000074506,10799920.570000000298023
