訓練日期,20100721 - 20101020
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11178078.589999999850988
真實報酬,1178078.589999999850988

夏普值報酬,0.109107859000000
夏普值風險,0.034791673333742
夏普值,3.136033669705248

預期報酬,19818.331997971501551
風險,100295.820830481243320
趨勢值,0.197598781622897
找到最佳解世代,2715
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](4),MRK[17](19),VZ[26](2),
Stock#,MCD[15](4),MRK[17](19),VZ[26](2),
張數,47034,93475,124984,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,33.419999999925494,14.500000000465661,9.719999999739230,
20100721,3297587.159999999683350,3289399.750000000465661,3314585.399999999906868,9901573.310000000521541
20100722,3358261.020000000018626,3288465.000000000465661,3374577.719999999739230,10021304.740000000223517
20100723,3287710.020000000018626,3259487.750000000000000,3502061.399999999906868,10049260.169999999925494
20100726,3333333.000000000000000,3296877.750000000931323,3534557.239999999757856,10164768.990000000223517
20100727,3311227.020000000018626,3288465.000000000465661,3573302.279999999795109,10172995.300000000745058
20100728,3281595.599999999627471,3247336.000000000465661,3613297.159999999683350,10142229.759999999776483
20100729,3263252.339999999850988,3277248.000000000465661,3609547.639999999664724,10150048.980000000447035
20100730,3279714.240000000223517,3221163.000000000465661,3632044.759999999776483,10132923.000000000000000
20100802,3304171.919999999925494,3278182.750000000465661,3694536.759999999776483,10276892.429999999701977
20100803,3313578.720000000204891,3254814.000000000465661,3692037.079999999608845,10260430.800000000745058
20100804,3324866.879999999888241,3289399.750000000465661,3674539.319999999366701,10288806.949999999254942
20100805,3313578.720000000204891,3278182.750000000465661,3693286.919999999925494,10285049.390000000596046
20100806,3374252.579999999608845,3269770.000000000000000,3693286.919999999925494,10337310.500000000000000
20100809,3429752.700000000186265,3305290.500000000465661,3732031.959999999497086,10467076.160000000149012
20100810,3425989.979999999981374,3343615.250000000931323,3752029.399999999906868,10521635.630000000819564
20100811,3366256.799999999813735,3261357.250000000465661,3694536.759999999776483,10322151.810000000521541
20100812,3389303.459999999962747,3275378.500000000465661,3789524.599999999627471,10454207.560000000521541
20100813,3381307.680000000167638,3271639.500000000465661,3753279.239999999757856,10406227.419999999925494
20100816,3376604.280000000260770,3268835.250000000465661,3744530.359999999869615,10389970.890000000596046
20100817,3443862.899999999906868,3322116.000000000465661,3770777.000000000000000,10536756.900000000372529
20100818,3445273.919999999925494,3306225.250000000000000,3768277.319999999366701,10519777.489999998360872
20100819,3432104.399999999906868,3244531.750000000465661,3702035.799999999813735,10378672.949999999254942
20100820,3437278.139999999664724,3219293.500000000465661,3670789.799999999813735,10327362.440000001341105
20100823,3449506.979999999981374,3268835.250000000465661,3675789.159999999683350,10394132.390000000596046
20100824,3420345.899999999906868,3219293.500000000465661,3683288.199999999720603,10322928.599999999627471
20100825,3442451.879999999888241,3228641.000000000465661,3707035.159999999683350,10378129.040000000968575
20100826,3441040.859999999869615,3223032.500000000000000,3687037.719999999739230,10351112.079999998211861
20100827,3480079.079999999608845,3271639.500000000465661,3729532.279999999795109,10481251.859999999403954
20100830,3421286.579999999608845,3246401.250000000000000,3679538.679999999701977,10347227.509999999776483
20100831,3436337.459999999962747,3286595.500000000000000,3690787.239999999757856,10413721.199999999254942
20100901,3505947.780000000260770,3329594.000000000000000,3782025.560000000055879,10617568.339999999850988
20100902,3528524.099999999627471,3304355.750000000465661,3763277.959999999497086,10596158.809999998658895
20100903,3531816.479999999981374,3326789.750000000931323,3774526.519999999552965,10633133.750000000000000
20100907,3565210.619999999646097,3314638.000000000465661,3777026.199999999720603,10656875.820000000298023
20100908,3578380.139999999664724,3347354.250000000465661,3807022.359999999869615,10732757.750000000000000
20100909,3497952.000000000000000,3372592.500000000465661,3854516.279999999795109,10725061.779999999329448
20100910,3528053.760000000242144,3425873.250000000465661,3852016.599999999627471,10805944.609999999403954
20100913,3507358.799999999813735,3385679.000000000465661,3862015.319999999366701,10755054.120000001043081
20100914,3477727.379999999888241,3413721.500000000931323,3863265.159999999683350,10754715.040000000968575
20100915,3513943.559999999590218,3412786.750000000465661,3898260.679999999701977,10824991.990000000223517
20100916,3518176.619999999646097,3405308.750000000465661,3927007.000000000000000,10850493.370000001043081
20100917,3495600.299999999813735,3395961.250000000465661,3959502.839999999850988,10851065.390000000596046
20100920,3532757.159999999683350,3415591.000000000465661,4010746.280000000260770,10959095.440000001341105
20100921,3551570.760000000242144,3432416.500000000465661,4039492.599999999627471,11023480.859999999403954
