訓練日期,20121015 - 20130118
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11212236.500000000000000
真實報酬,1212236.500000000000000

夏普值報酬,0.112523650000000
夏普值風險,0.033534768957800
夏普值,3.355432391426357

預期報酬,18296.309287033574947
風險,139423.286433904082514
趨勢值,0.131228503896351
找到最佳解世代,1908
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](5),DD[7](3),HD[9](7),V[25](1),
20121221,2650310.080000000074506,2848208.550000000279397,2573874.240000000223517,2709170.799999999813735,10781563.670000001788139
20121224,2643351.280000000260770,2865087.599999999627471,2584367.740000000223517,2717077.600000000093132,10809884.220000000670552
20121226,2645090.979999999981374,2886342.700000000186265,2566318.919999999925494,2691200.799999999813735,10788953.399999998509884
20121227,2638480.120000000111759,2859461.250000000000000,2563380.740000000223517,2684731.600000000093132,10746053.710000000894070
20121228,2598814.959999999962747,2815075.600000000093132,2545751.660000000149012,2671074.399999999906868,10630716.620000001043081
20121231,2622126.939999999944121,2878215.750000000000000,2596120.459999999962747,2724265.600000000093132,10820728.750000000000000
20130102,2681624.679999999701977,2942606.199999999720603,2664538.080000000074506,2792551.600000000093132,11081320.559999998658895
20130103,2695542.280000000260770,2951358.299999999813735,2656982.759999999776483,2794708.000000000465661,11098591.339999999850988
20130104,2703196.959999999962747,2993868.500000000000000,2651945.879999999888241,2816990.799999999813735,11166002.140000000596046
20130107,2648918.319999999832362,2990742.750000000000000,2637674.720000000204891,2837117.200000000186265,11114452.990000002086163
20130108,2579330.319999999832362,2946982.250000000000000,2653624.839999999850988,2863712.800000000279397,11043650.210000000894070
20130109,2670838.540000000502914,2982615.799999999813735,2651526.140000000130385,2907559.600000000093132,11212540.080000000074506
20130110,2682320.560000000055879,3012622.999999999534339,2670414.439999999944121,2884558.000000000465661,11249916.000000000000000
20130111,2615168.140000000130385,3014498.449999999720603,2673772.360000000335276,2896058.799999999813735,11199497.750000000000000
20130114,2663531.799999999813735,3052007.449999999720603,2664538.080000000074506,2886714.399999999906868,11266791.730000000447035
20130115,2677101.459999999962747,3035128.399999999906868,2684265.860000000335276,2883120.399999999906868,11279616.119999999180436
20130116,2586637.060000000055879,2996369.100000000093132,2680488.200000000186265,2878807.600000000093132,11142301.960000000894070
20130117,2618647.540000000502914,3010122.399999999906868,2730437.259999999776483,2873057.200000000186265,11232264.400000000372529
20130118,2610992.860000000335276,3008872.100000000093132,2748066.339999999850988,2844305.200000000186265,11212236.500000000000000
