訓練日期,20131217 - 20140321
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11717857.989999998360872
真實報酬,1717857.989999998360872

夏普值報酬,0.163085799000000
夏普值風險,0.050835481536988
夏普值,3.208109652336792

預期報酬,31490.989884908962267
風險,167131.435381601768313
趨勢值,0.188420507566439
找到最佳解世代,2312
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DD[7](2),MRK[17](1),
Stock#,DD[7](2),MRK[17](1),
張數,84402,103971,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,25.519999999552965,34.609999999403954,
20131217,5072585.719999999739230,4980245.509999998845160,10052831.229999998584390
20131218,5229573.439999999478459,5084216.509999998845160,10313789.949999999254942
20131219,5276838.559999999590218,5072779.699999999254942,10349618.259999997913837
20131220,5262490.219999999739230,5127884.329999999143183,10390374.549999998882413
20131223,5274306.500000000000000,5132043.169999998994172,10406349.669999998062849
20131224,5339296.039999999105930,5137241.719999998807907,10476537.759999997913837
20131226,5391625.279999999329448,5169472.729999999515712,10561098.009999997913837
20131227,5360396.539999999105930,5176750.699999999254942,10537147.239999998360872
20131230,5360396.539999999105930,5192346.349999999627471,10552742.889999998733401
20131231,5336763.979999999515712,5203783.159999999217689,10540547.139999998733401
20140102,5272618.459999999031425,5145559.399999999441206,10418177.859999999403954
20140103,5248985.899999999441206,5170512.439999999478459,10419498.339999999850988
20140106,5239701.679999999701977,5171552.149999999441206,10411253.829999998211861
20140107,5181464.299999999813735,5210021.419999998994172,10391485.719999998807907
20140108,5187372.439999999478459,5176750.699999999254942,10364123.139999998733401
20140109,5120694.859999999403954,5148678.529999999329448,10269373.389999998733401
20140110,5133355.159999999217689,5186108.089999999850988,10319463.250000000000000
20140113,5035448.839999998919666,5522974.129999998956919,10558422.969999998807907
20140114,5126603.000000000000000,5510497.609999999403954,10637100.609999999403954
20140115,5174712.139999999664724,5460591.529999999329448,10635303.669999998062849
20140116,5178932.239999999292195,5458512.109999999403954,10637444.349999997764826
20140117,5177244.200000000186265,5401328.059999999590218,10578572.259999999776483
20140121,5520760.339999998919666,5388851.539999999105930,10909611.879999998956919
20140122,5490375.619999999180436,5338945.459999999962747,10829321.079999998211861
20140123,5375588.899999999441206,5364938.209999999962747,10740527.109999999403954
20140124,5217757.159999999217689,5404447.189999999478459,10622204.349999997764826
20140127,5180620.279999999329448,5461631.239999999292195,10642251.519999999552965
20140128,5175556.159999999217689,5496981.379999998956919,10672537.539999999105930
20140129,5376432.919999999925494,5428360.519999999552965,10804793.439999999478459
20140130,5446486.580000000074506,5563522.819999999366701,11010009.399999998509884
20140131,5470119.139999999664724,5507378.479999999515712,10977497.619999999180436
20140203,5371368.799999999813735,5414844.289999999105930,10786213.089999999850988
20140204,5404285.580000000074506,5563522.819999999366701,10967808.399999998509884
20140205,5390781.259999999776483,5565602.239999999292195,10956383.500000000000000
20140206,5479403.359999999403954,5590555.279999999329448,11069958.639999998733401
20140207,5481091.399999999441206,5694526.279999999329448,11175617.679999999701977
20140210,5509788.080000000074506,5707002.799999999813735,11216790.879999998956919
20140211,5629638.919999999925494,5791219.309999999590218,11420858.230000000447035
20140212,5573933.599999999627471,5718439.609999999403954,11292373.209999999031425
20140213,5565493.399999999441206,5728836.709999999962747,11294330.109999999403954
20140214,5614446.559999999590218,5764186.849999999627471,11378633.410000000149012
20140218,5622886.759999999776483,5790179.599999999627471,11413066.359999999403954
20140219,5581529.779999999329448,5722598.449999999254942,11304128.229999998584390
20140220,5665931.779999999329448,5802656.119999999180436,11468587.899999998509884
20140221,5644831.279999999329448,5825529.739999999292195,11470361.019999999552965
20140224,5643143.239999999292195,5841125.389999999664724,11484268.629999998956919
20140225,5676060.019999999552965,5813053.219999998807907,11489113.239999998360872
20140226,5748645.739999999292195,5850482.779999999329448,11599128.519999999552965
20140227,5830515.679999999701977,5891031.469999998807907,11721547.149999998509884
20140228,5854992.259999999776483,5925341.899999999441206,11780334.160000000149012
20140303,5822075.479999999515712,5866078.429999999701977,11688153.910000000149012
20140304,5945302.399999999441206,5932619.869999999180436,11877922.269999999552965
20140305,5999319.679999999701977,5913905.089999999850988,11913224.769999999552965
20140306,5983283.299999999813735,5953414.069999999366701,11936697.369999999180436
20140307,5951210.540000000037253,5975247.979999999515712,11926458.519999999552965
20140310,5989191.439999999478459,5959652.329999999143183,11948843.769999999552965
20140311,5920825.820000000298023,5894150.599999999627471,11814976.419999999925494
20140312,5892973.159999999217689,5906627.119999999180436,11799600.279999997466803
20140313,5858368.339999998919666,5800576.699999999254942,11658945.039999999105930
20140314,5847396.080000000074506,5791219.309999999590218,11638615.390000000596046
20140317,5889597.080000000074506,5849443.069999999366701,11739040.149999998509884
20140318,5969778.979999999515712,5859840.169999998994172,11829619.149999998509884
20140319,5963026.820000000298023,5821370.899999999441206,11784397.719999998807907
20140320,6038988.619999999180436,5779782.500000000000000,11818771.119999999180436
20140321,6034768.519999999552965,5683089.469999998807907,11717857.989999998360872
