訓練日期,20151120 - 20160225
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10870702.259999999776483
真實報酬,870702.259999999776483

夏普值報酬,0.078370226000000
夏普值風險,0.020771192608469
夏普值,3.773024855975126

預期報酬,10559.955891741839878
風險,135503.052825873717666
趨勢值,0.077931498010689
找到最佳解世代,1843
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),UNH[23](5),WMT[28](3),
Stock#,MCD[15](2),UNH[23](5),WMT[28](3),
張數,29420,30130,54914,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,47.000000000000000,51.100000000093132,53.199999999720603,
20151120,3351279.199999999720603,3403837.200000000186265,3298737.179999999701977,10053854.580000000074506
20151123,3367754.399999999906868,3379431.899999999906868,3309170.839999999385327,10056358.139999998733401
20151124,3362164.600000000093132,3410465.799999999813735,3290500.079999999608845,10063131.480000000447035
20151125,3365695.000000000000000,3447224.399999999906868,3308072.560000000055879,10120992.960000000894070
20151127,3360693.600000000093132,3445115.300000000279397,3288852.659999999683350,10094662.560000000521541
20151130,3358634.199999999720603,3396003.399999999906868,3231192.959999999962747,9985831.559999998658895
20151201,3367166.000000000000000,3502964.900000000372529,3239430.060000000055879,10109561.960000000894070
20151202,3345689.399999999906868,3544544.300000000279397,3204285.099999999627471,10094519.800000000745058
20151203,3335980.799999999813735,3465001.100000000093132,3242175.759999999776483,10043158.660000000149012
20151204,3418651.000000000000000,3547557.299999999813735,3276222.439999999478459,10242431.739999998360872
20151207,3425123.399999999906868,3492419.399999999906868,3322350.199999999720603,10239894.000000000000000
20151208,3428359.600000000093132,3491515.500000000000000,3273476.739999999757856,10193352.839999999850988
20151209,3429830.600000000093132,3466507.600000000093132,3247118.020000000018626,10143457.220000000670552
20151210,3448071.000000000000000,3501458.399999999906868,3270731.040000000037253,10220261.440000001341105
20151211,3415120.600000000093132,3494528.500000000000000,3259748.239999999757856,10169398.339999999850988
20151214,3420416.200000000186265,3490611.600000000093132,3316309.659999999683350,10227338.460000000894070
20151215,3440127.600000000093132,3543640.399999999906868,3275124.159999999683350,10258893.160000000149012
20151216,3466899.800000000279397,3580399.000000000000000,3311367.399999999441206,10358667.199999999254942
20151217,3456897.000000000000000,3592149.700000000186265,3238880.919999999459833,10287928.619999999180436
20151218,3432184.199999999720603,3489707.699999999720603,3231742.099999999627471,10153635.000000000000000
20151221,3462486.799999999813735,3537614.399999999906868,3270181.899999999441206,10270284.099999997764826
20151222,3463369.399999999906868,3538518.299999999813735,3324546.759999999776483,10326435.459999999031425
20151223,3495143.000000000000000,3576180.799999999813735,3354749.459999999962747,10426074.259999999776483
20151224,3488376.399999999906868,3565635.300000000279397,3340471.819999999832362,10394484.519999999552965
20151228,3493672.000000000000000,3565334.000000000000000,3336078.699999999720603,10395085.699999999254942
20151229,3532506.399999999906868,3610227.699999999720603,3383304.739999999757856,10526039.839999999850988
20151230,3513677.600000000093132,3583110.700000000186265,3387148.719999999739230,10483938.019999999552965
20151231,3475725.799999999813735,3544544.300000000279397,3366281.399999999441206,10386552.500000000000000
