訓練日期,20160303 - 20160603
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11048733.699999999254942
真實報酬,1048733.699999999254942

夏普值報酬,0.096173370000000
夏普值風險,0.030427032680792
夏普值,3.160787021493311

預期報酬,17385.905790316530329
風險,79173.649647313402966
趨勢值,0.219592072207909
找到最佳解世代,2344
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
IBM[10](9),JNJ[12](1),PFE[20](3),XOM[29](4),
Stock#,IBM[10](9),JNJ[12](1),PFE[20](3),XOM[29](4),
張數,18341,23355,83388,30229,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,121.699999999720603,80.799999999813735,27.759999999776483,61.699999999720603,
20160303,2527511.500000000000000,2490891.549999999813735,2492495.079999999608845,2490931.299999999813735,10001829.429999999701977
20160304,2527511.500000000000000,2487388.299999999813735,2477485.239999999757856,2487606.109999999869615,9979991.149999998509884
20160307,2570612.849999999627471,2492993.499999999534339,2484156.279999999795109,2553203.039999999571592,10100965.669999998062849
20160308,2550804.569999999366701,2480848.899999999906868,2448299.439999999944121,2497883.969999999739230,9977836.879999998956919
20160309,2575381.509999999776483,2495329.000000000000000,2479986.879999999422580,2490931.299999999813735,10041628.689999997615814
20160310,2571346.489999999757856,2502335.500000000000000,2467478.679999999701977,2484280.919999999925494,10025441.589999999850988
20160311,2611146.459999999962747,2515647.849999999627471,2543361.759999999776483,2484583.209999999497086,10154739.279999999329448
20160314,2618849.679999999701977,2514480.099999999627471,2510006.560000000055879,2491233.589999999385327,10134569.929999999701977
20160315,2622151.060000000055879,2516815.600000000093132,2463309.279999999795109,2503627.479999999515712,10105903.419999998062849
20160316,2655715.089999999385327,2508641.349999999627471,2421615.279999999795109,2505138.929999999701977,10091110.649999998509884
20160317,2696982.339999999385327,2492993.499999999534339,2446631.679999999701977,2542320.599999999627471,10178928.119999997317791
20160318,2697899.389999999664724,2510743.299999999813735,2455804.359999999869615,2545343.500000000000000,10209790.549999998882413
20160321,2726144.529999999795109,2505605.199999999720603,2507504.919999999925494,2527810.679999999701977,10267065.329999998211861
20160322,2716423.799999999813735,2507940.699999999720603,2533355.199999999720603,2542925.179999999701977,10300644.879999998956919
20160323,2666903.099999999627471,2534098.299999999813735,2517511.479999999981374,2531740.449999999720603,10250253.329999998211861
20160324,2713672.649999999441206,2529660.850000000093132,2508338.799999999813735,2538693.119999999646097,10290365.419999999925494
20160328,2721926.099999999627471,2527792.449999999720603,2483322.399999999906868,2545948.079999999608845,10278989.029999999329448
20160329,2738983.229999999981374,2549045.500000000000000,2505837.159999999683350,2555319.069999999832362,10349184.960000000894070
20160330,2722109.509999999776483,2545308.699999999720603,2507504.919999999925494,2555016.779999999795109,10329939.909999998286366
20160331,2777866.149999999441206,2527091.799999999813735,2471648.079999999608845,2526903.810000000055879,10303509.839999999850988
20160401,2797491.020000000018626,2550213.249999999534339,2505003.279999999795109,2507859.539999999571592,10360567.089999997988343
20160404,2789237.569999999366701,2536200.250000000000000,2561707.119999999646097,2513905.339999999385327,10401050.279999999329448
20160405,2751271.699999999720603,2544608.049999999813735,2615075.439999999944121,2485187.789999999571592,10396142.979999998584390
20160406,2751638.520000000018626,2555584.899999999906868,2745994.599999999627471,2518439.689999999944121,10571657.709999999031425
20160407,2719174.949999999720603,2552081.649999999906868,2731818.639999999664724,2490024.429999999701977,10493099.669999998062849
20160408,2739350.049999999813735,2548111.299999999813735,2710137.759999999776483,2515416.789999999571592,10513015.899999998509884
20160411,2737515.949999999720603,2545075.149999999906868,2659271.079999999608845,2518741.979999999515712,10460604.160000000149012
20160412,2744485.529999999795109,2559788.799999999813735,2665108.239999999757856,2549877.849999999627471,10519260.419999999925494
20160413,2773831.129999999422580,2566094.649999999906868,2713473.279999999795109,2564387.769999999552965,10617786.829999998211861
20160414,2772547.259999999776483,2565394.000000000000000,2722645.959999999497086,2582525.169999999925494,10643112.389999998733401
20160415,2782818.219999999739230,2573334.700000000186265,2710137.759999999776483,2568619.829999999608845,10634910.509999999776483
20160418,2797674.429999999701977,2590850.950000000186265,2719310.439999999944121,2593105.319999999832362,10700941.140000000596046
20160419,2641225.699999999720603,2631722.200000000186265,2742659.079999999608845,2606103.789999999571592,10621710.769999999552965
20160420,2679925.209999999962747,2652741.699999999720603,2771010.999999999534339,2623938.899999999441206,10727616.809999998658895
20160421,2738433.000000000000000,2652508.149999999441206,2771844.879999999888241,2623636.609999999869615,10786422.639999998733401
20160422,2723760.199999999720603,2646669.399999999441206,2774346.520000000018626,2646006.069999999832362,10790782.189999999478459
20160425,2729445.909999999683350,2651106.850000000093132,2769343.239999999757856,2639960.269999999552965,10789856.269999999552965
20160426,2734397.979999999981374,2637093.849999999627471,2756001.159999999683350,2649028.969999999739230,10776521.960000000894070
20160427,2759891.969999999739230,2633824.149999999906868,2751831.759999999776483,2674119.039999999571592,10819666.919999998062849
20160428,2697532.569999999366701,2627051.199999999720603,2744326.839999999385327,2661120.569999999832362,10730031.179999999701977
20160429,2676807.239999999757856,2617709.199999999720603,2727649.239999999757856,2672305.299999999813735,10694470.980000000447035
20160502,2664518.770000000018626,2633357.049999999813735,2735154.159999999683350,2694372.469999999739230,10727402.449999999254942
20160503,2643610.029999999795109,2631955.749999999534339,2810203.359999999869615,2663538.889999999664724,10749308.029999997466803
20160504,2645810.949999999720603,2620978.899999999906868,2785186.959999999497086,2658399.959999999497086,10710376.769999997690320
20160505,2686527.969999999739230,2636393.199999999720603,2799362.919999999925494,2661422.859999999869615,10783706.949999999254942
20160506,2701567.589999999385327,2633123.499999999534339,2800196.799999999813735,2675630.489999999757856,10810518.379999998956919
20160509,2702484.639999999664724,2656011.399999999906868,2820209.919999999925494,2677444.229999999515712,10856150.189999997615814
20160510,2750721.469999999739230,2678198.649999999906868,2818542.159999999683350,2720369.409999999683350,10967831.689999999478459
