訓練日期,20171110 - 20180214
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12617353.690000001341105
真實報酬,2617353.690000001341105

夏普值報酬,0.253035369000000
夏普值風險,0.074395420447356
夏普值,3.401222380066442

預期報酬,43343.424651897723379
風險,242763.976261925272411
趨勢值,0.178541418373924
找到最佳解世代,2270
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),NKE[19](4),
Stock#,BA[2](1),NKE[19](4),
張數,19033,89078,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,30.900000000372529,51.859999999403954,
20171110,4964788.950000001117587,4996436.879999999888241,9961225.830000001937151
20171113,4994670.760000000707805,4980402.839999998919666,9975073.599999999627471
20171114,4982108.980000000447035,4986638.299999998882413,9968747.279999999329448
20171115,5003045.280000000260770,5044539.000000000000000,10047584.280000001192093
20171116,5019033.000000000000000,5097985.799999998882413,10117018.799999998882413
20171117,4991625.480000000447035,5272578.679999998770654,10264204.160000000149012
20171120,5036733.690000000409782,5277923.359999999403954,10314657.050000000745058
20171121,5081651.570000000298023,5290394.279999999329448,10372045.849999999627471
20171122,5046630.849999999627471,5261889.319999999366701,10308520.169999998062849
20171124,5060524.940000000409782,5284158.819999999366701,10344683.759999999776483
20171127,5054815.040000000037253,5311773.000000000000000,10366588.039999999105930
20171128,5100684.570000000298023,5307319.099999999627471,10408003.669999999925494
20171129,5125617.800000000745058,5376799.939999999478459,10502417.740000000223517
20171130,5268365.300000000745058,5382144.619999999180436,10650509.919999999925494
20171201,5165206.440000000409782,5334042.500000000000000,10499248.940000001341105
20171204,5290633.910000001080334,5353639.659999999217689,10644273.570000000298023
20171205,5244383.720000000670552,5382144.619999999180436,10626528.339999999850988
20171206,5296343.809999999590218,5319790.019999999552965,10616133.829999998211861
20171207,5366765.910000001080334,5398178.659999999217689,10764944.570000000298023
20171208,5441565.599999999627471,5460533.259999998845160,10902098.859999999403954
20171211,5389415.180000000633299,5514870.839999998919666,10904286.019999999552965
20171212,5518458.919999999925494,5538031.119999999180436,11056490.039999999105930
20171213,5554621.620000000111759,5727767.259999998845160,11282388.879999998956919
20171214,5593448.940000000409782,5748255.199999999254942,11341704.140000000596046
20171215,5594590.919999999925494,5771415.479999999515712,11366006.399999998509884
20171218,5636463.520000000484288,5773197.040000000037253,11409660.560000000521541
20171219,5657590.150000000372529,5722422.579999999143183,11380012.730000000447035
20171220,5669961.599999999627471,5664521.879999999888241,11334483.480000000447035
20171221,5615336.889999999664724,5769633.919999998994172,11384970.809999998658895
20171222,5616669.200000001117587,5637798.479999999515712,11254467.679999999701977
20171226,5621617.780000000260770,5669866.559999999590218,11291484.339999999850988
20171227,5626566.360000000335276,5607511.959999999962747,11234078.320000000298023
20171228,5640460.450000001117587,5607511.959999999962747,11247972.410000000149012
20171229,5613052.930000000633299,5571880.759999998845160,11184933.689999999478459
20180102,5649786.620000000111759,5655614.079999999143183,11305400.699999999254942
20180103,5668058.300000000745058,5654723.299999998882413,11322781.599999999627471
20180104,5646551.010000000707805,5651160.179999998770654,11297711.189999999478459
20180105,5878182.620000000111759,5699262.299999998882413,11577444.919999998062849
20180108,5903115.849999999627471,5750036.759999998845160,11653152.609999999403954
20180109,6060709.090000000782311,5709060.879999999888241,11769769.970000000670552
20180110,6095539.480000000447035,5720641.019999999552965,11816180.500000000000000
20180111,6245138.860000000335276,5726876.479999999515712,11972015.339999999850988
20180112,6399115.830000000074506,5760726.119999999180436,12159841.949999999254942
20180116,6379131.180000000633299,5649378.619999999180436,12028509.800000000745058
20180117,6680804.230000000447035,5684119.040000000037253,12364923.269999999552965
20180118,6474296.180000000633299,5710842.439999999478459,12185138.620000001043081
20180119,6428045.990000001154840,5986984.239999999292195,12415030.230000000447035
20180122,6433184.900000000372529,5913940.279999999329448,12347125.179999999701977
20180123,6387315.370000000111759,5980748.779999999329448,12368064.149999998509884
20180124,6370185.669999999925494,6057355.859999999403954,12427541.529999999329448
20180125,6530443.530000000260770,6031523.239999999292195,12561966.769999999552965
20180126,6532537.160000001080334,6060918.979999999515712,12593456.140000000596046
20180129,6486857.959999999962747,6019943.099999999627471,12506801.059999998658895
20180130,6427665.330000000074506,5997673.599999999627471,12425338.929999999701977
20180131,6744755.110000000335276,6076953.019999999552965,12821708.129999998956919
20180201,6793669.919999999925494,6026178.559999999590218,12819848.480000000447035
20180202,6640834.930000000633299,5987875.019999999552965,12628709.949999999254942
20180205,6259603.940000000409782,5735784.279999999329448,11995388.219999998807907
20180206,6488570.930000000633299,5809719.019999999552965,12298289.949999999254942
20180207,6625798.860000000335276,5846240.999999999068677,12472039.859999999403954
20180208,6274449.680000000633299,5566536.079999999143183,11840985.759999999776483
20180209,6334784.290000000037253,5833770.079999999143183,12168554.369999999180436
20180212,6543576.300000000745058,5877418.299999999813735,12420994.600000001490116
20180213,6531395.180000000633299,5867619.719999999739230,12399014.900000000372529
20180214,6563560.950000001117587,6053792.739999999292195,12617353.690000001341105
