訓練日期,20100108 - 20100413
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10936153.530000001192093
真實報酬,936153.530000001192093

夏普值報酬,0.084915353000000
夏普值風險,0.030024634007326
夏普值,2.828189445349504

預期報酬,16988.781784551323653
風險,96643.649307049126946
趨勢值,0.175787875420306
找到最佳解世代,3097
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),TRV[22](2),
Stock#,MCD[15](1),TRV[22](2),
張數,80775,102817,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,27.500000000000000,9.290000000037253,
20100108,4995153.500000000000000,4992802.810000000521541,9987956.310000000521541
20100111,5033925.500000000000000,4990746.469999999739230,10024671.969999998807907
20100112,5061389.000000000000000,5022619.740000000223517,10084008.740000000223517
20100113,5055734.750000000000000,5040098.630000000819564,10095833.380000000819564
20100114,5060581.250000000000000,5066831.049999999813735,10127412.300000000745058
20100115,5030694.500000000000000,5016450.719999999739230,10047145.219999998807907
20100119,5127624.500000000000000,5082253.599999999627471,10209878.099999999627471
20100120,5089660.250000000000000,5030845.099999999627471,10120505.349999999627471
20100121,5105007.500000000000000,5032901.440000000409782,10137908.940000001341105
20100122,5120354.750000000000000,4967098.560000000521541,10087453.310000000521541
20100125,5096122.250000000000000,5026732.419999999925494,10122854.669999999925494
20100126,5154280.250000000000000,5164507.199999999254942,10318787.449999999254942
20100127,5147818.250000000000000,5233394.589999999850988,10381212.839999999850988
20100128,5075120.750000000000000,5168619.880000000819564,10243740.630000000819564
20100129,5042810.750000000000000,5209746.680000000633299,10252557.429999999701977
20100201,5160742.250000000000000,5211803.019999999552965,10372545.269999999552965
20100202,5172050.750000000000000,5252929.820000000298023,10424980.570000000298023
20100203,5267365.249999999068677,5199464.980000000447035,10466830.230000000447035
20100204,5174474.000000000000000,5113098.699999999254942,10287572.699999999254942
20100205,5118739.250000000000000,5169648.049999999813735,10288387.300000000745058
20100208,5082390.500000000000000,5043183.139999999664724,10125573.640000000596046
20100209,5134894.250000000000000,5096647.980000000447035,10231542.230000000447035
20100210,5109046.250000000000000,5108986.019999999552965,10218032.269999999552965
20100211,5152664.750000000000000,5161422.690000000409782,10314087.440000001341105
20100212,5136509.750000000000000,5187126.940000000409782,10323636.690000001341105
20100216,5170435.250000000000000,5306394.660000000149012,10476829.910000000149012
20100217,5190629.000000000000000,5320789.040000000037253,10511418.039999999105930
20100218,5208399.500000000000000,5422577.870000000111759,10630977.370000001043081
20100219,5229401.000000000000000,5436972.250000000000000,10666373.250000000000000
20100222,5231824.250000000000000,5453422.969999999739230,10685247.219999998807907
20100223,5239901.750000000000000,5383507.410000000149012,10623409.160000000149012
20100224,5271404.000000000000000,5427718.719999999739230,10699122.719999998807907
20100225,5200322.000000000000000,5423606.040000000037253,10623928.039999999105930
20100226,5157511.250000000000000,5407155.320000000298023,10564666.570000000298023
20100301,5168012.000000000000000,5457535.649999999441206,10625547.649999998509884
20100302,5175281.749999999068677,5479127.219999999739230,10654408.969999998807907
20100303,5139740.750000000000000,5461648.330000000074506,10601389.080000000074506
20100304,5123585.750000000000000,5505859.639999999664724,10629445.390000000596046
20100305,5142971.750000000000000,5545958.269999999552965,10688930.019999999552965
20100308,5260095.500000000000000,5531563.889999999664724,10791659.390000000596046
20100309,5258480.000000000000000,5507915.980000000447035,10766395.980000000447035
20100310,5245556.000000000000000,5438000.419999999925494,10683556.419999999925494
20100311,5267365.249999999068677,5513056.830000000074506,10780422.079999998211861
20100312,5293213.250000000000000,5465761.009999999776483,10758974.259999999776483
20100315,5325523.250000000931323,5421549.699999999254942,10747072.949999999254942
20100316,5336831.749999999068677,5433887.740000000223517,10770719.489999998360872
20100317,5361872.000000000000000,5448282.120000000111759,10810154.120000001043081
20100318,5386104.500000000931323,5488380.750000000000000,10874485.250000000000000
20100319,5373988.250000000000000,5496606.110000000335276,10870594.359999999403954
20100322,5412760.250000000000000,5489408.919999999925494,10902169.169999999925494
20100323,5440223.750000000000000,5541845.589999999850988,10982069.339999999850988
20100324,5395797.500000000000000,5558296.310000000521541,10954093.810000000521541
20100325,5403875.000000000000000,5560352.649999999441206,10964227.649999998509884
20100326,5432954.000000000000000,5588113.240000000223517,11021067.240000000223517
20100329,5417606.749999999068677,5630268.209999999962747,11047874.959999999031425
20100330,5431338.500000000000000,5544930.099999999627471,10976268.599999999627471
20100331,5389335.500000000000000,5545958.269999999552965,10935293.769999999552965
20100401,5458802.000000000000000,5543901.930000000633299,11002703.929999999701977
20100405,5495150.750000000000000,5483239.899999999441206,10978390.649999998509884
20100406,5477380.250000000000000,5407155.320000000298023,10884535.570000000298023
20100407,5468495.000000000000000,5397901.790000000037253,10866396.789999999105930
20100408,5554116.500000000000000,5373225.709999999962747,10927342.210000000894070
20100409,5547654.500000000931323,5387620.089999999850988,10935274.589999999850988
20100412,5535538.250000000000000,5348549.630000000819564,10884087.880000000819564
20100413,5567040.500000000000000,5369113.030000000260770,10936153.530000001192093
