訓練日期,20111223 - 20120328
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12795124.259999999776483
真實報酬,2795124.259999999776483

夏普值報酬,0.270812426000000
夏普值風險,0.074230098318043
夏普值,3.648283272368688

預期報酬,45564.051700208219700
風險,92032.815274862106889
趨勢值,0.495084840816052
找到最佳解世代,2177
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,4
AAPL[0](2),HD[9](1),MSFT[18](5),NKE[19](4),
Stock#,AAPL[0](2),HD[9](1),MSFT[18](5),NKE[19](4),
張數,43905,59637,96861,105440,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,49.300000000279397,16.959999999962747,17.590000000316650,17.600000000093132,
20111223,2529855.400000000372529,2510138.290000000037253,2521309.420000000391155,2554828.800000000279397,10116131.910000002011657
20111227,2550051.700000000186265,2517891.100000000093132,2522278.030000000260770,2576971.200000000186265,10167192.030000001192093
20111228,2525464.900000000372529,2476741.569999999832362,2500968.610000000335276,2542176.000000000000000,10045351.080000001937151
20111229,2540831.650000000372529,2505367.330000000074506,2520340.810000000055879,2569590.400000000372529,10136130.190000001341105
20111230,2540392.600000000093132,2507156.439999999944121,2514529.150000000372529,2540067.200000000186265,10102145.390000000596046
20120103,2579468.050000000279397,2513120.140000000130385,2592986.560000000055879,2551665.600000000093132,10237240.349999999627471
20120104,2593078.600000000558794,2548902.339999999850988,2654008.990000000223517,2589624.000000000000000,10385613.929999999701977
20120105,2622055.900000000372529,2569775.290000000037253,2681130.070000000298023,2587515.200000000186265,10460476.460000000894070
20120106,2649277.000000000465661,2576335.360000000335276,2722780.300000000279397,2583297.600000000093132,10531690.260000001639128
20120109,2645325.550000000279397,2578124.469999999739230,2686941.729999999981374,2592787.200000000186265,10503178.949999999254942
20120110,2654545.600000000093132,2596015.569999999832362,2696627.830000000074506,2595950.400000000372529,10543139.400000000372529
20120111,2650155.100000000093132,2591840.979999999981374,2685004.510000000242144,2587515.200000000186265,10514515.789999999105930
20120112,2643130.300000000279397,2587666.390000000130385,2712125.590000000316650,2612820.800000000279397,10555743.080000001937151
20120113,2633032.150000000372529,2594822.830000000074506,2736340.840000000316650,2591732.799999999813735,10555928.620000001043081
20120117,2663765.650000000372529,2608539.339999999850988,2737309.450000000651926,2615984.000000000000000,10625598.440000001341105
20120118,2691425.800000000279397,2676525.520000000018626,2734403.620000000577420,2659214.399999999906868,10761569.340000001713634
20120119,2683083.850000000093132,2708133.129999999888241,2723748.910000000614673,2678193.600000000093132,10793159.490000000223517
20120120,2636105.500000000465661,2654459.830000000074506,2877757.900000000372529,2682411.200000000186265,10850734.429999999701977
20120123,2680888.600000000558794,2676525.520000000018626,2879695.120000000577420,2677139.200000000186265,10914248.440000001341105
20120124,2636983.600000000558794,2681296.479999999981374,2841919.330000000074506,2694009.600000000093132,10854209.009999999776483
20120125,2801627.350000000558794,2699187.580000000074506,2863228.750000000000000,2720369.600000000093132,11084413.280000001192093
20120126,2788894.900000000372529,2680700.110000000335276,2857417.090000000316650,2697172.799999999813735,11024184.900000002235174
20120127,2805578.800000000279397,2675929.149999999906868,2831264.620000000577420,2691900.800000000279397,11004673.370000001043081
20120130,2841580.900000000372529,2669965.450000000186265,2868071.800000000279397,2725641.600000000093132,11105259.750000000000000
20120131,2863094.350000000093132,2647303.390000000130385,2860322.920000000391155,2741457.600000000093132,11112178.259999999776483
20120201,2861338.150000000372529,2652074.350000000093132,2895192.880000000353903,2735131.200000000186265,11143736.580000001937151
20120202,2854752.399999999906868,2651477.979999999981374,2901004.540000000037253,2710880.000000000000000,11118114.919999999925494
20120203,2883290.650000000372529,2693820.250000000000000,2929094.229999999981374,2728804.799999999813735,11235009.929999999701977
