訓練日期,20130507 - 20130807
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11705689.640000000596046
真實報酬,1705689.640000000596046

夏普值報酬,0.161868964000000
夏普值風險,0.047002828272840
夏普值,3.443813275669057

預期報酬,26900.882113062507415
風險,158035.472051660501165
趨勢值,0.170220531908614
找到最佳解世代,2525
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,2
BA[2](1),UNH[23](2),
Stock#,BA[2](1),UNH[23](2),
張數,53084,83056,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,18.040000000037253,28.799999999813735,
20130507,5031850.400000000372529,5024916.799999999813735,10056767.199999999254942
20130508,4992037.400000000372529,5191859.359999999403954,10183896.759999999776483
20130509,5022295.280000000260770,5150331.359999999403954,10172626.640000000596046
20130510,5002654.200000000186265,5225081.759999999776483,10227735.960000000894070
20130513,5030257.879999999888241,5181892.639999999664724,10212150.519999999552965
20130514,5101921.280000000260770,5127075.679999999701977,10228996.960000000894070
20130515,5150227.719999999739230,5117108.959999999962747,10267336.679999999701977
20130516,5126870.759999999776483,5161128.639999999664724,10287999.399999998509884
20130517,5251087.320000000298023,5219267.839999999850988,10470355.160000000149012
20130520,5240470.519999999552965,5196012.160000000149012,10436482.679999999701977
20130521,5242063.040000000037253,5221759.519999999552965,10463822.559999998658895
20130522,5198534.160000000149012,5172756.479999999515712,10371290.640000000596046
20130523,5295147.040000000037253,5179400.959999999962747,10474548.000000000000000
20130524,5308418.040000000037253,5154484.160000000149012,10462902.199999999254942
20130528,5314257.280000000260770,5260795.839999999850988,10575053.120000001043081
20130529,5260111.600000000558794,5261626.400000000372529,10521738.000000000000000
20130530,5337083.400000000372529,5370429.759999999776483,10707513.160000000149012
20130531,5256395.719999999739230,5201826.080000000074506,10458221.800000000745058
20130603,5347700.200000000186265,5215945.599999999627471,10563645.800000000745058
20130604,5287715.280000000260770,5179400.959999999962747,10467116.240000000223517
20130605,5228261.200000000186265,5128736.799999999813735,10356998.000000000000000
20130606,5295677.879999999888241,5142856.320000000298023,10438534.199999999254942
20130607,5440597.200000000186265,5196842.719999999739230,10637439.919999999925494
20130610,5427326.200000000186265,5289034.879999999888241,10716361.080000000074506
20130611,5401315.040000000037253,5309798.879999999888241,10711113.919999999925494
20130612,5355131.959999999962747,5301493.279999999329448,10656625.239999998360872
20130613,5423079.479999999515712,5328071.200000000186265,10751150.679999999701977
20130614,5405561.759999999776483,5299001.599999999627471,10704563.359999999403954
20130617,5469262.560000000521541,5346343.520000000484288,10815606.080000001937151
20130618,5525000.759999999776483,5455146.880000000819564,10980147.640000000596046
20130619,5427857.040000000037253,5420263.360000000335276,10848120.400000000372529
20130620,5289307.799999999813735,5299001.599999999627471,10588309.399999998509884
20130621,5307356.360000000335276,5307307.199999999254942,10614663.559999998658895
20130624,5194287.439999999478459,5369599.200000000186265,10563886.640000000596046
20130625,5237816.320000000298023,5293187.679999999701977,10531004.000000000000000
20130626,5348231.040000000037253,5380396.479999999515712,10728627.519999999552965
20130627,5475632.640000000596046,5489199.839999999850988,10964832.480000000447035
20130628,5437943.000000000000000,5438535.679999999701977,10876478.679999999701977
20130701,5480410.200000000186265,5450994.079999999143183,10931404.279999999329448
20130702,5386451.519999999552965,5421093.919999999925494,10807545.439999999478459
20130703,5461830.799999999813735,5443519.040000000037253,10905349.839999999850988
20130705,5531370.839999999850988,5495844.320000000298023,11027215.160000000149012
20130708,5540395.120000000111759,5611292.160000000149012,11151687.280000001192093
20130709,5556851.160000000149012,5645345.120000000111759,11202196.280000001192093
20130710,5600380.040000000037253,5622089.439999999478459,11222469.480000000447035
20130711,5673635.959999999962747,5677736.959999999962747,11351372.919999999925494
20130712,5407685.120000000111759,5647836.799999999813735,11055521.919999999925494
20130715,5608873.479999999515712,5616275.520000000484288,11225149.000000000000000
20130716,5532963.360000000335276,5557305.759999999776483,11090269.120000001043081
20130717,5562690.400000000372529,5500827.679999999701977,11063518.080000000074506
20130718,5713448.959999999962747,5859629.599999999627471,11573078.559999998658895
20130719,5677882.679999999701977,5934380.000000000000000,11612262.679999999701977
20130722,5672574.280000000260770,5995010.880000000819564,11667585.160000000149012
20130723,5721942.400000000372529,6037369.439999999478459,11759311.839999999850988
20130724,5677351.839999999850988,6024080.479999999515712,11701432.320000000298023
20130725,5664080.839999999850988,6031555.520000000484288,11695636.359999999403954
20130726,5605688.439999999478459,5997502.559999999590218,11603191.000000000000000
20130729,5563752.080000000074506,6045675.040000000037253,11609427.120000001043081
20130730,5612589.360000000335276,6002485.919999999925494,11615075.280000001192093
20130731,5579146.439999999478459,6050658.399999999441206,11629804.839999999850988
20130801,5664080.839999999850988,6076405.759999999776483,11740486.599999999627471
20130802,5727781.640000000596046,6001655.360000000335276,11729437.000000000000000
20130805,5706548.040000000037253,6091355.839999999850988,11797903.879999998956919
20130806,5682129.400000000372529,6083050.239999999292195,11765179.640000000596046
20130807,5649217.320000000298023,6056472.320000000298023,11705689.640000000596046
