訓練日期,20100519 - 20100819
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10938714.339999999850988
真實報酬,938714.339999999850988

夏普值報酬,0.085171434000000
夏普值風險,0.036652111867553
夏普值,2.323779713097529

預期報酬,16796.020575668593665
風險,168982.555110199609771
趨勢值,0.099394997103194
找到最佳解世代,2607
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),VZ[26](3),
Stock#,MRK[17](1),VZ[26](3),
張數,154559,188182,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,16.349999999627471,4.259999999776483,
20100519,5041730.929999998770654,5016936.379999999888241,10058667.309999998658895
20100520,4918083.729999999515712,4883327.159999999217689,9801410.889999998733401
20100521,4952086.709999999031425,4919081.740000000223517,9871168.449999999254942
20100524,4924266.089999999850988,4836281.659999999217689,9760547.750000000000000
20100525,4955177.889999999664724,4821227.099999999627471,9776404.989999998360872
20100526,5010819.129999999888241,4738427.019999999552965,9749246.149999998509884
20100527,5196289.929999998770654,4853218.040000000037253,10049507.969999998807907
20100528,5207109.059999999590218,4841927.120000000111759,10049036.179999999701977
20100601,5182379.620000000111759,4787354.339999999850988,9969733.960000000894070
20100602,5310663.589999999850988,4853218.040000000037253,10163881.629999998956919
20100603,5299844.459999999031425,4862627.139999999664724,10162471.599999997764826
20100604,5126738.379999999888241,4787354.339999999850988,9914092.719999998807907
20100607,5148376.639999999664724,4764772.500000000000000,9913149.140000000596046
20100608,5225656.139999999664724,4870154.419999999925494,10095810.559999998658895
20100609,5210200.240000000223517,4887090.799999999813735,10097291.039999999105930
20100610,5355485.699999999254942,4986827.259999999776483,10342312.959999999031425
20100611,5387943.089999999850988,5024463.659999999217689,10412406.750000000000000
20100614,5412672.530000000260770,5037636.399999999441206,10450308.929999999701977
20100615,5567231.530000000260770,5122318.299999999813735,10689549.830000000074506
20100616,5565685.939999999478459,5133609.219999999739230,10699295.160000000149012
20100617,5542502.089999999850988,5118554.659999999217689,10661056.750000000000000
20100618,5513135.879999999888241,5124200.120000000111759,10637336.000000000000000
20100621,5428128.429999998770654,5112909.200000000186265,10541037.629999998956919
20100622,5429674.020000000484288,5112909.200000000186265,10542583.220000000670552
20100623,5474496.129999999888241,5159954.700000000186265,10634450.830000000074506
20100624,5503862.339999999850988,5095972.819999999366701,10599835.160000000149012
20100625,5553321.219999999739230,5022581.839999999850988,10575903.059999998658895
20100628,5554866.809999999590218,5050809.139999999664724,10605675.949999999254942
20100629,5476041.719999999739230,5035754.580000000074506,10511796.300000000745058
20100630,5404944.579999999143183,4930372.659999999217689,10335317.239999998360872
20100701,5323028.309999999590218,4949190.860000000335276,10272219.169999999925494
20100702,5289025.329999999143183,5045163.679999999701977,10334189.009999997913837
20100706,5355485.699999999254942,5007527.279999999329448,10363012.979999998584390
20100707,5476041.719999999739230,4990590.899999999441206,10466632.619999999180436
20100708,5542502.089999999850988,5039518.219999999739230,10582020.309999998658895
20100709,5610508.049999998882413,5015054.559999999590218,10625562.609999999403954
20100712,5578050.660000000149012,4984945.439999999478459,10562996.099999999627471
20100713,5633691.900000000372529,5060218.240000000223517,10693910.140000000596046
20100714,5595052.150000000372529,5050809.139999999664724,10645861.289999999105930
20100715,5639874.259999999776483,5043281.860000000335276,10683156.120000001043081
20100716,5550230.039999999105930,5022581.839999999850988,10572811.879999998956919
20100719,5533228.549999998882413,5028227.299999999813735,10561455.849999997764826
20100720,5511590.289999999105930,5018818.200000000186265,10530408.489999998360872
20100721,5438947.559999999590218,4990590.899999999441206,10429538.459999999031425
20100722,5437401.969999999739230,5080918.259999999776483,10518320.230000000447035
20100723,5389488.679999998770654,5272863.899999999441206,10662352.579999998211861
20100726,5451312.280000000260770,5321791.219999999739230,10773103.500000000000000
20100727,5437401.969999999739230,5380127.639999999664724,10817529.609999999403954
20100728,5369396.009999999776483,5440345.879999999888241,10809741.890000000596046
20100729,5418854.889999999664724,5434700.419999999925494,10853555.309999998658895
20100730,5326119.490000000223517,5468573.179999999701977,10794692.669999999925494
20100802,5420400.479999999515712,5562664.179999999701977,10983064.660000000149012
20100803,5381760.729999999515712,5558900.540000000037253,10940661.269999999552965
20100804,5438947.559999999590218,5532555.059999999590218,10971502.619999999180436
20100805,5420400.479999999515712,5560782.360000000335276,10981182.839999999850988
20100806,5406490.169999998994172,5560782.360000000335276,10967272.529999999329448
20100809,5465222.589999999850988,5619118.779999999329448,11084341.369999999180436
20100810,5528591.780000000260770,5649227.899999999441206,11177819.679999999701977
20100811,5392579.859999999403954,5562664.179999999701977,10955244.039999999105930
20100812,5415763.709999999031425,5705682.500000000000000,11121446.209999999031425
20100813,5409581.349999999627471,5651109.719999999739230,11060691.070000000298023
20100816,5404944.579999999143183,5637936.979999999515712,11042881.559999998658895
20100817,5493043.209999999031425,5677455.200000000186265,11170498.410000000149012
20100818,5466768.179999998770654,5673691.559999999590218,11140459.739999998360872
20100819,5364759.240000000223517,5573955.099999999627471,10938714.339999999850988
