訓練日期,20170216 - 20170519
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10632177.599999999627471
真實報酬,632177.599999999627471

夏普值報酬,0.054517760000000
夏普值風險,0.017234434350653
夏普值,3.163304283202828

預期報酬,9901.262610473493623
風險,48458.675397480852553
趨勢值,0.204323839421088
找到最佳解世代,2348
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),DIS[6](14),KO[14](1),V[25](6),WMT[28](2),XOM[29](20),
Stock#,AAPL[0](4),DIS[6](14),KO[14](1),V[25](6),WMT[28](2),XOM[29](20),
張數,12299,15126,41213,19038,24263,20041,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,28.510000000009313,83.319999999832362,12.280000000027940,79.479999999981374,40.530000000027940,56.440000000176951,
20170216,1664698.159999999916181,1674682.779999999795109,1697987.880000000121072,1664191.059999999823049,1671033.340000000083819,1649430.740000000223517,10022027.959999999031425
20170217,1669248.790000000037253,1664850.879999999888241,1699224.269999999785796,1665142.959999999962747,1683164.840000000083819,1638608.600000000325963,10020244.339999999850988
20170221,1681301.809999999823049,1664094.579999999841675,1708703.260000000009313,1673900.439999999944121,1733631.880000000121072,1641213.930000000167638,10102849.900000000372529
20170222,1686344.400000000139698,1665758.439999999944121,1714473.080000000074506,1671615.879999999888241,1739940.259999999776483,1621974.570000000298023,10100110.629999998956919
20170223,1679210.979999999981374,1659859.299999999813735,1716945.859999999869615,1678850.320000000065193,1730235.060000000055879,1639009.420000000158325,10104114.939999999478459
20170224,1680809.849999999860302,1668783.639999999664724,1721891.420000000158325,1683609.820000000065193,1756439.100000000093132,1624980.720000000204891,10136518.550000000745058
20170227,1684130.580000000074506,1667422.299999999813735,1717357.989999999990687,1675423.479999999981374,1740668.149999999906868,1634199.580000000307336,10119206.080000000074506
20170228,1684868.520000000018626,1665304.659999999916181,1729309.760000000009313,1674281.199999999953434,1721015.120000000111759,1629790.560000000055879,10104573.820000000298023
20170301,1719305.719999999972060,1679674.359999999869615,1737552.359999999869615,1694271.099999999860302,1709368.880000000121072,1663860.260000000009313,10204036.679999999701977
