訓練日期,20120612 - 20120912
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11405234.339999999850988
真實報酬,1405234.339999999850988

夏普值報酬,0.131823434000000
夏普值風險,0.035911110674382
夏普值,3.670825867662153

預期報酬,21325.536813217313465
風險,82257.533746835470083
趨勢值,0.259253296832981
找到最佳解世代,2334
找到最佳解實驗#,8
找到最佳解次數,2

stock[index](rank)
投資組合檔數,6
AAPL[0](5),HD[9](14),JPM[13](7),MRK[17](9),PG[21](15),WMT[28](11),
Stock#,AAPL[0](5),HD[9](14),JPM[13](7),MRK[17](9),PG[21](15),WMT[28](11),
張數,20424,32456,50782,43323,26649,24680,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,67.600000000093132,50.399999999906868,0.760000000009313,30.189999999944121,37.540000000037253,25.599999999860302,
20120612,1681167.040000000037253,1695551.840000000083819,1714908.900000000139698,1683128.739999999990687,1672528.780000000027940,1671355.199999999720603,10118644.500000000000000
20120613,1669525.360000000102445,1654332.719999999972060,1741823.359999999869615,1663633.389999999897555,1667465.469999999972060,1655313.199999999720603,10052097.499999998137355
20120614,1667687.200000000186265,1692955.359999999869615,1759597.059999999823049,1680529.359999999869615,1683721.360000000102445,1669133.999999999767169,10153628.339999999850988
20120615,1675244.080000000074506,1683543.119999999878928,1778894.219999999972060,1687027.809999999823049,1675726.660000000149012,1672095.599999999860302,10172535.490000000223517
20120618,1709147.920000000158325,1698148.319999999832362,1758073.599999999860302,1683128.739999999990687,1660003.750000000000000,1681227.199999999953434,10189733.529999999329448
20120619,1714049.680000000167638,1719244.719999999972060,1796667.920000000158325,1699591.479999999748543,1657871.830000000074506,1673576.399999999906868,10261006.029999999329448
20120620,1709147.920000000158325,1714700.879999999888241,1851004.660000000149012,1698725.020000000018626,1609370.650000000139698,1691099.199999999720603,10274052.330000000074506
20120621,1685456.080000000074506,1663744.959999999729916,1803269.579999999841675,1709122.540000000037253,1592315.290000000037253,1670861.599999999860302,10124774.049999998882413
20120622,1698527.439999999944121,1688411.520000000018626,1827644.940000000176951,1740748.329999999841675,1594447.209999999962747,1660989.599999999860302,10210773.040000000968575
20120625,1665440.560000000288710,1672183.520000000018626,1793621.000000000000000,1723419.129999999888241,1580589.730000000214204,1682708.000000000000000,10117965.939999999478459
20120626,1669116.880000000121072,1683867.679999999934807,1813425.979999999981374,1735982.800000000046566,1579523.770000000018626,1692579.999999999767169,10174501.109999999403954
20120627,1676265.280000000027940,1673157.199999999720603,1867762.719999999972060,1755911.379999999888241,1598444.560000000055879,1692826.800000000046566,10264371.939999999478459
20120628,1660334.560000000288710,1677701.039999999804422,1822058.920000000158325,1762409.829999999841675,1606705.750000000000000,1685669.599999999860302,10214883.700000001117587
20120629,1704041.920000000158325,1719893.840000000083819,1814441.619999999878928,1808765.439999999944121,1632288.790000000037253,1720715.199999999720603,10400150.809999998658895
20120702,1728959.200000000186265,1720542.959999999729916,1842371.719999999972060,1813097.739999999990687,1630689.849999999860302,1711583.599999999627471,10447249.070000000298023
20120703,1748974.719999999972060,1676402.799999999813735,1822058.920000000158325,1811364.820000000065193,1635220.179999999934807,1746135.599999999860302,10440161.039999999105930
20120705,1779610.719999999972060,1691332.559999999823049,1745885.920000000158325,1803566.680000000167638,1634953.690000000176951,1754279.999999999767169,10409633.570000000298023
20120706,1767764.800000000046566,1692630.799999999813735,1721510.559999999823049,1798367.919999999925494,1633088.260000000009313,1761190.399999999906868,10374556.740000000223517
20120709,1791252.400000000139698,1691657.119999999878928,1724557.479999999981374,1825228.180000000167638,1640283.489999999990687,1771062.399999999906868,10444045.070000000298023
20120710,1774708.960000000195578,1694902.719999999972060,1739284.260000000009313,1792302.699999999720603,1645080.310000000055879,1779700.399999999906868,10425983.350000001490116
20120711,1763680.000000000000000,1677051.919999999925494,1756550.140000000130385,1785371.020000000018626,1636286.139999999897555,1783402.399999999906868,10402345.620000001043081
20120712,1747545.040000000037253,1673157.199999999720603,1728620.040000000037253,1859020.119999999878928,1697578.840000000083819,1784636.399999999906868,10490561.640000000596046
20120713,1765109.680000000167638,1690683.439999999944121,1831707.500000000000000,1883281.000000000000000,1734620.950000000186265,1806108.000000000000000,10711514.570000000298023
20120716,1770828.400000000139698,1669911.600000000093132,1781941.140000000130385,1878082.239999999990687,1727159.230000000214204,1801172.000000000000000,10629098.610000001266599
20120717,1771032.639999999897555,1646218.719999999972060,1776862.940000000176951,1914473.559999999823049,1741549.689999999944121,1804133.599999999627471,10654275.149999998509884
20120718,1768990.239999999990687,1652385.359999999869615,1775339.479999999981374,1903642.809999999823049,1727425.719999999739230,1797963.599999999627471,10625751.209999999031425
20120719,1792477.840000000083819,1654008.159999999916181,1749948.479999999981374,1903642.809999999823049,1730090.620000000111759,1765386.000000000000000,10595557.910000000149012
20120720,1763271.520000000018626,1645569.600000000093132,1721510.559999999823049,1880681.619999999878928,1725027.310000000055879,1783155.599999999860302,10519220.209999999031425
20120723,1761841.840000000083819,1654008.159999999916181,1748932.839999999850988,1874616.400000000139698,1715966.650000000139698,1773283.599999999627471,10528653.490000000223517
20120724,1753468.000000000000000,1660823.919999999925494,1763659.619999999878928,1849489.059999999823049,1706106.520000000018626,1780440.799999999813735,10513991.919999998062849
