訓練日期,20130620 - 20130920
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11125727.879999998956919
真實報酬,1125727.879999998956919

夏普值報酬,0.103872788000000
夏普值風險,0.040251597608650
夏普值,2.580587956033774

預期報酬,19049.062236908121122
風險,145761.393627772253240
趨勢值,0.130686608866771
找到最佳解世代,2041
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,4
AAPL[0](5),BA[2](7),NKE[19](4),UNH[23](1),
Stock#,AAPL[0](5),BA[2](7),NKE[19](4),UNH[23](1),
張數,41370,24449,80958,38308,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,10.899999999906868,89.750000000000000,16.959999999962747,19.919999999925494,
20130620,2463594.399999999906868,2436188.109999999869615,2460330.580000000074506,2444070.319999999832362,9804183.410000000149012
20130621,2443736.799999999813735,2444500.770000000018626,2452234.779999999795109,2447901.119999999646097,9788373.469999998807907
20130624,2379199.599999999627471,2392424.399999999906868,2427137.799999999813735,2476632.120000000111759,9675393.919999999925494
20130625,2379613.299999999813735,2412472.580000000074506,2444948.560000000055879,2441388.759999999776483,9678423.199999999254942
20130626,2352722.799999999813735,2463326.500000000000000,2504047.899999999906868,2481612.160000000149012,9801709.359999999403954
20130627,2327073.399999999906868,2522004.100000000093132,2522668.239999999757856,2531795.640000000130385,9903541.380000000819564
20130628,2343621.399999999906868,2504645.310000000055879,2577719.680000000167638,2508427.760000000242144,9934414.150000000372529
20130701,2418501.100000000093132,2524204.509999999776483,2523477.820000000298023,2514173.959999999962747,9980357.390000000596046
20130702,2473109.500000000000000,2480929.779999999795109,2534811.939999999944121,2500383.079999999608845,9989234.299999998882413
20130703,2486761.600000000093132,2515647.359999999869615,2544526.899999999906868,2510726.240000000223517,10057662.099999999627471
20130705,2466904.000000000000000,2547675.550000000279397,2576100.520000000018626,2534860.279999999795109,10125540.349999999627471
20130708,2452838.199999999720603,2551831.879999999888241,2579338.839999999850988,2588108.399999999906868,10172117.320000000298023
20130709,2496276.700000000186265,2559411.070000000298023,2588244.219999999739230,2603814.679999999701977,10247746.669999999925494
20130710,2486347.899999999906868,2579459.250000000000000,2574481.359999999869615,2593088.439999999944121,10233376.949999999254942
20130711,2525235.699999999720603,2613198.870000000111759,2579338.839999999850988,2618754.799999999813735,10336528.210000000894070
20130712,2520685.000000000000000,2490709.379999999888241,2577719.680000000167638,2604963.919999999925494,10194077.980000000447035
20130715,2526063.100000000093132,2583371.089999999850988,2564766.399999999906868,2590406.879999999888241,10264607.469999998807907
20130716,2542611.100000000093132,2548409.020000000018626,2538050.260000000242144,2563208.199999999720603,10192278.580000000074506
20130717,2543024.799999999813735,2562100.459999999962747,2563956.820000000298023,2537158.760000000242144,10206240.839999999850988
20130718,2551712.500000000000000,2631535.620000000111759,2563147.239999999757856,2702649.319999999832362,10449044.679999999701977
20130719,2511583.600000000093132,2615154.790000000037253,2564766.399999999906868,2737126.520000000018626,10428631.310000000521541
20130722,2519443.899999999906868,2612709.890000000130385,2562337.659999999683350,2765091.360000000335276,10459582.809999998658895
20130723,2476419.100000000093132,2635447.459999999962747,2558289.760000000242144,2784628.439999999944121,10454784.759999999776483
20130724,2603425.000000000000000,2614910.300000000279397,2535621.520000000018626,2778499.160000000149012,10532455.980000000447035
20130725,2591427.699999999720603,2608798.050000000279397,2529954.459999999962747,2781946.879999999888241,10512127.089999999850988
20130726,2606320.899999999906868,2581904.149999999906868,2531573.620000000111759,2766240.599999999627471,10486039.269999999552965
20130729,2646449.799999999813735,2562589.439999999944121,2538859.839999999850988,2788459.240000000223517,10536358.320000000298023
20130730,2679132.100000000093132,2585082.520000000018626,2544526.899999999906868,2768539.079999999608845,10577280.599999999627471
20130731,2674581.400000000372529,2569679.649999999906868,2546955.640000000130385,2790757.719999999739230,10581974.410000000149012
20130801,2698989.699999999720603,2608798.050000000279397,2670821.380000000353903,2802633.199999999720603,10781242.330000000074506
20130802,2733740.500000000000000,2638136.850000000093132,2683774.659999999683350,2768156.000000000000000,10823808.009999999776483
20130805,2774283.100000000093132,2628357.250000000000000,2687822.560000000055879,2809528.640000000130385,10899991.550000000745058
20130806,2749461.099999999627471,2617110.709999999962747,2693489.620000000111759,2805697.839999999850988,10865759.269999999552965
20130807,2748220.000000000000000,2601952.330000000074506,2657058.520000000018626,2793439.279999999795109,10800670.129999998956919
20130808,2724639.100000000093132,2587771.910000000149012,2674059.700000000186265,2803399.360000000335276,10789870.070000000298023
20130809,2685751.299999999813735,2575302.919999999925494,2684584.239999999757856,2793822.360000000335276,10739460.820000000298023
20130812,2762285.799999999813735,2548653.509999999776483,2692680.039999999571592,2773136.040000000037253,10776755.390000000596046
20130813,2893428.699999999720603,2597307.020000000018626,2664344.739999999757856,2809911.719999999739230,10964992.179999999701977
20130814,2945968.599999999627471,2546697.589999999850988,2604435.820000000298023,2776966.839999999850988,10874068.849999999627471
20130815,2942658.999999999534339,2511735.520000000018626,2570433.459999999962747,2735211.120000000111759,10760039.099999999627471
20130816,2968722.100000000093132,2529827.779999999795109,2576910.099999999627471,2736360.360000000335276,10811820.339999999850988
20130819,3000577.000000000000000,2560389.029999999795109,2619008.260000000242144,2747086.599999999627471,10927060.889999998733401
20130820,2961275.500000000000000,2558188.620000000111759,2616579.520000000018626,2775817.599999999627471,10911861.240000000223517
20130821,2969135.799999999813735,2540585.339999999850988,2596340.020000000018626,2752449.719999999739230,10858510.879999998956919
20130822,2972445.399999999441206,2570657.609999999869615,2625484.899999999906868,2757046.679999999701977,10925634.589999999850988
20130823,2960861.799999999813735,2578970.270000000018626,2598768.760000000242144,2778882.240000000223517,10917483.070000000298023
20130826,2972445.399999999441206,2580192.720000000204891,2587434.640000000130385,2772752.959999999962747,10912825.719999998807907
20130827,2887636.899999999906868,2523471.040000000037253,2542907.739999999757856,2739808.079999999608845,10693823.759999999776483
20130828,2901288.999999999534339,2524937.979999999981374,2565575.979999999981374,2740574.240000000223517,10732377.199999999254942
20130829,2905839.699999999720603,2565523.320000000298023,2569623.879999999888241,2775051.439999999944121,10816038.339999999850988
20130830,2879362.899999999441206,2540829.830000000074506,2542907.739999999757856,2748235.839999999850988,10711336.309999998658895
20130903,2887636.899999999906868,2567479.240000000223517,2602816.659999999683350,2779648.399999999906868,10837581.200000001117587
20130904,2947209.699999999720603,2600729.879999999888241,2636819.020000000018626,2809911.719999999739230,10994670.320000000298023
20130905,2926938.399999999906868,2607575.600000000093132,2646533.979999999981374,2836344.240000000223517,11017392.220000000670552
20130906,2944313.799999999813735,2593395.179999999701977,2630342.380000000353903,2837110.399999999906868,11005161.759999999776483
20130909,2991475.600000000093132,2620778.060000000055879,2647343.560000000055879,2844388.919999999925494,11103986.140000000596046
20130910,2923215.099999999627471,2644738.080000000074506,2704823.739999999757856,2858945.959999999962747,11131722.879999998956919
20130911,2764354.299999999813735,2670654.020000000018626,2736397.359999999869615,2880015.360000000335276,11051421.039999999105930
20130912,2793727.000000000000000,2684589.949999999720603,2755827.279999999795109,2863159.839999999850988,11097304.069999998435378
20130913,2747392.599999999627471,2721996.919999999925494,2749350.640000000130385,2853199.760000000242144,11071939.919999999925494
20130916,2660101.899999999906868,2828105.580000000074506,2760684.760000000242144,2877716.879999999888241,11126609.120000001043081
20130917,2691129.399999999906868,2863312.140000000130385,2765542.239999999757856,2846687.399999999906868,11166671.179999999701977
20130918,2746151.499999999534339,2894851.350000000093132,2812497.880000000353903,2798036.240000000223517,11251536.970000000670552
20130919,2791244.799999999813735,2910498.709999999962747,2813307.459999999962747,2713758.640000000130385,11228809.609999999403954
20130920,2762285.799999999813735,2851576.620000000111759,2808449.979999999981374,2703415.479999999515712,11125727.879999998956919
