訓練日期,20110915 - 20111215
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11344441.099999999627471
真實報酬,1344441.099999999627471

夏普值報酬,0.125744110000000
夏普值風險,0.042332405946523
夏普值,2.970398378935678

預期報酬,23075.948773821593932
風險,170939.059906899288762
趨勢值,0.134995177734040
找到最佳解世代,2168
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](2),IBM[10](4),MCD[15](1),WMT[28](3),
Stock#,HD[9](2),IBM[10](4),MCD[15](1),WMT[28](3),
張數,74537,14948,28818,47892,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,29.020000000018626,96.479999999981374,38.500000000000000,37.600000000093132,
20110915,2555157.379999999888241,2542601.799999999813735,2538039.759999999776483,2514846.520000000018626,10150645.459999999031425
20110916,2579754.589999999850988,2585951.000000000000000,2544379.720000000204891,2521551.399999999906868,10231636.710000000894070
20110919,2560374.970000000204891,2588043.719999999739230,2559365.080000000074506,2511973.000000000000000,10219756.769999999552965
20110920,2594661.990000000223517,2611811.040000000037253,2573774.080000000074506,2504310.280000000260770,10284557.390000000596046
20110921,2522361.100000000093132,2586399.439999999944121,2522189.859999999869615,2457855.040000000037253,10088805.440000001341105
20110922,2463476.869999999646097,2520628.240000000223517,2478098.319999999832362,2408047.360000000335276,9870250.789999999105930
20110923,2513416.660000000149012,2531390.799999999813735,2517867.160000000149012,2432951.200000000186265,9995625.820000000298023
20110926,2534287.020000000018626,2608671.959999999962747,2574638.620000000111759,2482279.959999999962747,10199877.560000000521541
20110927,2525342.580000000074506,2656505.560000000055879,2586165.819999999832362,2491858.360000000335276,10259872.320000000298023
20110928,2504472.220000000204891,2654113.880000000353903,2536887.040000000037253,2457376.120000000111759,10152849.260000001639128
20110929,2518634.250000000000000,2678329.639999999664724,2558500.540000000037253,2487069.160000000149012,10242533.589999999850988
20110930,2450060.209999999962747,2614053.240000000223517,2530835.259999999776483,2485632.399999999906868,10080581.109999999403954
20111003,2354652.850000000093132,2590435.399999999906868,2478962.859999999869615,2488505.919999999925494,9912557.029999999329448
20111004,2420245.410000000149012,2612110.000000000000000,2492219.140000000130385,2532566.560000000055879,10057141.110000001266599
20111005,2447078.729999999981374,2643650.279999999795109,2473487.439999999944121,2521551.399999999906868,10085767.849999999627471
20111006,2488074.080000000074506,2715998.600000000093132,2510374.479999999981374,2526340.600000000093132,10240787.759999999776483
20111007,2528324.060000000055879,2726462.199999999720603,2512968.100000000093132,2571838.000000000000000,10339592.359999999403954
20111010,2583481.439999999944121,2789692.240000000223517,2550719.680000000167638,2624998.120000000111759,10548891.480000000447035
20111011,2587208.290000000037253,2765476.479999999981374,2574638.620000000111759,2620687.839999999850988,10548011.230000000447035
20111012,2587953.660000000149012,2782218.240000000223517,2546396.979999999981374,2643676.000000000000000,10560244.880000000819564
