訓練日期,20160223 - 20160524
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11019052.300000000745058
真實報酬,1019052.300000000745058

夏普值報酬,0.093205230000000
夏普值風險,0.032776918331487
夏普值,2.843623950774607

預期報酬,17378.163227459557675
風險,84943.712055014388170
趨勢值,0.204584457248636
找到最佳解世代,2286
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,4
IBM[10](14),JNJ[12](1),PFE[20](12),XOM[29](8),
Stock#,IBM[10](14),JNJ[12](1),PFE[20](12),XOM[29](8),
張數,18688,23866,83194,30343,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,106.239999999757856,36.500000000000000,20.299999999813735,40.229999999981374,
20160223,2474397.439999999944121,2484009.779999999795109,2492512.540000000037253,2464802.120000000111759,9915721.879999998956919
20160224,2481872.640000000130385,2505011.859999999869615,2497504.179999999701977,2473601.589999999850988,9957990.269999999552965
20160225,2513642.239999999757856,2538901.580000000074506,2544924.759999999776483,2488469.660000000149012,10085938.240000000223517
20160226,2467482.879999999888241,2524581.979999999981374,2514974.919999999925494,2480580.479999999981374,9987620.259999999776483
20160229,2448794.879999999888241,2510978.359999999869615,2468386.279999999795109,2432031.680000000167638,9860191.199999999254942
20160301,2511212.799999999813735,2558949.020000000018626,2499168.059999999590218,2466319.270000000018626,10035649.150000000372529
20160302,2547280.640000000130385,2554653.140000000130385,2494176.419999999925494,2509406.330000000074506,10105516.530000001192093
20160303,2575312.640000000130385,2545345.399999999906868,2486688.959999999962747,2500303.430000000167638,10107650.429999999701977
20160304,2575312.640000000130385,2541765.500000000000000,2471714.040000000037253,2496965.700000000186265,10085757.880000000819564
20160307,2619229.439999999944121,2547493.339999999850988,2478369.559999999590218,2562810.009999999776483,10207902.349999997764826
20160308,2599046.399999999441206,2535083.020000000018626,2442596.139999999664724,2507282.319999999832362,10084007.879999998956919
20160309,2624088.319999999832362,2549879.939999999944121,2474209.859999999869615,2500303.430000000167638,10148481.549999998882413
20160310,2619976.959999999497086,2557039.740000000223517,2461730.759999999776483,2493627.970000000204891,10132375.429999999701977
20160311,2660529.919999999925494,2570643.359999999869615,2537437.299999999813735,2493931.399999999906868,10262541.979999998584390
20160314,2668378.879999999888241,2569450.060000000055879,2504159.699999999720603,2500606.859999999869615,10242595.499999998137355
20160315,2671742.719999999739230,2571836.660000000149012,2457571.059999999590218,2513047.489999999757856,10214197.929999999701977
20160316,2705941.759999999776483,2563483.560000000055879,2415974.059999999590218,2514564.640000000130385,10199964.019999999552965
20160317,2747989.759999999776483,2547493.339999999850988,2440932.259999999776483,2551886.529999999795109,10288301.889999998733401
20160318,2748924.159999999683350,2565631.500000000000000,2450083.599999999627471,2554920.830000000074506,10319560.089999999850988
20160321,2777703.679999999701977,2560380.979999999981374,2501663.879999999888241,2537321.890000000130385,10377070.429999999701977
20160322,2767799.039999999571592,2562767.580000000074506,2527454.019999999552965,2552493.390000000130385,10410514.029999999329448
20160323,2717341.439999999944121,2589497.500000000000000,2511647.160000000149012,2541266.479999999981374,10359752.580000000074506
20160324,2764995.839999999385327,2584962.959999999962747,2502495.819999999832362,2548245.370000000111759,10400699.989999998360872
