訓練日期,20161019 - 20170123
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11155233.460000000894070
真實報酬,1155233.460000000894070

夏普值報酬,0.106823346000000
夏普值風險,0.035019759400373
夏普值,3.050373498535895

預期報酬,20655.784214487805002
風險,87425.795552926079836
趨勢值,0.236266471284018
找到最佳解世代,2247
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](28),AXP[1](8),CVX[5](5),DIS[6](1),PG[21](29),UTX[24](7),
Stock#,AAPL[0](28),AXP[1](8),CVX[5](5),DIS[6](1),PG[21](29),UTX[24](7),
張數,14188,27740,16373,18280,19058,16668,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,1.640000000130385,46.800000000046566,58.329999999841675,78.399999999906868,43.899999999906868,32.680000000167638,
20161019,1661700.200000000186265,1699121.800000000046566,1674525.039999999804422,1680558.800000000046566,1630265.219999999972060,1662832.360000000335276,10009007.419999999925494
20161020,1660848.920000000158325,1852524.000000000000000,1667975.839999999850988,1682386.799999999813735,1618639.840000000083819,1654998.400000000372529,10137377.800000000745058
20161021,1654322.439999999944121,1868613.199999999953434,1658643.229999999748543,1700666.799999999813735,1607205.039999999804422,1644664.240000000223517,10134118.949999999254942
20161024,1669219.840000000316650,1861123.400000000139698,1648164.509999999776483,1706882.000000000000000,1602821.699999999720603,1658832.040000000037253,10147047.489999998360872
20161025,1677732.640000000130385,1851414.399999999906868,1649965.539999999804422,1695548.399999999906868,1657518.159999999916181,1689501.160000000149012,10221684.300000000745058
20161026,1639992.560000000288710,1853078.800000000046566,1656842.199999999720603,1709075.599999999860302,1665713.100000000093132,1683667.360000000335276,10208373.620000001043081
20161027,1624243.880000000121072,1856685.000000000232831,1636048.489999999757856,1718763.999999999767169,1650085.539999999804422,1667999.439999999944121,10153830.349999999627471
20161028,1613461.000000000000000,1843369.800000000046566,1699903.189999999711290,1715656.399999999906868,1655040.619999999878928,1697501.800000000279397,10224936.809999998658895
20161031,1610907.160000000149012,1842537.600000000093132,1715130.079999999841675,1694451.599999999860302,1654278.299999999813735,1703502.280000000260770,10220811.019999999552965
20161101,1581821.760000000009313,1837821.800000000046566,1743455.369999999878928,1688967.599999999860302,1655231.199999999720603,1700335.360000000335276,10207637.089999999850988
20161102,1583240.560000000288710,1815629.800000000046566,1725608.799999999813735,1680193.199999999953434,1653134.819999999832362,1692501.400000000372529,10150312.580000000074506
20161103,1558269.680000000167638,1812301.000000000000000,1725608.799999999813735,1706882.000000000000000,1650466.699999999720603,1684334.080000000074506,10137866.259999999776483
20161104,1544223.560000000288710,1817294.200000000186265,1715621.269999999785796,1690064.399999999906868,1621498.539999999804422,1689001.120000000111759,10077707.089999999850988
20161107,1566498.719999999972060,1858626.800000000046566,1749513.379999999655411,1726258.800000000046566,1649704.379999999888241,1717670.080000000074506,10268276.159999998286366
20161108,1575720.920000000158325,1860568.599999999860302,1756717.500000000000000,1725344.799999999813735,1666856.579999999841675,1723003.840000000316650,10308216.239999998360872
20161109,1573167.080000000074506,1906894.399999999906868,1762448.049999999813735,1730097.599999999860302,1637697.840000000083819,1747005.760000000242144,10357314.729999998584390
20161110,1529326.160000000149012,1944898.199999999953434,1764904.000000000000000,1735947.199999999720603,1581095.579999999841675,1807010.560000000055879,10363185.700000001117587
20161111,1538406.480000000214204,1955716.800000000046566,1746075.049999999813735,1785668.800000000046566,1592911.539999999804422,1814511.160000000149012,10433293.830000000074506
20161114,1499815.120000000111759,2008977.600000000093132,1745256.399999999906868,1790056.000000000000000,1581857.899999999906868,1797843.160000000149012,10423810.179999999701977
20161115,1519678.320000000065193,2010364.600000000093132,1784060.409999999683350,1786034.399999999906868,1593673.860000000102445,1794842.920000000391155,10488658.509999999776483
20161116,1560539.760000000009313,1988450.000000000232831,1774072.879999999655411,1811992.000000000000000,1585478.919999999925494,1782841.959999999962747,10503379.519999999552965
20161117,1559972.240000000223517,1991224.000000000000000,1770307.089999999850988,1816562.000000000000000,1583191.959999999729916,1778508.280000000260770,10499769.570000000298023
20161118,1561532.920000000158325,1969586.800000000046566,1787989.929999999934807,1795905.599999999860302,1562799.899999999906868,1775174.680000000167638,10452993.830000000074506
20161121,1585226.880000000121072,1984566.400000000139698,1804035.469999999972060,1784754.799999999813735,1574997.020000000018626,1781008.479999999981374,10514593.050000000745058
20161122,1586220.040000000037253,1989559.600000000093132,1811239.589999999850988,1786217.199999999720603,1577283.979999999981374,1782508.600000000093132,10533033.009999999776483
20161123,1578132.880000000121072,2021738.000000000000000,1817461.329999999841675,1796271.199999999953434,1575759.340000000083819,1802010.160000000149012,10591376.910000000149012
20161125,1586078.160000000149012,2021183.199999999953434,1817461.329999999841675,1806507.999999999767169,1590624.579999999841675,1813177.720000000204891,10635036.990000000223517
20161128,1582956.800000000046566,2000933.000000000000000,1809274.829999999841675,1809250.000000000000000,1583191.959999999729916,1807677.280000000260770,10593287.870000001043081
20161129,1581396.120000000111759,1983179.399999999906868,1790282.149999999906868,1822046.000000000000000,1579761.520000000018626,1814177.800000000279397,10570846.990000000223517
20161130,1568059.400000000139698,1998436.400000000139698,1826630.209999999962747,1811992.000000000000000,1571566.579999999841675,1795509.640000000130385,10572198.230000000447035
20161201,1553445.760000000009313,2012029.000000000000000,1854955.500000000000000,1808701.599999999860302,1560131.779999999795109,1791509.320000000298023,10580776.959999999031425
20161202,1559262.840000000316650,1993443.199999999953434,1850207.329999999841675,1800658.399999999906868,1570423.100000000093132,1803843.640000000130385,10577842.509999999776483
20161205,1548054.320000000065193,1998159.000000000000000,1854300.579999999841675,1827347.199999999720603,1581667.319999999832362,1790509.240000000223517,10600041.660000000149012
20161206,1559972.240000000223517,2005926.200000000186265,1846277.809999999823049,1840143.199999999953434,1580142.679999999934807,1790675.920000000391155,10623142.050000000745058
20161207,1575295.280000000260770,2060851.400000000139698,1873784.449999999720603,1864455.599999999860302,1604346.340000000083819,1828178.920000000391155,10806915.990000000223517
20161208,1590760.200000000186265,2078050.199999999953434,1885736.739999999757856,1889864.799999999813735,1591386.899999999906868,1807343.920000000391155,10843146.759999999776483
20161209,1616724.240000000223517,2074166.599999999860302,1896215.459999999962747,1916919.199999999953434,1607967.360000000102445,1830012.400000000372529,10942009.259999999776483
20161212,1607502.040000000037253,2041156.000000000000000,1918155.280000000027940,1902295.199999999953434,1622451.439999999711290,1840013.200000000186265,10931577.160000000149012
20161213,1634317.360000000102445,2048368.400000000139698,1922575.989999999757856,1898456.399999999906868,1623404.340000000083819,1838679.760000000242144,10965806.250000000000000
20161214,1634317.360000000102445,2054748.599999999860302,1898671.409999999683350,1902112.399999999906868,1607967.360000000102445,1821345.040000000037253,10919166.169999998062849
20161215,1643255.800000000046566,2078882.399999999906868,1916517.979999999748543,1908327.599999999860302,1613875.340000000083819,1802343.520000000018626,10963206.639999998733401
20161216,1645384.000000000000000,2080546.800000000046566,1933382.169999999925494,1899553.199999999953434,1613875.340000000083819,1808844.040000000037253,10981589.550000000745058
20161219,1654889.960000000195578,2068063.800000000046566,1926341.780000000027940,1924962.399999999906868,1614447.079999999841675,1847180.439999999944121,11035889.459999999031425
20161220,1659288.240000000223517,2082211.200000000186265,1931253.679999999934807,1927887.199999999720603,1611778.959999999729916,1844346.880000000353903,11056770.160000000149012
20161221,1660848.920000000158325,2089423.599999999860302,1930598.759999999776483,1929715.199999999953434,1606252.139999999897555,1841680.000000000000000,11058522.619999999180436
20161222,1649924.160000000149012,2068896.000000000000000,1944679.539999999804422,1927156.000000000000000,1609873.159999999916181,1841179.959999999962747,11041712.820000000298023
20161223,1653187.400000000139698,2079714.600000000093132,1938948.989999999757856,1922220.399999999906868,1619211.579999999841675,1844346.880000000353903,11057633.850000001490116
20161227,1663686.520000000251457,2079992.000000000232831,1935674.389999999897555,1922586.000000000000000,1612350.699999999720603,1849847.320000000298023,11064140.929999999701977
20161228,1656592.520000000251457,2063070.600000000093132,1930598.759999999776483,1906682.399999999906868,1602249.959999999729916,1836679.600000000093132,10995877.839999997988343
20161229,1656166.880000000121072,2050587.600000000093132,1929125.189999999711290,1911435.199999999953434,1607586.199999999720603,1842680.080000000074506,10997585.150000000372529
20161230,1643255.800000000046566,2055026.000000000000000,1927160.429999999934807,1905220.000000000000000,1602440.539999999804422,1827178.840000000316650,10960285.609999999403954
20170103,1647937.840000000316650,2090255.799999999813735,1929616.379999999655411,1939220.799999999813735,1604727.500000000000000,1847347.120000000111759,11059109.440000001341105
20170104,1646093.400000000139698,2115499.200000000186265,1929125.189999999711290,1964081.599999999860302,1610444.899999999906868,1848513.880000000353903,11113762.169999999925494
20170105,1654464.320000000065193,2089423.599999999860302,1920774.959999999962747,1962984.799999999813735,1621117.379999999888241,1856014.479999999981374,11104783.539999999105930
