訓練日期,20100712 - 20101011
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11657120.670000001788139
真實報酬,1657120.670000001788139

夏普值報酬,0.157012067000000
夏普值風險,0.044995590064056
夏普值,3.489499010380294

預期報酬,27551.591865691574640
風險,111624.527343846260919
趨勢值,0.246823816604590
找到最佳解世代,1973
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),VZ[26](1),
Stock#,MCD[15](2),VZ[26](1),
張數,72233,187617,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,31.740000000223517,6.950000000186265,
20100712,5052007.759999999776483,4969981.280000000260770,10021989.039999999105930
20100713,5117017.460000000894070,5045028.080000000074506,10162045.540000000968575
20100714,5121351.440000000409782,5035647.230000000447035,10156998.670000001788139
20100715,5152411.629999999888241,5028142.550000000745058,10180554.179999999701977
20100716,5052007.759999999776483,5007504.680000000633299,10059512.440000001341105
20100719,5049840.769999999552965,5013133.190000000409782,10062973.960000000894070
20100720,5119184.450000000186265,5003752.340000000782311,10122936.790000000968575
20100721,5064287.370000000111759,4975609.790000000037253,10039897.160000000149012
20100722,5157467.940000000409782,5065665.950000000186265,10223133.890000000596046
20100723,5049118.440000000409782,5257035.290000000037253,10306153.730000000447035
20100726,5119184.450000000186265,5305815.709999999962747,10425000.160000000149012
20100727,5085234.940000000409782,5363976.980000000447035,10449211.920000001788139
20100728,5039728.150000000372529,5424014.419999999925494,10463742.570000000298023
20100729,5011557.280000000260770,5418385.910000000149012,10429943.190000001341105
20100730,5036838.830000000074506,5452156.969999999739230,10488995.800000000745058
20100802,5074399.990000000223517,5545965.469999999739230,10620365.460000000894070
20100803,5088846.590000000782311,5542213.129999999888241,10631059.720000000670552
20100804,5106182.509999999776483,5515946.750000000000000,10622129.259999999776483
20100805,5088846.590000000782311,5544089.300000000745058,10632935.890000000596046
20100806,5182027.160000000149012,5544089.300000000745058,10726116.460000000894070
20100809,5267262.100000000558794,5602250.570000000298023,10869512.670000001788139
20100810,5261483.460000000894070,5632269.290000000037253,10893752.750000000000000
20100811,5169747.549999999813735,5545965.469999999739230,10715713.019999999552965
20100812,5205141.720000000670552,5688554.390000000596046,10893696.110000001266599
20100813,5192862.110000000335276,5634145.459999999962747,10827007.570000000298023
20100816,5185638.810000000521541,5621012.270000000484288,10806651.080000001937151
20100817,5288932.000000000000000,5660411.840000000782311,10949343.839999999850988
20100818,5291098.990000000223517,5656659.500000000000000,10947758.490000000223517
20100819,5270873.750000000000000,5557222.490000000223517,10828096.240000000223517
20100820,5278819.379999999888241,5510318.240000000223517,10789137.620000001043081
20100823,5297599.960000000894070,5517822.919999999925494,10815422.880000000819564
20100824,5252815.500000000000000,5529079.940000000409782,10781895.440000001341105
20100825,5286765.009999999776483,5564727.169999999925494,10851492.179999999701977
20100826,5284598.019999999552965,5534708.450000000186265,10819306.469999998807907
20100827,5344551.410000000149012,5598498.230000000447035,10943049.640000000596046
20100830,5254260.160000000149012,5523451.430000000633299,10777711.589999999850988
20100831,5277374.720000000670552,5540336.959999999962747,10817711.679999999701977
20100901,5384279.560000000521541,5677297.370000000111759,11061576.929999999701977
20100902,5418951.400000000372529,5649154.820000000298023,11068106.220000000670552
20100903,5424007.710000000894070,5666040.349999999627471,11090048.060000000521541
20100907,5475293.139999999664724,5669792.690000000409782,11145085.830000000074506
20100908,5495518.379999999888241,5714820.770000000484288,11210339.150000000372529
20100909,5371999.950000000186265,5786115.230000000447035,11158115.179999999701977
20100910,5418229.070000000298023,5782362.890000000596046,11200591.960000000894070
20100913,5386446.549999999813735,5797372.250000000000000,11183818.800000000745058
20100914,5340939.759999999776483,5799248.419999999925494,11140188.179999999701977
20100915,5396559.169999999925494,5851781.180000000633299,11248340.350000001490116
20100916,5403060.139999999664724,5894933.090000000782311,11297993.230000000447035
20100917,5368388.299999999813735,5943713.509999999776483,11312101.809999998658895
20100920,5425452.370000000111759,6020636.480000000447035,11446088.850000001490116
20100921,5454345.570000000298023,6063788.390000000596046,11518133.960000000894070
20100922,5426897.030000000260770,6076921.580000000074506,11503818.609999999403954
20100923,5391502.860000000335276,6035645.840000000782311,11427148.700000001117587
20100924,5424730.040000000037253,6123825.830000000074506,11548555.870000001043081
20100927,5400170.820000000298023,6165101.570000000298023,11565272.390000000596046
20100928,5390780.530000000260770,6138835.190000000409782,11529615.720000000670552
20100929,5377778.590000000782311,6127578.169999999925494,11505356.760000001639128
20100930,5382112.570000000298023,6114444.980000000447035,11496557.550000000745058
20101001,5411728.100000000558794,6170730.080000000074506,11582458.179999999701977
20101004,5413895.090000000782311,6196996.459999999962747,11610891.550000000745058
20101005,5476737.799999999813735,6298309.640000000596046,11775047.440000001341105
20101006,5446399.940000000409782,6238272.200000000186265,11684672.140000000596046
20101007,5479627.120000000111759,6178234.759999999776483,11657861.879999998956919
20101008,5496963.040000000037253,6159473.059999999590218,11656436.099999999627471
20101011,5460124.210000000894070,6196996.459999999962747,11657120.670000001788139
