訓練日期,20120207 - 20120509
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11185406.929999999701977
真實報酬,1185406.929999999701977

夏普值報酬,0.109840693000000
夏普值風險,0.040816895952498
夏普值,2.691059435970594

預期報酬,22103.467569743210333
風險,94001.468610025651287
趨勢值,0.235139598312465
找到最佳解世代,3074
找到最佳解實驗#,2
找到最佳解次數,24

stock[index](rank)
投資組合檔數,2
HD[9](1),KO[14](2),
Stock#,HD[9](1),KO[14](2),
張數,110619,146972,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,21.199999999254942,12.559999999590218,
20120207,5028760.939999999478459,5038212.719999999739230,10066973.660000000149012
20120208,4996681.429999999701977,5022045.799999999813735,10018727.230000000447035
20120209,5007743.329999999143183,4995590.839999999850988,10003334.169999998062849
20120210,5014380.469999998807907,4992651.399999999441206,10007031.869999997317791
20120213,5080751.869999999180436,5029394.399999999441206,10110146.269999999552965
20120214,5095132.339999999850988,5063197.959999999962747,10158330.300000000745058
20120215,5056415.689999999478459,5026454.959999999962747,10082870.649999998509884
20120216,5080751.869999999180436,5060258.519999999552965,10141010.389999998733401
20120217,5167034.689999999478459,5074955.719999999739230,10241990.410000000149012
20120221,5190264.679999999701977,5057319.079999999143183,10247583.759999997913837
20120222,5151548.029999999329448,5089652.919999999925494,10241200.949999999254942
20120223,5193583.250000000000000,5083774.040000000037253,10277357.289999999105930
20120224,5196901.819999999366701,5070546.559999999590218,10267448.379999998956919
20120227,5191370.869999999180436,5058788.799999999813735,10250159.669999998062849
20120228,5224556.569999999366701,5058788.799999999813735,10283345.369999999180436
20120229,5262167.029999999329448,5133744.519999999552965,10395911.549999998882413
20120301,5249998.939999999478459,5114638.159999999217689,10364637.099999997764826
20120302,5244467.989999999292195,5083774.040000000037253,10328242.029999999329448
20120305,5242255.609999999403954,5088183.199999999254942,10330438.809999998658895
20120306,5131636.609999999403954,5052909.919999999925494,10184546.529999999329448
20120307,5242255.609999999403954,5055849.359999999403954,10298104.969999998807907
20120308,5289821.779999999329448,5091122.639999999664724,10380944.419999998062849
20120309,5320795.099999999627471,5108759.279999999329448,10429554.379999998956919
20120312,5374998.409999999217689,5155790.319999999366701,10530788.729999998584390
20120313,5435838.859999999403954,5163138.919999999925494,10598977.779999999329448
20120314,5472343.129999998956919,5160199.479999999515712,10632542.609999999403954
20120315,5442476.000000000000000,5169017.799999999813735,10611493.800000000745058
20120316,5425883.149999998509884,5155790.319999999366701,10581673.469999998807907
20120319,5401546.969999998807907,5173426.959999999962747,10574973.929999999701977
20120320,5462387.419999999925494,5188124.159999999217689,10650511.579999998211861
20120321,5507741.209999999031425,5226336.879999999888241,10734078.089999999850988
20120322,5495573.119999999180436,5248382.679999999701977,10743955.799999998882413
20120323,5480086.459999999031425,5252791.839999999850988,10732878.299999998882413
20120326,5545351.669999999925494,5283655.959999999962747,10829007.629999998956919
20120327,5535395.959999999031425,5282186.239999999292195,10817582.199999999254942
20120328,5521015.489999999292195,5339505.319999999366701,10860520.809999998658895
20120329,5521015.489999999292195,5424749.079999999143183,10945764.569999998435378
20120330,5565263.089999999850988,5439446.279999999329448,11004709.369999999180436
20120402,5529865.009999999776483,5448264.599999999627471,10978129.609999999403954
20120403,5530971.199999999254942,5420339.919999999925494,10951311.119999999180436
20120404,5514378.349999999627471,5398294.119999999180436,10912672.469999998807907
20120405,5599554.979999998584390,5399763.839999999850988,10999318.819999998435378
20120409,5595130.219999998807907,5355672.239999999292195,10950802.459999997168779
20120410,5460175.039999999105930,5292474.279999999329448,10752649.319999998435378
20120411,5503316.449999999254942,5299822.879999999888241,10803139.329999998211861
20120412,5600661.169999999925494,5307171.479999999515712,10907832.649999998509884
20120413,5637165.439999999478459,5286595.399999999441206,10923760.839999999850988
20120416,5717917.309999998658895,5323338.399999999441206,11041255.709999997168779
20120417,5755527.769999999552965,5435037.119999999180436,11190564.889999998733401
20120418,5731191.589999999850988,5451204.040000000037253,11182395.629999998956919
20120419,5703536.839999999850988,5424749.079999999143183,11128285.919999998062849
20120420,5692474.939999999478459,5448264.599999999627471,11140739.539999999105930
20120423,5652652.099999999627471,5415930.759999999776483,11068582.859999999403954
20120424,5667032.569999999366701,5446794.879999999888241,11113827.449999999254942
20120425,5742253.489999999292195,5507053.399999999441206,11249306.889999998733401
20120426,5737828.729999998584390,5562902.759999999776483,11300731.489999998360872
20120427,5746678.250000000000000,5631979.599999999627471,11378657.849999999627471
20120430,5728979.209999999031425,5608464.079999999143183,11337443.289999999105930
20120501,5787607.279999999329448,5654025.399999999441206,11441632.679999999701977
20120502,5830748.689999999478459,5670192.319999999366701,11500941.009999997913837
20120503,5804200.129999998956919,5690768.399999999441206,11494968.529999997466803
20120504,5747784.439999999478459,5658434.559999999590218,11406219.000000000000000
20120507,5684731.609999999403954,5679010.639999999664724,11363742.250000000000000
20120508,5599554.979999998584390,5668722.599999999627471,11268277.579999998211861
20120509,5543139.289999999105930,5642267.639999999664724,11185406.929999999701977
