訓練日期,20110310 - 20110610
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10416633.750000000000000
真實報酬,416633.750000000000000

夏普值報酬,0.032963375000000
夏普值風險,0.025925718576307
夏普值,1.271454633088714

預期報酬,11621.261932311961573
風險,110096.351892780847265
趨勢值,0.105555377017665
找到最佳解世代,2198
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](3),PFE[20](1),
Stock#,MCD[15](3),PFE[20](1),
張數,65980,254323,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,35.599999999627471,9.820000000298023,
20110310,5059382.000000000000000,4923703.100000000558794,9983085.100000001490116
20110311,5062681.000000000000000,4951678.629999999888241,10014359.629999998956919
20110314,4992742.200000000186265,5038148.450000000186265,10030890.650000000372529
20110315,4956453.200000000186265,5025432.300000000745058,9981885.500000000000000
20110316,4841647.999999999068677,4908443.720000000670552,9750091.719999998807907
20110317,4842967.599999999627471,5055951.059999999590218,9898918.660000000149012
20110318,4815915.799999998882413,5132247.959999999962747,9948163.759999997913837
20110321,4866720.400000000372529,5081383.360000000335276,9948103.760000001639128
20110322,4873978.200000000186265,5071210.440000000409782,9945188.640000000596046
20110323,4917525.000000000000000,5066123.980000000447035,9983648.980000000447035
20110324,4943917.000000000000000,5162766.720000000670552,10106683.720000000670552
20110325,4965030.599999999627471,5175482.870000001043081,10140513.470000000670552
20110328,4948535.599999999627471,5155137.030000000260770,10103672.629999998956919
20110329,4972948.200000000186265,5183112.559999999590218,10156060.759999999776483
20110330,5001979.399999999441206,5172939.640000000596046,10174919.039999999105930
20110331,5020453.799999999813735,5165309.950000000186265,10185763.750000000000000
20110401,5013855.799999998882413,5183112.559999999590218,10196968.359999999403954
20110404,5040247.799999999813735,5223804.240000000223517,10264052.039999999105930
20110405,5054103.599999999627471,5200915.169999999925494,10255018.769999999552965
20110406,5062021.199999999254942,5160223.490000000223517,10222244.689999999478459
20110407,5015175.400000000372529,5170396.410000000149012,10185571.810000000521541
20110408,5017154.799999999813735,5203458.400000000372529,10220613.199999999254942
20110411,5031010.599999999627471,5256866.230000000447035,10287876.830000000074506
20110412,5058062.399999999441206,5203458.400000000372529,10261520.800000000745058
20110413,5073237.799999999813735,5203458.400000000372529,10276696.199999999254942
20110414,5085114.199999999254942,5211088.089999999850988,10296202.289999999105930
20110415,5105567.999999999068677,5221261.010000000707805,10326829.009999999776483
20110418,5080495.599999999627471,5188199.019999999552965,10268694.619999999180436
20110419,5054103.599999999627471,5221261.010000000707805,10275364.609999999403954
20110420,5172867.599999999627471,5185655.790000000037253,10358523.390000000596046
20110421,5074557.399999999441206,5033061.990000000223517,10107619.390000000596046
20110425,5089072.999999999068677,5122075.040000000037253,10211148.039999999105930
20110426,5076536.799999999813735,5134791.190000000409782,10211327.990000000223517
20110427,5137898.200000000186265,5246693.309999999590218,10384591.509999999776483
20110428,5148455.000000000000000,5297557.910000000149012,10446012.910000000149012
20110429,5166929.399999999441206,5333163.129999999888241,10500092.529999999329448
20110502,5188702.799999999813735,5345879.280000000260770,10534582.080000000074506
20110503,5208496.799999999813735,5198371.940000000409782,10406868.740000000223517
20110504,5217074.199999999254942,5249236.540000000037253,10466310.739999998360872
20110505,5186063.599999999627471,5185655.790000000037253,10371719.390000000596046
20110506,5192661.599999999627471,5226347.470000000670552,10419009.070000000298023
20110509,5232909.399999999441206,5239063.620000001043081,10471973.019999999552965
20110510,5259301.399999999441206,5305187.600000000558794,10564489.000000000000000
20110511,5246105.400000000372529,5241606.850000000558794,10487712.250000000000000
20110512,5321982.399999999441206,5312817.290000000037253,10634799.689999999478459
20110513,5327260.799999998882413,5320446.980000000447035,10647707.779999999329448
20110516,5353652.799999999813735,5335706.360000000335276,10689359.160000000149012
20110517,5339797.000000000000000,5376398.040000000037253,10716195.039999999105930
20110518,5377405.599999999627471,5386570.959999999962747,10763976.559999998658895
20110519,5444045.400000000372529,5348422.510000000707805,10792467.910000000149012
20110520,5432168.999999999068677,5261952.690000000409782,10694121.689999999478459
20110523,5443385.599999999627471,5236520.390000000596046,10679905.990000000223517
20110524,5452622.799999999813735,5218717.780000000260770,10671340.580000000074506
20110525,5457901.199999999254942,5284841.760000000707805,10742742.960000000894070
20110526,5438767.000000000000000,5315360.519999999552965,10754127.519999999552965
20110527,5385323.200000000186265,5322990.209999999962747,10708313.410000000149012
20110531,5380044.799999999813735,5455238.169999999925494,10835282.969999998807907
20110601,5343096.000000000000000,5353508.970000000670552,10696604.970000000670552
20110602,5327920.599999999627471,5340792.820000000298023,10668713.419999999925494
20110603,5314064.799999999813735,5300101.140000000596046,10614165.940000001341105
20110606,5324621.599999999627471,5274668.839999999850988,10599290.439999999478459
20110607,5353652.799999999813735,5274668.839999999850988,10628321.640000000596046
20110608,5354312.599999999627471,5259409.459999999962747,10613722.059999998658895
20110609,5361570.400000000372529,5277212.070000000298023,10638782.470000000670552
20110610,5302188.399999999441206,5114445.350000000558794,10416633.750000000000000
