訓練日期,20091030 - 20100203
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12589757.750000000000000
真實報酬,2589757.750000000000000

夏普值報酬,0.250275775000000
夏普值風險,0.070271544235814
夏普值,3.561552228881404

預期報酬,43650.374525596533203
風險,248754.697641086444492
趨勢值,0.175475578710787
找到最佳解世代,1998
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),UNH[23](2),
Stock#,BA[2](1),UNH[23](2),
張數,102438,188893,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,1.219999999739230,2.290000000037253,
20091030,4896537.619999999180436,4901775.639999999664724,9798313.259999997913837
20091102,4944683.480000000447035,4990555.350000000558794,9935238.830000001937151
20091103,4927269.019999999552965,5083112.919999999925494,10010381.939999999478459
20091104,4924195.879999999888241,5264450.200000000186265,10188646.080000000074506
20091105,5098340.480000000447035,5328673.820000000298023,10427014.300000000745058
20091106,5089121.059999999590218,5415564.600000000558794,10504685.660000000149012
20091109,5260192.519999999552965,5502455.379999999888241,10762647.899999998509884
20091110,5154681.379999999888241,5472232.500000000000000,10626913.879999998956919
20091111,5191559.059999999590218,5547789.700000000186265,10739348.759999999776483
20091112,5150583.859999999403954,5432564.970000000670552,10583148.830000000074506
20091113,5191559.059999999590218,5493010.729999999515712,10684569.789999999105930
20091116,5375947.459999999031425,5506233.240000000223517,10882180.699999999254942
20091117,5381069.359999999403954,5472232.500000000000000,10853301.859999999403954
20091118,5328825.980000000447035,5453343.200000000186265,10782169.179999999701977
20091119,5268387.559999999590218,5408008.879999999888241,10676396.439999999478459
20091120,5296045.820000000298023,5394786.370000000111759,10690832.190000001341105
20091123,5391313.160000000149012,5493010.729999999515712,10884323.890000000596046
20091124,5323704.080000000074506,5583679.370000000111759,10907383.449999999254942
20091125,5422044.559999999590218,5579901.509999999776483,11001946.070000000298023
20091127,5372874.320000000298023,5561012.209999999962747,10933886.530000001192093
20091130,5368776.799999999813735,5415564.600000000558794,10784341.400000000372529
20091201,5502970.580000000074506,5421231.389999999664724,10924201.969999998807907
20091202,5509116.859999999403954,5343785.259999999776483,10852902.119999999180436
20091203,5508092.480000000447035,5162447.979999999515712,10670540.460000000894070
20091204,5601311.059999999590218,5187004.070000000298023,10788315.129999998956919
20091207,5718090.379999999888241,5345674.190000000409782,11063764.570000000298023
20091208,5701700.299999999813735,5375897.070000000298023,11077597.370000001043081
20091209,5682237.080000000074506,5383452.790000000037253,11065689.870000001043081
20091210,5635115.599999999627471,5725349.120000000111759,11360464.719999998807907
20091211,5695554.019999999552965,5757460.929999999701977,11453014.949999999254942
20091214,5741651.119999999180436,5846240.639999999664724,11587891.759999997913837
20091215,5702724.679999999701977,5916131.049999999813735,11618855.730000000447035
20091216,5647408.160000000149012,6082356.890000000596046,11729765.050000000745058
20091217,5579799.080000000074506,6010577.549999999813735,11590376.629999998956919
20091218,5474287.939999999478459,5957687.509999999776483,11431975.449999999254942
20091221,5562384.619999999180436,6076690.100000000558794,11639074.719999998807907
20091222,5644335.019999999552965,6105024.049999999813735,11749359.070000000298023
20091223,5629993.700000000186265,5972798.950000000186265,11602792.650000000372529
20091224,5683261.459999999031425,5984132.530000000260770,11667393.989999998360872
20091228,5648432.540000000037253,5929353.560000000521541,11577786.100000001490116
20091229,5655603.200000000186265,5827351.339999999850988,11482954.539999999105930
20091230,5629993.700000000186265,5857574.220000000670552,11487567.920000001788139
20091231,5544970.160000000149012,5757460.929999999701977,11302431.089999999850988
20100104,5754968.059999999590218,5955798.580000000074506,11710766.640000000596046
20100105,5943453.980000000447035,5946353.929999999701977,11889807.910000000149012
20100106,6123744.859999999403954,6004910.759999999776483,12128655.619999999180436
20100107,6371644.820000000298023,6235360.219999999739230,12607005.039999999105930
20100108,6310182.019999999552965,6176803.390000000596046,12486985.410000000149012
20100111,6235402.279999999329448,6218359.850000000558794,12453762.129999998956919
20100112,6190329.559999999590218,6054022.939999999478459,12244352.500000000000000
20100113,6265109.299999999813735,6146580.509999999776483,12411689.809999998658895
20100114,6306084.500000000000000,6293917.049999999813735,12600001.550000000745058
20100115,6230280.379999999888241,6375141.040000000037253,12605421.419999999925494
20100119,6212865.919999999925494,6635813.380000000819564,12848679.300000000745058
20100120,6166768.820000000298023,6526255.439999999478459,12693024.259999999776483
20100121,6064330.820000000298023,6252360.589999999850988,12316691.410000000149012
20100122,5917844.480000000447035,6263694.169999998994172,12181538.649999998509884
20100125,5918868.859999999403954,6233471.290000000037253,12152340.149999998509884
20100126,5911698.200000000186265,6127691.209999999962747,12039389.410000000149012
20100127,6343986.559999999590218,6278805.610000000335276,12622792.169999999925494
20100128,6408522.500000000000000,6314695.280000000260770,12723217.780000001192093
20100129,6207744.019999999552965,6233471.290000000037253,12441215.309999998658895
20100201,6320425.820000000298023,6258027.380000000819564,12578453.200000001117587
20100202,6345010.939999999478459,6431808.939999999478459,12776819.879999998956919
20100203,6295840.700000000186265,6293917.049999999813735,12589757.750000000000000
