訓練日期,20111227 - 20120329
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12714540.929999999701977
真實報酬,2714540.929999999701977

夏普值報酬,0.262754093000000
夏普值風險,0.071983740325393
夏普值,3.650186720115624

預期報酬,43621.688569049270882
風險,97996.446212150171050
趨勢值,0.445135413121142
找到最佳解世代,3181
找到最佳解實驗#,2
找到最佳解次數,43

stock[index](rank)
投資組合檔數,4
AAPL[0](2),HD[9](1),INTC[11](9),MSFT[18](5),
Stock#,AAPL[0](2),HD[9](1),INTC[11](9),MSFT[18](5),
張數,43387,59396,102459,96043,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,41.060000000055879,22.359999999869615,0.400000000372529,0.709999999962747,
20111227,2519958.020000000018626,2507721.479999999981374,2516393.440000000409782,2500960.429999999701977,10045033.370000001043081
20111228,2495661.300000000279397,2466738.239999999757856,2482581.970000000204891,2479830.970000000204891,9924812.480000000447035
20111229,2510846.750000000000000,2495248.319999999832362,2515368.850000000558794,2499039.569999999832362,10020503.490000000223517
20111230,2510412.879999999888241,2497030.199999999720603,2484631.150000000372529,2493276.990000000223517,9985351.220000000670552
20120103,2549027.310000000055879,2502969.799999999813735,2514344.260000000242144,2571071.819999999832362,10137413.189999999478459
20120104,2562477.280000000260770,2538607.399999999906868,2572745.890000000130385,2631578.909999999683350,10305409.480000000447035
20120105,2591112.700000000186265,2559396.000000000000000,2602459.000000000000000,2658470.949999999720603,10411438.650000000372529
20120106,2618012.640000000130385,2565929.560000000055879,2587090.150000000372529,2699769.439999999944121,10470801.790000000968575
20120109,2614107.810000000055879,2567711.439999999478459,2609631.130000000353903,2664233.529999999795109,10455683.910000000149012
20120110,2623219.080000000074506,2585530.239999999757856,2621926.210000000428408,2673837.830000000074506,10504513.360000001266599
20120111,2618880.379999999888241,2581372.520000000018626,2643442.600000000558794,2662312.669999999925494,10506008.170000001788139
20120112,2611938.459999999962747,2577214.799999999813735,2638319.650000000372529,2689204.709999999962747,10516677.620000001043081
20120113,2601959.450000000186265,2584342.319999999832362,2575819.660000000614673,2713215.459999999962747,10475336.890000000596046
20120117,2632330.350000000093132,2598003.399999999906868,2565573.760000000242144,2714175.890000000130385,10510083.400000000372529
20120118,2659664.160000000149012,2665714.839999999850988,2601434.410000000614673,2711294.600000000093132,10638108.009999999776483
20120119,2651420.629999999888241,2697194.719999999739230,2626024.570000000298023,2700729.870000000111759,10675369.789999999105930
20120120,2604996.540000000037253,2643738.319999999832362,2702868.820000000298023,2853438.240000000223517,10805041.919999999925494
20120123,2649251.280000000260770,2665714.839999999850988,2736680.290000000502914,2855359.100000000093132,10907005.509999999776483
20120124,2605864.280000000260770,2670466.520000000018626,2756147.500000000000000,2817902.330000000074506,10850380.630000000819564
20120125,2768565.530000000260770,2688285.319999999832362,2756147.500000000000000,2839031.790000000037253,11052030.140000000596046
20120126,2755983.300000000279397,2669872.560000000055879,2740778.650000000372529,2833269.209999999962747,10999903.720000000670552
20120127,2772470.359999999869615,2665120.879999999888241,2738729.470000000204891,2807337.600000000093132,10983658.310000000521541
20120130,2808047.700000000186265,2659181.280000000260770,2739754.060000000055879,2843833.939999999944121,11050816.980000000447035
20120131,2829307.329999999608845,2636610.799999999813735,2706967.180000000633299,2836150.500000000000000,11009035.809999998658895
20120201,2827571.850000000093132,2641362.479999999981374,2720286.850000000558794,2870725.979999999981374,11059947.160000000149012
20120202,2821063.799999999813735,2640768.520000000018626,2714139.310000000055879,2876488.560000000055879,11052460.190000001341105
20120203,2849265.350000000093132,2682939.680000000167638,2739754.060000000055879,2904341.029999999795109,11176300.119999999180436
20120206,2875731.419999999925494,2684721.560000000055879,2737704.880000000353903,2900499.310000000055879,11198657.170000001788139
20120207,2906102.320000000298023,2700164.520000000018626,2729508.160000000614673,2914905.760000000242144,11250680.759999999776483
20120208,2954695.759999999776483,2682939.680000000167638,2751024.550000000745058,2944679.089999999850988,11333339.080000000074506
20120209,3056655.209999999962747,2688879.280000000260770,2752049.140000000130385,2955243.819999999832362,11452827.450000001117587
20120210,3058390.689999999944121,2692443.039999999571592,2735655.700000000186265,2929312.209999999962747,11415801.640000000596046
20120213,3115227.660000000149012,2728080.639999999664724,2735655.700000000186265,2936995.649999999906868,11515959.650000000372529
20120214,3157746.919999999925494,2735802.120000000111759,2743852.420000000391155,2905301.459999999962747,11542702.920000001788139
20120215,3084856.759999999776483,2715013.520000000018626,2723360.620000000111759,2886092.859999999869615,11409323.759999997913837
20120216,3112624.439999999944121,2728080.639999999664724,2748975.370000000111759,3005186.179999999701977,11594866.629999998956919
20120217,3112190.570000000298023,2774409.520000000018626,2804303.230000000447035,3001344.459999999962747,11692247.780000001192093
20120221,3191154.910000000149012,2786882.680000000167638,2782786.840000000316650,3019592.629999999888241,11780417.059999998658895
20120222,3179874.290000000502914,2766094.080000000074506,2738729.470000000204891,3003265.319999999832362,11687963.160000002011657
20120223,3200700.049999999813735,2788664.560000000055879,2731557.340000000316650,3012869.620000000111759,11733791.570000000298023
20120224,3238012.869999999646097,2790446.439999999478459,2735655.700000000186265,3023434.350000000093132,11787549.359999997541308
20120227,3258838.629999999888241,2787476.639999999664724,2755122.910000000614673,3010948.760000000242144,11812386.939999999478459
20120228,3318712.689999999944121,2805295.439999999478459,2790983.560000000055879,3060891.120000000111759,11975882.809999998658895
20120229,3362099.689999999944121,2825490.080000000074506,2754098.320000000298023,3048405.529999999795109,11990093.619999999180436
20120301,3374681.919999999925494,2818956.520000000018626,2752049.140000000130385,3101229.179999999701977,12046916.759999999776483
20120302,3379020.619999999646097,2815986.719999999739230,2758196.680000000633299,3081060.149999999906868,12034264.169999999925494
20120305,3304828.850000000093132,2814798.799999999813735,2719262.260000000242144,3054168.109999999869615,11893058.019999999552965
20120306,3286606.310000000055879,2755402.799999999813735,2726434.390000000130385,3031117.790000000037253,11799561.289999999105930
20120307,3289209.530000000260770,2814798.799999999813735,2757172.090000000316650,3058009.830000000074506,11919190.250000000000000
20120308,3359496.470000000204891,2840339.080000000074506,2749999.960000000428408,3074337.139999999664724,12024172.650000002235174
