訓練日期,20110217 - 20110520
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10969071.390000000596046
真實報酬,969071.390000000596046

夏普值報酬,0.088207139000000
夏普值風險,0.030884556387056
夏普值,2.856027390989816

預期報酬,16135.213735867193463
風險,110356.341384754370665
趨勢值,0.146210118362045
找到最佳解世代,2314
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
CVX[5](4),MCD[15](11),PFE[20](1),UNH[23](3),
Stock#,CVX[5](4),MCD[15](11),PFE[20](1),UNH[23](3),
張數,25863,32886,129668,58823,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,82.419999999925494,6.280000000260770,0.959999999962747,22.500000000000000,
20110217,2513190.129999999888241,2498684.560000000521541,2511670.120000000111759,2505294.070000000298023,10028838.880000000819564
20110218,2553277.779999999795109,2503617.459999999962747,2488329.880000000353903,2519999.820000000298023,10065224.940000001341105
20110222,2594658.579999999608845,2489476.480000000447035,2449429.479999999981374,2527058.580000000074506,10060623.120000001043081
20110223,2645091.429999999701977,2472704.620000000111759,2432572.640000000130385,2524117.429999999701977,10074486.119999999180436
20110224,2638884.310000000055879,2473362.339999999850988,2450726.159999999683350,2514705.750000000000000,10077678.560000000521541
20110225,2640694.719999999739230,2448040.120000000111759,2445539.439999999944121,2501176.459999999962747,10035450.739999998360872
20110228,2683368.669999999925494,2488818.760000000707805,2494813.279999999795109,2504705.839999999850988,10171706.550000000745058
20110301,2661385.120000000111759,2462838.820000000298023,2481846.479999999981374,2497058.850000000093132,10103129.269999999552965
20110302,2676127.029999999795109,2456261.620000000111759,2488329.880000000353903,2562352.380000000353903,10183070.910000002011657
20110303,2694748.389999999664724,2507234.919999999925494,2563537.319999999832362,2634704.669999999925494,10400225.299999998882413
20110304,2683368.669999999925494,2500328.860000000335276,2549273.839999999850988,2614704.850000000093132,10347676.220000000670552
20110307,2664230.050000000279397,2508879.220000000670552,2542790.439999999944121,2562352.380000000353903,10278252.090000001713634
20110308,2683885.929999999701977,2484214.720000000670552,2551867.199999999720603,2578234.589999999850988,10298202.439999999478459
20110309,2641729.239999999757856,2492107.360000000335276,2549273.839999999850988,2617057.770000000018626,10300168.209999999031425
20110310,2562588.459999999962747,2521704.760000000707805,2510373.439999999944121,2575881.669999999925494,10170548.330000000074506
20110311,2584572.010000000242144,2523349.060000000521541,2524636.919999999925494,2564117.070000000298023,10196675.060000000521541
20110314,2607072.819999999832362,2488489.900000000372529,2568724.039999999571592,2538823.179999999701977,10203109.939999999478459
20110315,2618193.910000000149012,2470402.600000000558794,2562240.640000000130385,2517058.669999999925494,10167895.820000000298023
20110316,2573709.550000000279397,2413180.959999999962747,2502593.359999999869615,2462353.279999999795109,9951837.149999998509884
20110317,2644315.539999999571592,2413838.680000000633299,2577800.799999999813735,2486470.709999999962747,10122425.730000000447035
20110318,2658798.819999999832362,2400355.419999999925494,2616701.199999999720603,2505882.300000000279397,10181737.740000000223517
