訓練日期,20121026 - 20130201
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11740934.589999999850988
真實報酬,1740934.589999999850988

夏普值報酬,0.165393459000000
夏普值風險,0.050834993469404
夏普值,3.253535561080512

預期報酬,28987.327107243901992
風險,117764.776823034786503
趨勢值,0.246145986000578
找到最佳解世代,1965
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CSCO[4](2),MMM[16](4),NKE[19](1),V[25](3),
Stock#,CSCO[4](2),MMM[16](4),NKE[19](1),V[25](3),
張數,145348,28470,109505,72695,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,14.399999999906868,49.299999999813735,0.850000000093132,18.950000000186265,
20121026,2513081.319999999832362,2506263.399999999906868,2495619.799999999813735,2513812.050000000279397,10028776.570000000298023
20121031,2492732.599999999627471,2494021.299999999813735,2502190.100000000093132,2521808.500000000000000,10010752.500000000000000
20121101,2545057.880000000353903,2540996.799999999813735,2610600.050000000279397,2614858.100000000093132,10311512.830000000074506
20121102,2521802.200000000186265,2533025.199999999720603,2588699.050000000279397,2606134.700000000186265,10249661.150000002235174
20121105,2529069.599999999627471,2550961.299999999813735,2608409.950000000186265,2571968.050000000279397,10260408.900000000372529
20121106,2540697.439999999944121,2586833.500000000000000,2631406.000000000000000,2614858.100000000093132,10373795.039999999105930
20121107,2501453.479999999981374,2544697.899999999906868,2590889.149999999906868,2590868.750000000000000,10227909.279999999329448
20121108,2446221.239999999757856,2521067.799999999813735,2515330.700000000186265,2582145.350000000558794,10064765.089999999850988
20121109,2444767.759999999776483,2528470.000000000000000,2527376.250000000000000,2597411.299999999813735,10098025.309999998658895
20121112,2450581.679999999701977,2539003.899999999906868,2526281.200000000186265,2603226.900000000372529,10119093.679999999701977
20121113,2449128.200000000186265,2536156.899999999906868,2504380.200000000186265,2588687.900000000372529,10078353.199999999254942
20121114,2566860.080000000074506,2485765.000000000000000,2480289.100000000093132,2543617.000000000465661,10076531.179999999701977
20121115,2607557.520000000018626,2505978.699999999720603,2486859.400000000372529,2544343.950000000186265,10144739.570000000298023
20121116,2614824.919999999459833,2519644.299999999813735,2535041.600000000093132,2593776.550000000279397,10263287.369999999180436
20121119,2659882.799999999813735,2550107.199999999720603,2636881.250000000000000,2646843.899999999906868,10493715.150000000372529
20121120,2665696.719999999739230,2534448.699999999720603,2617170.350000000093132,2659929.000000000465661,10477244.769999999552965
20121121,2686045.439999999944121,2532171.099999999627471,2617170.350000000093132,2665744.600000000093132,10501131.489999998360872
20121123,2738370.719999999739230,2570320.899999999906868,2648926.800000000279397,2691914.800000000279397,10649533.220000000670552
20121126,2770347.279999999795109,2564911.600000000093132,2674112.950000000186265,2675921.900000000372529,10685293.730000000447035
20121127,2755812.479999999981374,2571175.000000000000000,2655497.100000000093132,2667925.450000000186265,10650410.030000001192093
20121128,2736917.239999999757856,2588826.399999999906868,2713534.750000000000000,2676648.850000000093132,10715927.240000000223517
20121129,2763079.880000000353903,2580854.799999999813735,2709154.549999999813735,2693368.700000000186265,10746457.929999999701977
20121130,2748545.080000000074506,2589395.799999999813735,2668637.700000000186265,2720992.800000000279397,10727571.380000000819564
20121203,2765986.839999999850988,2570890.299999999813735,2670827.800000000279397,2701365.149999999906868,10709070.089999999850988
20121204,2786335.560000000055879,2565765.699999999720603,2674112.950000000186265,2682464.450000000186265,10708678.660000000149012
20121205,2792149.479999999981374,2583986.500000000000000,2674112.950000000186265,2691187.850000000558794,10741436.780000001192093
20121206,2831393.439999999944121,2589395.799999999813735,2694918.899999999906868,2698457.350000000093132,10814165.490000000223517
20121207,2811044.719999999739230,2605339.000000000000000,2699299.100000000093132,2699911.250000000000000,10815594.070000000298023
20121210,2876451.319999999832362,2615588.199999999720603,2685063.450000000186265,2702092.100000000093132,10879195.070000000298023
20121211,2874997.839999999850988,2667118.899999999906868,2721200.100000000093132,2706453.799999999813735,10969770.640000000596046
20121212,2867730.439999999944121,2651175.699999999720603,2715724.850000000093132,2687553.100000000093132,10922184.089999999850988
20121213,2869183.919999999459833,2633524.299999999813735,2664257.500000000000000,2675194.950000000186265,10842160.669999998062849
20121214,2886625.679999999701977,2627260.899999999906868,2653307.000000000000000,2668652.400000000372529,10835845.980000000447035
20121217,2922962.679999999701977,2648613.399999999906868,2682873.350000000093132,2710088.550000000279397,10964537.980000000447035
20121218,2962206.639999999664724,2671958.799999999813735,2708059.500000000000000,2739166.550000000279397,11081391.490000000223517
20121219,2946218.359999999869615,2648328.699999999720603,2677398.100000000093132,2710815.500000000000000,10982760.660000000149012
20121220,2941857.919999999459833,2679930.399999999906868,2710249.600000000093132,2771152.350000000093132,11103190.269999999552965
20121221,2901160.479999999981374,2650606.299999999813735,2877792.250000000000000,2739893.500000000000000,11169452.529999999329448
20121224,2882265.239999999757856,2653168.599999999627471,2890932.850000000093132,2747889.950000000186265,11174256.640000000596046
20121226,2895346.560000000055879,2649752.199999999720603,2810994.200000000186265,2721719.750000000000000,11077812.710000000894070
20121227,2856102.599999999627471,2637510.099999999627471,2833990.250000000000000,2715177.200000000186265,11042780.149999998509884
20121228,2827033.000000000000000,2613025.899999999906868,2792378.350000000093132,2701365.149999999906868,10933802.400000000372529
20121231,2856102.599999999627471,2643488.799999999813735,2825229.850000000093132,2755159.450000000186265,11079980.699999999254942
20130102,2956392.719999999739230,2698435.899999999906868,2838370.450000000186265,2824219.700000000186265,11317418.769999999552965
20130103,2972381.000000000000000,2695304.199999999720603,2867936.800000000279397,2826400.550000000279397,11362022.550000000745058
20130104,2976741.439999999944121,2715233.199999999720603,2895313.050000000279397,2848936.000000000000000,11436223.689999999478459
20130107,2949125.319999999832362,2718649.599999999627471,2899693.250000000000000,2869290.600000000093132,11436758.769999999552965
20130108,2952032.279999999795109,2718934.299999999813735,2869031.850000000093132,2896187.750000000465661,11436186.179999999701977
20130109,2950578.799999999813735,2744841.999999999534339,2872317.000000000000000,2940531.700000000186265,11508269.500000000000000
20130110,2970927.520000000018626,2758507.599999999627471,2877792.250000000000000,2917269.300000000279397,11524496.669999999925494
20130111,2976741.439999999944121,2741140.899999999906868,2907358.600000000093132,2928900.500000000000000,11554141.439999999478459
20130114,3047961.959999999962747,2763916.899999999906868,2912833.850000000093132,2919450.149999999906868,11644162.859999999403954
20130115,3049415.439999999944121,2769895.600000000093132,2936924.950000000186265,2915815.400000000372529,11672051.390000000596046
20130116,3056682.839999999850988,2778721.299999999813735,2942400.200000000186265,2911453.700000000186265,11689258.039999999105930
20130117,3045055.000000000000000,2792386.899999999906868,2928164.549999999813735,2905638.100000000093132,11671244.549999998882413
20130118,3055229.359999999869615,2811177.099999999627471,2918309.100000000093132,2876560.100000000093132,11661275.659999998286366
20130122,3033427.160000000149012,2827974.399999999906868,2928164.549999999813735,2890372.149999999906868,11679938.259999999776483
20130123,2997090.160000000149012,2832529.599999999627471,2907358.600000000093132,2890372.149999999906868,11627350.509999999776483
20130124,3055229.359999999869615,2837654.199999999720603,2948970.500000000000000,2899822.500000000000000,11741676.559999998658895
20130125,3074124.599999999627471,2863846.600000000093132,3042049.750000000000000,2904911.150000000372529,11884932.099999999627471
20130128,3061043.279999999795109,2865554.799999999813735,2984012.100000000093132,2841666.500000000465661,11752276.679999999701977
20130129,3020345.839999999850988,2898580.000000000000000,2952255.650000000372529,2847482.100000000093132,11718663.589999999850988
20130130,2991276.239999999757856,2869825.299999999813735,2935829.899999999906868,2816950.200000000186265,11613881.640000000596046
20130131,2989822.759999999776483,2862707.799999999813735,2959921.000000000000000,2870017.549999999813735,11682469.109999999403954
20130201,3027613.239999999757856,2891462.500000000000000,2940210.100000000093132,2881648.750000000000000,11740934.589999999850988
