訓練日期,20140131 - 20140505
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10938226.809999998658895
真實報酬,938226.809999998658895

夏普值報酬,0.085122681000000
夏普值風險,0.027375527414621
夏普值,3.109444421316871

預期報酬,15361.430119575074059
風險,69322.244214298902079
趨勢值,0.221594529918674
找到最佳解世代,1854
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,5
CAT[3](2),DD[7](10),JNJ[12](1),MCD[15](4),PG[21](3),
Stock#,CAT[3](2),DD[7](10),JNJ[12](1),MCD[15](4),PG[21](3),
張數,21459,30993,22346,21321,26017,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,21.199999999953434,21.709999999962747,33.000000000000000,90.199999999953434,73.209999999962747,
20140131,2015235.889999999897555,2008678.040000000037253,1976983.619999999878928,2007888.770000000018626,1993495.750000000000000,10002282.070000000298023
20140203,1983261.979999999981374,1972416.229999999981374,1939218.880000000121072,1983369.619999999878928,1969560.110000000102445,9847826.820000000298023
20140204,1984978.699999999953434,1984503.500000000000000,1935643.520000000018626,1984862.090000000083819,1979706.739999999990687,9869694.550000000745058
20140205,1973390.839999999850988,1979544.619999999878928,1950391.880000000121072,1995309.379999999888241,1989072.860000000102445,9887709.580000000074506
20140206,2013519.169999999925494,2012087.270000000018626,1983240.500000000000000,2024305.939999999944121,2000780.510000000009313,10033933.389999998733401
20140207,2035836.530000000027940,2012707.129999999888241,2012066.840000000083819,2045200.520000000018626,2011447.479999999981374,10117258.500000000000000
20140210,2027896.699999999953434,2023244.750000000000000,2035083.219999999739230,2022600.260000000009313,2030179.719999999972060,10139004.650000000372529
20140211,2037767.839999999850988,2067254.810000000055879,2077540.619999999878928,2032834.340000000083819,2051253.489999999990687,10266651.099999999627471
20140212,2063733.229999999981374,2046799.430000000167638,2065250.320000000065193,2023239.889999999897555,2016130.539999999804422,10215153.410000000149012
20140213,2062445.689999999944121,2043700.129999999888241,2068378.760000000009313,2035392.859999999869615,2024195.809999999823049,10234113.250000000000000
20140214,2071887.649999999906868,2061676.069999999832362,2072847.960000000195578,2042215.580000000074506,2065823.010000000009313,10314450.269999999552965
20140218,2072102.239999999990687,2064775.370000000111759,2059663.820000000065193,2047332.619999999878928,2028618.699999999953434,10272492.750000000000000
20140219,2064591.589999999850988,2049588.799999999813735,2047820.439999999944121,2037311.750000000000000,2033041.590000000083819,10232354.169999999925494
20140220,2079827.479999999981374,2080581.799999999813735,2064356.479999999981374,2041575.949999999953434,2027317.850000000093132,10293659.560000000521541
