訓練日期,20100802 - 20101101
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11171837.550000000745058
真實報酬,1171837.550000000745058

夏普值報酬,0.108483755000000
夏普值風險,0.032785856412223
夏普值,3.308858357579926

預期報酬,19812.788465702233225
風險,94972.175841409436543
趨勢值,0.208616768965964
找到最佳解世代,2339
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](2),MCD[15](1),VZ[26](3),
Stock#,KO[14](2),MCD[15](1),VZ[26](3),
張數,120948,47803,114705,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,6.120000000111759,29.809999999590218,5.700000000186265,
20100802,3411949.200000000186265,3358190.559999999590218,3390685.500000000000000,10160826.259999999776483
20100803,3409530.240000000223517,3367751.159999999683350,3388391.399999999906868,10165673.800000000745058
20100804,3420415.560000000055879,3379223.879999999422580,3372332.700000000186265,10171973.140000000596046
20100805,3409530.240000000223517,3367751.159999999683350,3389538.450000000186265,10166820.850000001490116
20100806,3432510.359999999869615,3429417.029999999329448,3389538.450000000186265,10251466.839999999850988
20100809,3454281.000000000000000,3485824.569999999832362,3425097.000000000000000,10365203.570000000298023
20100810,3445814.640000000130385,3482000.329999999608845,3443449.800000000279397,10371265.769999999552965
20100811,3388969.080000000074506,3421290.519999999087304,3390685.500000000000000,10200946.099999999627471
20100812,3368407.920000000391155,3444713.989999999757856,3477861.300000000279397,10290984.210000000894070
20100813,3370826.880000000353903,3436587.479999999515712,3444596.850000000093132,10252012.209999999031425
20100816,3379293.240000000223517,3431807.179999999701977,3436567.500000000465661,10247668.919999999925494
20100817,3393807.000000000000000,3500165.469999999739230,3460655.550000000279397,10354629.019999999552965
20100818,3376874.280000000260770,3501599.559999999590218,3458361.450000000186265,10336836.289999999105930
20100819,3343008.840000000316650,3488214.719999999739230,3397567.800000000279397,10228792.360000001266599
20100820,3344218.319999999832362,3493473.049999999348074,3368891.550000000279397,10206583.919999999925494
20100823,3362360.520000000018626,3505901.829999999608845,3373479.750000000000000,10241743.099999999627471
20100824,3365988.959999999962747,3476263.969999999739230,3380362.050000000279397,10222615.980000000447035
20100825,3350265.720000000204891,3498731.379999999422580,3402156.000000000000000,10251154.099999999627471
20100826,3335751.959999999962747,3497297.289999999571592,3383803.200000000186265,10216853.449999999254942
20100827,3396225.959999999962747,3536973.779999999329448,3422802.900000000372529,10356003.640000000596046
20100830,3359941.560000000055879,3477220.029999999329448,3376920.900000000372529,10214083.490000000223517
20100831,3379293.240000000223517,3492516.989999999757856,3387244.350000000093132,10259055.580000000074506
20100901,3466375.800000000279397,3563265.429999999701977,3470979.000000000465661,10500621.230000000447035
20100902,3470004.240000000223517,3586210.869999999180436,3453773.250000000000000,10509989.359999999403954
20100903,3480889.560000000055879,3589557.079999999608845,3464096.700000000186265,10534544.339999999850988
20100907,3485727.479999999981374,3623497.209999999497086,3466390.800000000279397,10575616.490000000223517
20100908,3497822.280000000260770,3636882.049999999348074,3493920.000000000465661,10628625.330000000074506
20100909,3525640.319999999832362,3555138.919999999925494,3537507.900000000372529,10618288.140000000596046
20100910,3538944.600000000093132,3585732.839999999850988,3535213.800000000279397,10659892.240000000223517
20100913,3509917.080000000074506,3564699.519999999087304,3544390.200000000186265,10619007.800000000745058
20100914,3483308.520000000018626,3534583.629999999422580,3545537.250000000000000,10563430.399999998509884
20100915,3472423.200000000186265,3571391.939999999478459,3577654.650000000372529,10621470.789999999105930
20100916,3478470.600000000093132,3575694.209999999497086,3604036.800000000279397,10658202.609999999403954
20100917,3480889.560000000055879,3552748.769999999087304,3633860.100000000093132,10667499.429999999701977
20100920,3506288.640000000130385,3590513.139999999664724,3680889.150000000372529,10777691.929999999701977
20100921,3514755.000000000000000,3609634.339999999850988,3707271.300000000279397,10831661.640000000596046
20100922,3522011.880000000353903,3591469.199999999254942,3715300.650000000372529,10828782.730000000447035
20100923,3500241.240000000223517,3568045.729999999515712,3690065.550000000279397,10758353.519999999552965
20100924,3544992.000000000000000,3590035.109999999403954,3743976.900000000372529,10879005.009999999776483
20100927,3543782.520000000018626,3573782.089999999850988,3769212.000000000000000,10886777.609999999403954
20100928,3574019.520000000018626,3567567.699999999254942,3753153.300000000279397,10894741.519999999552965
20100929,3553458.359999999869615,3558963.159999999683350,3746271.000000000000000,10858693.519999999552965
20100930,3538944.600000000093132,3561831.339999999850988,3738241.650000000372529,10839018.589999999850988
20101001,3575229.000000000000000,3581430.569999999832362,3772653.150000000372529,10929313.720000000670552
20101004,3560715.240000000223517,3582864.659999999683350,3788711.850000000093132,10932292.750000000000000
20101005,3607884.959999999962747,3624453.269999999087304,3850652.550000000279397,11082991.779999999329448
20101006,3613932.359999999869615,3604376.009999999776483,3813946.950000000186265,11032256.320000000298023
20101007,3594580.680000000167638,3626365.389999999664724,3777241.350000000093132,10998188.419999999925494
20101008,3593371.200000000186265,3637838.109999999403954,3765770.850000000093132,10996981.160000000149012
20101011,3601837.560000000055879,3613458.579999999608845,3788711.850000000093132,11004008.990000000223517
20101012,3604256.520000000018626,3612980.549999999348074,3732506.399999999906868,10949744.469999998807907
20101013,3624817.680000000167638,3621107.059999999590218,3694653.750000000465661,10940579.490000000223517
20101014,3623608.200000000186265,3682772.929999999701977,3721035.899999999906868,11027418.029999999329448
20101015,3624817.680000000167638,3703806.250000000000000,3719888.850000000093132,11048513.779999999329448
20101018,3628446.120000000111759,3696157.769999999087304,3738241.650000000372529,11062846.539999999105930
20101019,3649007.280000000260770,3680382.779999999329448,3688918.500000000000000,11018309.559999998658895
20101020,3698595.959999999962747,3700460.039999999571592,3743976.900000000372529,11143033.900000000372529
20101021,3717947.640000000130385,3749697.129999999422580,3730212.300000000745058,11197858.070000000298023
20101022,3726414.000000000000000,3754955.459999999497086,3680889.150000000372529,11162259.609999999403954
20101025,3690129.600000000093132,3762125.909999999683350,3710712.450000000186265,11162968.960000000894070
20101026,3703433.880000000353903,3764994.089999999850988,3727918.200000000186265,11196347.170000001788139
20101027,3701014.920000000391155,3703806.250000000000000,3729065.250000000000000,11133887.419999999925494
20101028,3702224.399999999906868,3703806.250000000000000,3717594.750000000000000,11123626.400000000372529
20101029,3708271.800000000279397,3717669.119999999180436,3725624.099999999627471,11151566.019999999552965
20101101,3732461.399999999906868,3722927.449999999254942,3716447.700000000186265,11171837.550000000745058
