訓練日期,20130418 - 20130719
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12019663.140000000596046
真實報酬,2019663.140000000596046

夏普值報酬,0.193266314000000
夏普值風險,0.051539369223150
夏普值,3.749877363908286

預期報酬,30181.465658143399196
風險,171096.824491385690635
趨勢值,0.176399917110460
找到最佳解世代,2050
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),CSCO[4](2),UNH[23](16),V[25](3),
Stock#,BA[2](1),CSCO[4](2),UNH[23](16),V[25](3),
張數,28838,121182,40303,61637,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,33.780000000260770,15.340000000316650,4.910000000149012,3.279999999795109,
20130418,2483562.340000000316650,2493940.899999999906868,2405690.979999999981374,2487056.229999999981374,9870250.450000001117587
20130419,2536624.260000000242144,2479399.060000000521541,2419797.030000000260770,2526503.910000000149012,9962324.260000001639128
20130422,2507209.500000000000000,2495152.720000000204891,2386748.570000000298023,2519723.839999999850988,9908834.630000000819564
20130423,2542968.620000000577420,2533930.960000000428408,2359342.530000000260770,2553007.819999999832362,9989249.930000001564622
20130424,2619389.320000000298023,2470916.320000000298023,2369418.280000000260770,2574580.770000000018626,10034304.690000001341105
20130425,2643613.240000000223517,2501211.820000000298023,2391584.930000000167638,2600468.309999999590218,10136878.300000000745058
20130426,2677642.080000000074506,2504847.280000000726432,2397227.350000000093132,2577046.250000000000000,10156762.960000000894070
20130429,2650245.980000000447035,2542413.700000000186265,2418587.939999999944121,2587524.539999999571592,10198772.160000000149012
20130430,2636115.360000000335276,2535142.780000000726432,2415363.700000000186265,2596153.719999999739230,10182775.560000000521541
20130501,2629482.620000000577420,2469704.500000000000000,2406900.070000000298023,2558555.149999999441206,10064642.339999999850988
20130502,2659185.760000000242144,2512118.200000000186265,2397227.350000000093132,2702785.729999999981374,10271317.040000000968575
20130503,2703307.899999999906868,2524236.399999999906868,2374657.670000000391155,2766888.209999999962747,10369090.179999999701977
20130506,2716285.000000000000000,2521812.760000000242144,2426245.510000000242144,2756409.919999999925494,10420753.189999999478459
20130507,2733587.800000000279397,2469704.500000000000000,2438336.410000000149012,2770586.430000000167638,10412215.140000000596046
20130508,2711959.300000000279397,2510906.380000000353903,2519345.439999999944121,2762573.619999999646097,10504784.740000000223517
20130509,2728396.960000000428408,2524236.399999999906868,2499193.939999999944121,2752095.329999999608845,10503922.630000000819564
20130510,2717726.899999999906868,2556955.540000000502914,2535466.640000000130385,2754560.809999999590218,10564709.890000000596046
20130513,2732722.660000000614673,2577556.480000000447035,2514509.080000000074506,2757026.289999999571592,10581814.509999999776483
20130514,2771653.960000000428408,2577556.480000000447035,2487909.100000000093132,2778599.239999999757856,10615718.780000001192093
20130515,2797896.540000000037253,2570285.560000000521541,2483072.740000000223517,2800788.559999999590218,10652043.400000000372529
20130516,2785207.820000000298023,2895053.320000000298023,2504433.330000000074506,2770586.430000000167638,10955280.900000000372529
20130517,2852688.740000000223517,2937467.020000000018626,2532645.430000000167638,2843934.459999999962747,11166735.649999998509884
20130520,2846921.140000000130385,2902324.240000000223517,2521360.590000000316650,2798323.079999999608845,11068929.050000000745058
20130521,2847786.280000000260770,2909595.160000000614673,2533854.520000000018626,2797706.709999999962747,11088942.670000001788139
20130522,2824139.120000000577420,2828403.220000000204891,2510075.750000000000000,2776133.759999999776483,10938751.850000001490116
20130523,2876624.280000000260770,2849004.160000000614673,2513299.990000000223517,2744698.889999999664724,10983627.320000000298023
20130524,2883833.780000000260770,2851427.800000000279397,2501209.090000000316650,2780448.349999999627471,11016919.019999999552965
20130528,2887005.960000000428408,2895053.320000000298023,2552796.930000000167638,2774284.649999999441206,11109140.859999999403954
20130529,2857591.200000000186265,2922925.180000000633299,2553199.960000000428408,2745315.259999999776483,11079031.600000001490116
20130530,2899406.300000000279397,2953220.680000000633299,2605996.890000000130385,2789693.899999999441206,11248317.769999999552965
20130531,2855572.540000000037253,2922925.180000000633299,2524181.800000000279397,2745315.259999999776483,11047994.780000001192093
20130603,2905173.899999999906868,2954432.500000000000000,2531033.310000000055879,2776750.129999999422580,11167389.839999999850988
20130604,2872586.960000000428408,2952008.860000000335276,2513299.990000000223517,2776750.129999999422580,11114645.939999999478459
20130605,2840288.399999999906868,2947161.580000000540167,2488715.160000000149012,2731138.750000000000000,11007303.890000000596046
20130606,2876912.660000000614673,2975033.440000000409782,2495566.670000000391155,2763806.359999999869615,11111319.130000000819564
20130607,2955640.399999999906868,2967762.520000000018626,2521763.620000000111759,2773051.910000000149012,11218218.449999999254942
20130610,2948430.899999999906868,2952008.860000000335276,2566499.950000000186265,2809417.739999999757856,11276357.450000001117587
20130611,2934300.280000000260770,2916866.080000000540167,2576575.700000000186265,2768737.319999999832362,11196479.380000002682209
20130612,2909211.220000000204891,2907171.520000000018626,2572545.399999999906868,2760724.509999999776483,11149652.650000000372529
20130613,2946123.860000000335276,2950797.040000000502914,2585442.360000000335276,2808185.000000000000000,11290548.260000001639128
20130614,2936607.320000000298023,2919289.720000000204891,2571336.310000000055879,2787844.789999999571592,11215078.140000000596046
20130617,2971212.920000000391155,2993210.740000000223517,2594309.020000000484288,2810034.109999999869615,11368766.789999999105930
20130618,3001492.820000000298023,3007752.580000000540167,2647105.950000000651926,2835305.279999999795109,11491656.630000000819564
20130619,2948719.280000000260770,2990787.100000000093132,2630178.690000000409782,2814348.699999999720603,11384033.769999999552965
20130620,2873452.100000000093132,2961703.420000000391155,2571336.310000000055879,2750246.219999999739230,11156738.050000000745058
20130621,2883257.020000000484288,2966550.700000000186265,2575366.609999999869615,2766271.839999999850988,11191446.169999999925494
20130624,2821832.080000000074506,2915654.260000000242144,2605593.860000000335276,2747164.369999999646097,11090244.570000000298023
20130625,2845479.240000000223517,2909595.160000000614673,2568515.100000000093132,2781064.719999999739230,11104654.219999998807907
20130626,2905462.280000000260770,2955644.320000000298023,2610833.250000000000000,2814348.699999999720603,11286288.550000000745058
20130627,2974673.480000000447035,2984728.000000000000000,2663630.180000000167638,2839619.869999999646097,11462651.529999999329448
20130628,2954198.500000000000000,2949585.220000000204891,2639045.350000000093132,2816197.809999999590218,11359026.879999998956919
20130701,2977268.899999999906868,2949585.220000000204891,2645090.799999999813735,2854412.750000000000000,11426357.669999999925494
20130702,2926225.640000000130385,2947161.580000000540167,2630581.720000000204891,2854412.750000000000000,11358381.690000001341105
20130703,2967175.600000000093132,2979880.720000000204891,2641463.530000000260770,2882149.399999999441206,11470669.250000000000000
20130705,3004953.380000000353903,2977457.080000000540167,2666854.420000000391155,2940088.180000000167638,11589353.060000000521541
20130708,3009855.840000000316650,2984728.000000000000000,2722875.590000000316650,2898791.389999999664724,11616250.820000000298023
20130709,3018795.620000000577420,3048954.460000000428408,2739399.820000000298023,2884614.879999999422580,11691764.780000001192093
20130710,3042442.780000000260770,3079249.960000000428408,2728114.979999999981374,2877218.439999999944121,11727026.160000000149012
20130711,3082239.220000000204891,3134993.680000000633299,2755117.990000000223517,2927144.410000000149012,11899495.300000000745058
20130712,2937760.840000000316650,3143476.420000000391155,2740608.910000000149012,2938855.439999999944121,11760701.610000001266599
20130715,3047056.860000000335276,3142264.600000000093132,2725293.770000000484288,2931459.000000000000000,11846074.230000000447035
20130716,3005818.520000000484288,3115604.560000000521541,2696678.640000000130385,2918515.229999999981374,11736616.950000001117587
20130717,3021967.800000000279397,3116816.380000000353903,2669272.600000000093132,2922213.449999999720603,11730270.230000000447035
20130718,3103867.720000000204891,3133781.860000000335276,2843381.560000000055879,2943170.029999999795109,12024201.169999999925494
20130719,3084546.260000000242144,3128934.580000000540167,2879654.260000000242144,2926528.039999999571592,12019663.140000000596046
