訓練日期,20141028 - 20150130
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11230172.959999999031425
真實報酬,1230172.959999999031425

夏普值報酬,0.114317296000000
夏普值風險,0.040469548593426
夏普值,2.824773193011868

預期報酬,25647.381684086900350
風險,133589.710251427488402
趨勢值,0.191986206391318
找到最佳解世代,2233
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](4),PFE[20](5),UNH[23](2),WBA[27](1),
Stock#,HD[9](4),PFE[20](5),UNH[23](2),WBA[27](1),
張數,26186,86117,27135,39613,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,22.580000000074506,23.489999999757856,52.450000000186265,23.569999999832362,
20141028,2529328.320000000298023,2505167.019999999552965,2513838.850000000093132,2523371.669999999925494,10071705.859999999403954
20141029,2524876.700000000186265,2539613.819999999832362,2522522.049999999813735,2488908.359999999869615,10075920.929999999701977
20141030,2553681.299999999813735,2569754.769999999552965,2547486.250000000000000,2494058.049999999813735,10164980.369999999180436
20141031,2553681.299999999813735,2579227.639999999664724,2578148.800000000279397,2543970.429999999701977,10255028.169999999925494
20141103,2516235.320000000298023,2599895.719999999739230,2574078.550000000279397,2574076.310000000055879,10264285.900000000372529
20141104,2512831.140000000130385,2607646.250000000000000,2577334.750000000465661,2584375.689999999478459,10282187.830000000074506
20141105,2508117.660000000149012,2586978.169999999459833,2599585.450000000186265,2601013.149999999906868,10295694.429999999701977
20141106,2547658.520000000018626,2586978.169999999459833,2610710.799999999813735,2640230.020000000018626,10385577.509999999776483
20141107,2557085.480000000447035,2576644.129999999888241,2540159.800000000279397,2650925.529999999795109,10324814.939999999478459
20141110,2570440.339999999850988,2600756.889999999664724,2571093.700000000186265,2684992.709999999962747,10427283.640000000596046
20141111,2569916.620000000111759,2611090.929999999701977,2596600.600000000093132,2673901.069999999832362,10451509.220000000670552
20141112,2579081.719999999739230,2619702.629999999888241,2596329.250000000465661,2671524.289999999571592,10466637.889999998733401
20141113,2592436.580000000074506,2619702.629999999888241,2602298.950000000186265,2652510.049999999813735,10466948.210000000894070
20141114,2572535.219999999739230,2612813.269999999552965,2580862.300000000279397,2651321.660000000149012,10417532.449999999254942
20141117,2567036.160000000149012,2611090.929999999701977,2617765.900000000372529,2636268.719999999739230,10432161.710000000894070
20141118,2513354.860000000335276,2634342.519999999552965,2664438.100000000093132,2696084.350000000093132,10508219.830000000074506
20141119,2532208.780000000260770,2621424.969999999739230,2628348.550000000279397,2685388.839999999850988,10467371.140000000596046
20141120,2554990.600000000093132,2621424.969999999739230,2628077.200000000186265,2667562.989999999757856,10472055.759999999776483
20141121,2573582.660000000149012,2622286.139999999664724,2624278.299999999813735,2677466.239999999757856,10497613.339999999850988
20141124,2576724.980000000447035,2602479.229999999515712,2629433.950000000186265,2683012.060000000055879,10491650.220000000670552
20141125,2540326.440000000409782,2624008.479999999515712,2656568.950000000186265,2686181.100000000093132,10507084.970000000670552
20141126,2558394.780000000260770,2678262.189999999944121,2662267.300000000279397,2712325.679999999701977,10611249.950000001117587
20141128,2602910.980000000447035,2682568.039999999571592,2676377.500000000000000,2717871.500000000000000,10679728.019999999552965
20141201,2589294.259999999776483,2692040.909999999683350,2688045.550000000279397,2684596.579999999608845,10653977.300000000745058
20141202,2570440.339999999850988,2718737.179999999701977,2708939.500000000000000,2644191.319999999832362,10642308.339999999850988
20141203,2581700.320000000298023,2734238.239999999757856,2735260.450000000186265,2669147.509999999776483,10720346.519999999552965
20141204,2591127.280000000260770,2727348.879999999888241,2704597.900000000372529,2689746.270000000018626,10712820.330000000074506
20141205,2609195.620000000111759,2754906.319999999832362,2722507.000000000000000,2717475.369999999646097,10804084.309999998658895
20141208,2629882.560000000055879,2753183.979999999515712,2711381.650000000372529,2683012.060000000055879,10777460.250000000000000
20141209,2609195.620000000111759,2751461.639999999664724,2741230.149999999906868,2717079.239999999757856,10818966.650000000372529
20141210,2590865.419999999925494,2743711.109999999869615,2688859.600000000093132,2699649.520000000018626,10723085.649999998509884
