訓練日期,20120306 - 20120606
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10804355.950000001117587
真實報酬,804355.950000001117587

夏普值報酬,0.071735595000000
夏普值風險,0.026456149263950
夏普值,2.711490409443246

預期報酬,13655.869970319761705
風險,104810.197983527090400
趨勢值,0.130291424241619
找到最佳解世代,2564
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),TRV[22](2),WMT[28](7),
Stock#,KO[14](1),TRV[22](2),WMT[28](7),
張數,96283,56980,56116,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,15.540000000037253,3.000000000000000,42.600000000093132,
20120306,3310225.080000000074506,3247293.200000000186265,3309203.120000000111759,9866722.400000000372529
20120307,3312150.739999999757856,3240455.599999999627471,3359146.359999999869615,9911753.699999999254942
20120308,3335258.660000000149012,3253561.000000000000000,3354095.920000000391155,9942916.580000000074506
20120309,3346812.619999999646097,3282620.799999999813735,3371491.879999999888241,10000926.300000000745058
20120312,3377623.179999999701977,3282620.799999999813735,3405161.479999999981374,10065406.459999999031425
20120313,3382437.330000000074506,3328204.799999999813735,3423118.600000000093132,10133761.730000000447035
20120314,3380511.669999999925494,3358974.000000000000000,3427607.879999999888241,10167094.550000000745058
20120315,3386288.650000000372529,3366381.399999999906868,3436025.279999999795109,10188696.330000000074506
20120316,3377623.179999999701977,3373219.000000000000000,3414140.040000000502914,10164983.220000000670552
20120319,3389177.140000000130385,3368660.599999999627471,3408528.440000000409782,10166367.179999999701977
20120320,3398805.439999999944121,3370939.799999999813735,3400672.200000000186265,10170418.440000001341105
20120321,3423839.020000000484288,3333902.799999999813735,3398427.560000000055879,10156170.380000000819564
20120322,3438281.470000000204891,3303133.600000000093132,3403478.000000000000000,10144894.070000000298023
20120323,3441169.960000000428408,3316239.000000000000000,3409089.600000000093132,10166499.560000000521541
20120326,3461389.390000000130385,3353276.000000000000000,3434341.800000000279397,10249008.190000001341105
20120327,3460426.559999999590218,3332193.399999999906868,3428169.040000000502914,10220790.000000000000000
20120328,3497976.929999999701977,3348717.600000000093132,3433780.640000000130385,10280476.169999999925494
20120329,3553821.069999999832362,3341880.000000000000000,3413017.720000000204891,10308719.790000000968575
20120330,3563449.369999999646097,3373219.000000000000000,3434341.800000000279397,10371011.169999999925494
20120402,3569226.350000000093132,3380626.399999999906868,3443320.359999999869615,10393174.109999999403954
20120403,3550932.580000000074506,3377777.399999999906868,3403478.000000000000000,10332188.980000000447035
20120404,3536490.129999999888241,3374358.600000000093132,3381592.759999999776483,10292442.490000000223517
20120405,3537452.960000000428408,3354985.400000000372529,3404600.320000000298023,10297039.680000001564622
20120409,3508568.059999999590218,3307692.000000000000000,3374297.680000000167638,10190558.740000000223517
20120410,3467166.369999999646097,3290598.000000000000000,3363074.479999999981374,10120839.849999999627471
20120411,3471980.520000000484288,3314529.600000000093132,3355779.399999999906868,10142290.520000001415610
20120412,3476794.669999999925494,3367521.000000000000000,3374858.840000000316650,10219175.509999999776483
20120413,3463315.049999999813735,3311680.599999999627471,3354095.920000000391155,10129092.570000000298023
20120416,3487385.799999999813735,3370939.799999999813735,3399549.879999999888241,10257876.480000000447035
20120417,3560560.879999999888241,3418233.200000000186265,3471939.520000000018626,10450734.599999999627471
20120418,3571152.010000000242144,3388603.600000000093132,3482601.560000000055879,10442358.169999999925494
20120419,3553821.069999999832362,3515669.000000000000000,3465205.600000000093132,10534696.669999999925494
20120420,3569226.350000000093132,3575498.000000000000000,3504486.800000000279397,10649212.150000000372529
20120423,3548044.090000000316650,3584614.799999999813735,3341189.240000000223517,10473849.130000000819564
20120424,3568263.520000000484288,3610825.599999999627471,3241863.920000000391155,10420954.040000000968575
20120425,3607739.549999999813735,3634187.399999999906868,3218856.359999999869615,10460784.309999998658895
20120426,3644327.090000000316650,3690597.599999999627471,3308080.800000000279397,10643006.490000000223517
20120427,3689580.100000000093132,3647292.800000000279397,3312570.080000000074506,10649443.980000000447035
20120430,3674174.819999999832362,3664956.599999999627471,3305836.159999999683350,10644968.580000000074506
20120501,3704022.549999999813735,3680910.999999999534339,3314814.720000000204891,10699749.269999999552965
20120502,3714613.679999999701977,3688888.199999999720603,3311447.759999999776483,10714950.639999998733401
20120503,3728093.299999999813735,3689458.000000000000000,3310325.440000000409782,10727877.740000000223517
20120504,3706911.040000000037253,3675213.000000000000000,3294051.800000000279397,10676176.839999999850988
20120507,3720390.660000000149012,3680341.200000000186265,3321548.640000000130385,10722281.500000000000000
20120508,3713650.850000000093132,3668945.200000000186265,3313692.399999999906868,10696289.450000001117587
20120509,3696319.910000000149012,3642164.600000000093132,3312570.080000000074506,10651055.589999999850988
20120510,3727130.470000000204891,3683190.200000000186265,3321548.640000000130385,10731870.310000000521541
20120511,3730018.960000000428408,3682050.600000000093132,3334455.320000000298023,10746525.880000000819564
20120514,3701134.059999999590218,3674073.400000000372529,3314814.720000000204891,10690023.179999999701977
20120515,3685728.780000000260770,3655270.000000000465661,3330527.200000000186265,10671526.980000000447035
20120516,3675137.650000000372529,3624500.799999999813735,3321548.640000000130385,10621188.089999999850988
20120517,3616405.020000000484288,3572649.000000000000000,3461277.479999999981374,10650332.500000000000000
20120518,3565375.030000000260770,3543019.399999999906868,3503364.479999999981374,10611759.910000000149012
20120521,3587520.119999999646097,3572649.000000000000000,3537595.240000000223517,10697765.359999999403954
20120522,3572114.840000000316650,3579486.600000000093132,3576315.279999999795109,10727917.720000000670552
20120523,3572114.840000000316650,3579486.600000000093132,3576315.279999999795109,10727917.720000000670552
20120524,3637587.280000000260770,3600569.199999999720603,3651510.719999999739230,10889668.199999999254942
20120525,3622182.000000000000000,3566951.000000000000000,3664978.560000000055879,10854112.560000000521541
20120529,3632773.129999999888241,3582905.400000000372529,3685741.480000000447035,10901421.010000001639128
20120530,3613516.530000000260770,3526495.200000000186265,3672273.640000000130385,10812286.370000001043081
20120531,3598111.250000000000000,3560683.200000000186265,3693597.719999999739230,10852393.169999999925494
20120601,3519159.189999999944121,3451851.399999999906868,3678446.399999999906868,10649457.990000000223517
20120604,3545155.600000000093132,3440455.400000000372529,3703137.439999999944121,10688749.439999999478459
20120605,3525899.000000000000000,3464387.000000000000000,3675640.600000000093132,10665927.599999999627471
20120606,3592334.270000000484288,3512250.200000000186265,3699770.480000000447035,10804355.950000001117587
