訓練日期,20161004 - 20170105
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11938613.060000000521541
真實報酬,1938613.060000000521541

夏普值報酬,0.185161306000000
夏普值風險,0.060165711037482
夏普值,3.077522110303778

預期報酬,32831.662572679226287
風險,135741.664154116268037
趨勢值,0.241868720096162
找到最佳解世代,2112
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),GS[8](2),KO[14](20),MSFT[18](6),
20161031,2689794.250000000465661,2766495.570000000298023,2522007.969999999739230,2608845.000000000000000,10587142.789999999105930
20161101,2689416.550000000279397,2763701.790000000502914,2505353.289999999571592,2603620.439999999944121,10562092.070000000298023
20161102,2658067.450000000186265,2740730.710000000428408,2501189.619999999646097,2587511.379999999888241,10487499.160000000149012
20161103,2644281.400000000372529,2734987.940000000409782,2500000.000000000000000,2577933.020000000018626,10457202.360000001266599
20161104,2635216.600000000093132,2730486.850000000093132,2479776.459999999497086,2556164.020000000018626,10401643.929999999701977
20161107,2701125.250000000000000,2816783.609999999869615,2525576.830000000074506,2630614.000000000000000,10674099.689999999478459
20161108,2685450.700000000186265,2823612.850000000093132,2550558.850000000093132,2632790.899999999906868,10692413.300000000745058
20161109,2740028.350000000093132,2989842.760000000242144,2514275.439999999944121,2619729.500000000000000,10863876.050000000745058
20161110,2789129.350000000093132,3117735.800000000279397,2435165.709999999497086,2555728.640000000130385,10897759.500000000000000
20161111,2804803.900000000372529,3165385.270000000018626,2440519.000000000000000,2569660.800000000279397,10980368.970000000670552
20161114,2832564.850000000558794,3246715.310000000521541,2448846.339999999850988,2530476.600000000093132,11058603.099999999627471
20161115,2797061.050000000279397,3277912.520000000018626,2464906.209999999497086,2563130.100000000093132,11103009.879999998956919
20161116,2765523.100000000093132,3201393.990000000223517,2454199.629999999888241,2597089.739999999757856,11018206.459999999031425
20161117,2744560.750000000465661,3253699.760000000242144,2445872.289999999571592,2640192.359999999869615,11084325.160000000149012
20161118,2763823.450000000186265,3264874.880000000353903,2433381.279999999795109,2627566.340000000316650,11089645.949999999254942
20161121,2776476.400000000372529,3276205.210000000428408,2460147.729999999981374,2649770.720000000204891,11162600.060000002384186
20161122,2823688.900000000372529,3276670.840000000316650,2460742.539999999571592,2661090.600000000093132,11222192.879999998956919
20161123,2827843.600000000558794,3295296.040000000502914,2445872.289999999571592,2629743.239999999757856,11198755.169999999925494
20161125,2833509.100000000093132,3280861.510000000242144,2470259.500000000000000,2635403.180000000167638,11220033.289999999105930
20161128,2828410.150000000372529,3264874.880000000353903,2483345.319999999832362,2638886.220000000204891,11215516.570000002160668
20161129,2863725.100000000093132,3286604.280000000260770,2447656.719999999739230,2659784.459999999962747,11257770.560000002384186
20161130,2843329.300000000279397,3403632.620000000111759,2400071.919999999925494,2623647.919999999925494,11270681.759999999776483
20161201,2877888.850000000093132,3517556.760000000242144,2389365.339999999850988,2577497.640000000130385,11362308.589999999850988
20161202,2875244.950000000186265,3466803.090000000316650,2400666.729999999981374,2579674.540000000037253,11322389.310000002384186
20161205,2873545.300000000279397,3547357.080000000540167,2416131.789999999571592,2621906.399999999906868,11458940.570000000298023
20161206,2875056.100000000558794,3591281.510000000242144,2413157.739999999757856,2610151.140000000130385,11489646.490000002086163
20161207,2910937.600000000093132,3656159.290000000502914,2455984.059999999590218,2671975.100000000093132,11695056.049999998882413
20161208,2934543.850000000093132,3747577.979999999981374,2437544.949999999720603,2656301.419999999925494,11775968.199999999254942
20161209,2955317.350000000558794,3753786.380000000353903,2498215.569999999832362,2698097.899999999906868,11905417.200000001117587
20161212,2967970.300000000279397,3681148.100000000093132,2492267.469999999739230,2706805.500000000000000,11848191.370000001043081
20161213,2958527.800000000279397,3702567.080000000540167,2483940.129999999888241,2742071.279999999795109,11887106.290000000968575
20161214,2917169.650000000372529,3723986.060000000521541,2451225.580000000074506,2729009.879999999888241,11821391.170000001788139
20161215,2903950.150000000372529,3771635.530000000260770,2471449.119999999646097,2724656.080000000074506,11871690.880000000819564
20161216,2917736.200000000186265,3707999.430000000167638,2482750.509999999776483,2712465.439999999944121,11820951.580000000074506
20161219,2949463.000000000465661,3710638.000000000000000,2478586.839999999850988,2769935.600000000093132,11908623.439999999478459
20161220,2953428.850000000093132,3773032.420000000391155,2477992.029999999795109,2766452.560000000055879,11970905.860000001266599
20161221,2974013.500000000000000,3747422.770000000018626,2472638.739999999757856,2766452.560000000055879,11960527.570000000298023
20161222,2973635.800000000279397,3726935.050000000279397,2471449.119999999646097,2766887.939999999944121,11938907.910000000149012
20161223,2980245.550000000279397,3740127.900000000372529,2474423.169999999925494,2753391.160000000149012,11948187.780000001192093
20161227,2974013.500000000000000,3749285.290000000502914,2475017.979999999981374,2755132.680000000167638,11953449.450000001117587
20161228,2947952.200000000186265,3735161.180000000167638,2461932.159999999683350,2742506.660000000149012,11887552.200000001117587
20161229,2940209.350000000093132,3696824.310000000521541,2474423.169999999925494,2738588.239999999757856,11850045.070000000298023
20161230,2940020.500000000465661,3716535.979999999981374,2466095.830000000074506,2705499.359999999869615,11828151.669999999925494
20170103,2964382.150000000372529,3749440.500000000000000,2486319.369999999646097,2724656.080000000074506,11924798.099999999627471
20170104,2995542.400000000372529,3773653.260000000242144,2477397.219999999739230,2712465.439999999944121,11959058.319999998435378
20170105,2997242.050000000279397,3745560.250000000000000,2483345.319999999832362,2712465.439999999944121,11938613.060000000521541
