訓練日期,20161004 - 20170105
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11938613.060000000521541
真實報酬,1938613.060000000521541

夏普值報酬,0.185161306000000
夏普值風險,0.060165711037482
夏普值,3.077522110303778

預期報酬,32831.662572679226287
風險,135741.664154116268037
趨勢值,0.241868720096162
找到最佳解世代,2112
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),GS[8](2),KO[14](20),MSFT[18](6),
Stock#,BA[2](1),GS[8](2),KO[14](20),MSFT[18](6),
張數,18885,15521,59481,43538,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,3.700000000186265,32.530000000260770,13.569999999832362,48.040000000037253,
20161004,2497544.950000000186265,2518625.200000000651926,2488698.609999999869615,2492163.160000000149012,9997031.919999999925494
20161005,2543057.800000000279397,2582726.930000000167638,2486914.180000000167638,2509578.359999999869615,10122277.269999999552965
20161006,2538525.399999999906868,2594367.680000000167638,2480966.080000000074506,2513932.160000000149012,10127791.320000000298023
20161007,2527760.950000000186265,2635963.960000000428408,2482155.699999999720603,2516544.439999999944121,10162425.049999998882413
20161010,2565342.100000000093132,2654744.370000000111759,2482155.699999999720603,2526993.560000000055879,10229235.730000000447035
20161011,2525683.600000000558794,2623702.370000000111759,2470854.309999999590218,2489986.259999999776483,10110226.539999999105930
20161012,2514730.300000000279397,2627737.830000000540167,2485129.750000000000000,2486503.220000000204891,10114101.100000001490116
20161013,2518885.000000000000000,2598558.350000000093132,2483940.129999999888241,2478231.000000000000000,10079614.480000000447035
20161014,2521151.200000000186265,2646673.450000000651926,2478586.839999999850988,2500000.000000000000000,10146411.490000000223517
20161017,2530593.700000000186265,2623081.530000000260770,2474423.169999999925494,2491292.399999999906868,10119390.800000000745058
20161018,2551367.200000000186265,2679422.760000000242144,2496431.139999999664724,2510449.120000000111759,10237670.220000000670552
20161019,2571763.000000000465661,2708602.240000000223517,2501189.619999999646097,2504789.180000000167638,10286344.039999999105930
20161020,2565342.100000000093132,2708602.240000000223517,2494051.899999999906868,2492598.540000000037253,10260594.780000001192093
20161021,2561376.250000000000000,2711085.600000000093132,2505948.100000000093132,2597525.120000000111759,10375935.070000000298023
20161024,2595746.950000000186265,2718070.050000000279397,2531524.930000000167638,2655866.040000000037253,10501207.969999998807907
20161025,2625396.400000000372529,2724744.080000000540167,2530335.309999999590218,2655430.660000000149012,10535906.449999999254942
20161026,2748526.600000000093132,2748336.000000000000000,2524387.209999999497086,2639756.979999999981374,10661006.789999999105930
20161027,2706413.050000000279397,2758890.280000000260770,2505353.289999999571592,2616681.840000000316650,10587338.459999999031425
20161028,2700747.549999999813735,2749422.470000000204891,2511896.199999999720603,2606668.100000000093132,10568734.319999998435378
