訓練日期,20140625 - 20140925
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10823872.349999997764826
真實報酬,823872.349999997764826

夏普值報酬,0.073687235000000
夏普值風險,0.027848169669308
夏普值,2.646035120980072

預期報酬,15007.951340522067767
風險,87784.117236325575504
趨勢值,0.170964313511507
找到最佳解世代,3066
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](3),GS[8](7),MSFT[18](1),PG[21](5),
Stock#,DIS[6](3),GS[8](7),MSFT[18](1),PG[21](5),
張數,30237,14860,59880,31641,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,4.839999999850988,102.200000000186265,10.000000000000000,44.589999999850988,
20140625,2536889.140000000130385,2502229.000000000000000,2516766.399999999906868,2509808.709999999497086,10065693.250000000000000
20140626,2553519.489999999757856,2496730.800000000279397,2498203.600000000093132,2487660.009999999776483,10036113.900000000372529
20140627,2579220.939999999944121,2478453.000000000000000,2529940.000000000000000,2500316.409999999683350,10087930.349999999627471
20140630,2592525.219999999739230,2488260.600000000093132,2497006.000000000000000,2486710.779999999795109,10064502.599999999627471
20140701,2614598.229999999981374,2478898.800000000279397,2507185.599999999627471,2508543.069999999832362,10109225.699999999254942
20140702,2613691.119999999646097,2480087.600000000093132,2508982.000000000000000,2517402.549999999813735,10120163.269999999552965
20140703,2625785.919999999925494,2518277.800000000279397,2502994.000000000000000,2530691.770000000018626,10177749.490000000223517
20140707,2618226.669999999925494,2493313.000000000000000,2514371.200000000186265,2537336.379999999888241,10163247.250000000000000
20140708,2596153.659999999683350,2450664.800000000279397,2501796.399999999906868,2549043.549999999813735,10097658.410000000149012
20140709,2637275.979999999981374,2447098.399999999906868,2495209.600000000093132,2584165.060000000055879,10163749.040000000968575
20140710,2626390.659999999683350,2428523.399999999906868,2496407.199999999720603,2582266.599999999627471,10133587.859999999403954
20140711,2627297.770000000018626,2449030.200000000186265,2520359.200000000186265,2568028.149999999906868,10164715.320000000298023
20140714,2623366.959999999962747,2481722.200000000186265,2523353.200000000186265,2573090.709999999497086,10201533.070000000298023
20140715,2604922.390000000130385,2513968.399999999906868,2541916.000000000000000,2571192.250000000000000,10231999.039999999105930
20140716,2580732.789999999571592,2533286.400000000372529,2639520.399999999906868,2561067.129999999888241,10314606.719999998807907
20140717,2571056.949999999720603,2528382.600000000093132,2666466.399999999906868,2543980.990000000223517,10309886.939999999478459
20140718,2594641.810000000055879,2548146.400000000372529,2676047.199999999720603,2548727.139999999664724,10367562.550000000745058
20140721,2592525.219999999739230,2551861.400000000372529,2685029.200000000186265,2540184.069999999832362,10369599.890000000596046
20140722,2606736.609999999869615,2600899.400000000372529,2684430.399999999906868,2534488.689999999478459,10426555.099999999627471
20140723,2601596.319999999832362,2627647.399999999906868,2686825.599999999627471,2531008.179999999701977,10447077.500000000000000
20140724,2624576.439999999944121,2619325.800000000279397,2658682.000000000000000,2539551.250000000000000,10442135.490000000223517
20140725,2607341.350000000093132,2606546.200000000186265,2664670.000000000000000,2517402.549999999813735,10395960.100000001490116
20140728,2635159.390000000130385,2614719.200000000186265,2632933.600000000093132,2507910.250000000000000,10390722.439999999478459
20140729,2606434.239999999757856,2608626.600000000093132,2628143.200000000186265,2488609.240000000223517,10331813.280000001192093
20140730,2636973.609999999869615,2611895.800000000279397,2609580.399999999906868,2473105.149999999906868,10331554.960000000894070
20140731,2596758.399999999906868,2568950.400000000372529,2584430.799999999813735,2446526.709999999497086,10196666.310000000521541
20140801,2581639.899999999906868,2530017.200000000186265,2566466.799999999813735,2520250.240000000223517,10198374.140000000596046
20140804,2637880.719999999739230,2551415.600000000093132,2597005.599999999627471,2506644.609999999869615,10292946.529999999329448
