訓練日期,20170323 - 20170623
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10780407.789999999105930
真實報酬,780407.789999999105930

夏普值報酬,0.069340779000000
夏普值風險,0.023340035745453
夏普值,2.970894293232076

預期報酬,12244.582300325630058
風險,46105.852167470926361
趨勢值,0.265575447035432
找到最佳解世代,2345
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
BA[2](9),JNJ[12](15),KO[14](4),MCD[15](1),NKE[19](20),UTX[24](6),WMT[28](7),XOM[29](19),
Stock#,BA[2](9),JNJ[12](15),KO[14](4),MCD[15](1),NKE[19](20),UTX[24](6),WMT[28](7),XOM[29](19),
張數,7062,9900,29495,9682,23182,11167,17793,15288,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,167.239999999990687,26.000000000000000,1.899999999906868,53.800000000046566,26.560000000055879,77.689999999944121,41.750000000000000,53.119999999878928,
20170323,1251977.359999999869615,1246436.000000000000000,1243806.050000000046566,1249031.800000000046566,1283613.899999999906868,1248994.969999999972060,1243060.729999999981374,1251528.799999999813735,10018449.609999999403954
20170324,1241808.079999999841675,1242278.000000000000000,1242331.299999999813735,1252323.680000000167638,1306564.080000000074506,1248548.289999999804422,1238612.479999999981374,1241897.359999999869615,10014363.269999999552965
20170327,1243785.439999999944121,1245446.000000000000000,1248230.299999999813735,1253775.980000000214204,1296595.820000000065193,1248883.299999999813735,1239502.129999999888241,1242203.119999999878928,10018422.089999997988343
20170328,1252683.560000000055879,1244060.000000000000000,1251474.750000000000000,1253388.699999999953434,1312591.399999999906868,1259045.269999999785796,1251245.509999999776483,1251223.040000000037253,10075712.230000000447035
20170329,1254590.300000000046566,1236734.000000000000000,1251179.800000000046566,1247482.680000000167638,1313982.320000000065193,1251451.709999999962747,1258718.569999999832362,1253974.879999999888241,10068114.259999997913837
20170330,1257062.000000000000000,1234160.000000000000000,1256488.899999999906868,1252130.040000000037253,1299145.840000000083819,1255806.840000000083819,1273842.620000000111759,1279658.719999999972060,10108294.959999999031425
20170331,1249152.560000000055879,1233071.000000000000000,1251769.699999999953434,1254937.820000000065193,1291959.419999999925494,1253126.759999999776483,1282561.189999999944121,1253822.000000000000000,10070400.449999999254942
20170403,1247669.540000000037253,1234457.000000000000000,1250884.849999999860302,1254937.820000000065193,1288018.480000000214204,1250000.000000000000000,1278112.939999999944121,1254739.279999999795109,10058819.910000000149012
20170404,1262146.639999999897555,1234358.000000000000000,1258848.500000000000000,1251839.580000000074506,1275963.840000000083819,1261837.019999999785796,1281315.680000000167638,1259325.679999999934807,10085634.939999999478459
20170405,1250706.200000000186265,1235546.000000000000000,1255604.049999999813735,1262683.419999999925494,1274572.919999999925494,1256365.189999999944121,1274910.200000000186265,1261771.760000000009313,10072159.740000000223517
20170406,1252754.179999999934807,1238021.000000000000000,1258553.550000000046566,1260166.100000000093132,1278282.040000000037253,1255360.159999999916181,1270995.740000000223517,1269110.000000000000000,10083242.769999999552965
20170407,1263205.939999999944121,1236734.000000000000000,1256783.849999999860302,1258326.520000000018626,1277586.580000000074506,1261837.019999999785796,1297151.450000000186265,1265288.000000000000000,10116913.359999999403954
20170410,1254095.959999999962747,1230992.000000000000000,1259143.449999999953434,1258520.159999999916181,1272718.360000000102445,1260608.649999999906868,1299998.330000000074506,1270944.559999999823049,10107021.470000000670552
20170411,1261228.579999999841675,1229804.000000000000000,1258258.599999999860302,1270332.199999999953434,1273182.000000000000000,1263512.070000000065193,1306581.740000000223517,1266511.040000000037253,10129410.230000000447035
20170412,1243432.340000000083819,1241486.000000000000000,1266517.199999999953434,1270913.119999999878928,1288250.300000000046566,1253461.769999999785796,1306759.669999999925494,1268498.479999999748543,10139318.879999998956919
20170413,1240395.679999999934807,1237427.000000000000000,1262092.949999999953434,1266072.119999999878928,1282918.440000000176951,1251786.719999999972060,1301599.700000000186265,1248929.839999999850988,10091222.449999999254942
20170417,1264406.479999999981374,1244654.000000000000000,1270351.549999999813735,1271784.500000000000000,1303782.239999999990687,1264963.779999999795109,1307649.319999999832362,1247248.159999999916181,10174840.029999999329448
20170418,1256143.939999999944121,1206044.000000000000000,1282444.499999999767169,1280982.400000000139698,1300768.580000000074506,1268202.209999999962747,1314766.520000000018626,1239145.519999999785796,10148497.669999999925494
20170419,1260028.040000000037253,1201589.000000000000000,1275070.749999999767169,1284274.280000000027940,1294973.080000000074506,1261055.330000000074506,1317969.259999999776483,1230584.239999999757856,10125543.980000000447035
20170420,1266383.840000000083819,1206539.000000000000000,1270941.449999999953434,1290373.940000000176951,1307491.360000000102445,1272445.669999999925494,1330958.149999999906868,1238534.000000000000000,10183667.410000000149012
20170421,1274010.800000000046566,1205450.000000000000000,1270351.549999999813735,1291729.419999999925494,1294741.260000000009313,1284171.019999999785796,1333449.169999999925494,1233641.839999999850988,10187545.059999998658895
20170424,1285874.959999999962747,1216637.000000000000000,1276545.500000000000000,1299668.659999999916181,1285932.100000000093132,1299023.129999999888241,1330602.290000000037253,1240062.799999999813735,10234346.440000001341105
20170425,1296114.859999999869615,1221983.000000000000000,1271531.349999999860302,1371993.199999999953434,1285468.460000000195578,1305164.979999999981374,1335406.399999999906868,1249541.359999999869615,10337203.609999999403954
20170426,1283403.260000000009313,1222775.000000000000000,1275365.699999999953434,1363666.680000000167638,1278745.679999999934807,1320017.090000000083819,1342167.740000000223517,1244496.320000000065193,10330637.470000000670552
20170427,1294066.879999999888241,1225052.000000000000000,1268581.849999999860302,1363957.140000000130385,1285932.100000000093132,1326493.949999999953434,1342345.669999999925494,1242356.000000000000000,10348785.589999999850988
20170428,1305436.700000000186265,1222379.000000000000000,1272711.149999999906868,1354856.060000000055879,1284541.179999999934807,1328839.019999999785796,1337719.490000000223517,1248318.320000000065193,10354800.919999999925494
20170501,1288205.419999999925494,1221092.000000000000000,1274775.799999999813735,1366668.100000000093132,1274804.739999999990687,1328057.330000000074506,1338609.140000000130385,1254586.399999999906868,10346798.930000001564622
20170502,1295620.520000000018626,1224656.000000000000000,1279789.949999999953434,1367442.659999999916181,1276659.300000000046566,1332524.129999999888241,1343769.109999999869615,1254433.519999999785796,10374895.189999999478459
20170503,1295267.419999999925494,1220993.000000000000000,1277725.299999999813735,1380900.640000000130385,1264141.020000000018626,1343467.789999999804422,1348039.430000000167638,1264370.719999999972060,10394905.320000000298023
