訓練日期,20150327 - 20150629
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10989532.980000000447035
真實報酬,989532.980000000447035

夏普值報酬,0.090253298000000
夏普值風險,0.029770424299356
夏普值,3.031642985416027

預期報酬,18131.573372124064917
風險,83039.464005024114158
趨勢值,0.218348872904900
找到最佳解世代,1767
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](3),GS[8](2),JPM[13](1),NKE[19](6),
Stock#,DIS[6](3),GS[8](2),JPM[13](1),NKE[19](6),
張數,23755,13351,41988,50332,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,23.800000000279397,158.759999999776483,34.479999999981374,9.560000000055879,
20150327,2505701.200000000186265,2510947.819999999832362,2500419.879999999888241,2513589.640000000130385,10030658.539999999105930
20150330,2520904.400000000372529,2550466.779999999795109,2559622.959999999962747,2539258.960000000428408,10170253.099999999627471
20150331,2491685.750000000465661,2509746.229999999981374,2543667.520000000018626,2525166.000000000000000,10070265.500000000000000
20150401,2504751.000000000000000,2566621.489999999757856,2517215.080000000074506,2505536.520000000018626,10094124.089999999850988
20150402,2518053.800000000279397,2557542.810000000055879,2541148.240000000223517,2508053.120000000111759,10124797.970000000670552
20150406,2509264.450000000186265,2564218.310000000055879,2539048.839999999850988,2510066.399999999906868,10122598.000000000000000
20150407,2504513.450000000651926,2568757.649999999441206,2555004.280000000260770,2507046.479999999981374,10135321.859999999403954
20150408,2526605.600000000093132,2571027.319999999832362,2563401.879999999888241,2537749.000000000000000,10198783.800000000745058
20150409,2536345.150000000372529,2602135.149999999441206,2581036.839999999850988,2534729.080000000074506,10254246.219999998807907
20150410,2540621.050000000279397,2612148.399999999441206,2590694.080000000074506,2516106.240000000223517,10259569.769999999552965
20150413,2530168.850000000558794,2611347.339999999850988,2606229.640000000130385,2498490.040000000037253,10246235.870000001043081
20150414,2533732.100000000093132,2639918.479999999981374,2646958.000000000000000,2505033.200000000186265,10325641.780000001192093
20150415,2541333.700000000186265,2685044.859999999869615,2696083.959999999497086,2512583.000000000000000,10435045.519999999552965
20150416,2567939.300000000279397,2673162.469999999739230,2679288.760000000242144,2514092.960000000428408,10434483.490000000223517
20150417,2534444.750000000000000,2634978.609999999869615,2638560.399999999906868,2480370.520000000018626,10288354.279999999329448
20150420,2570789.900000000372529,2644991.859999999869615,2655355.600000000093132,2516609.560000000055879,10387746.919999999925494
20150421,2557962.200000000651926,2628169.599999999627471,2616306.760000000242144,2524159.359999999869615,10326597.919999999925494
20150422,2564138.500000000000000,2647929.079999999608845,2642759.199999999720603,2520636.120000000111759,10375462.899999998509884
20150423,2589318.800000000279397,2661146.569999999832362,2636880.879999999888241,2544795.479999999981374,10432141.730000000447035
20150424,2601908.950000000186265,2643523.250000000000000,2628483.280000000260770,2540768.919999999925494,10414684.400000000372529
20150427,2616874.600000000093132,2623897.279999999795109,2617566.399999999906868,2540265.600000000093132,10398603.879999998956919
20150428,2611173.400000000372529,2636847.750000000000000,2635201.359999999869615,2513086.319999999832362,10396308.830000000074506
20150429,2608560.350000000558794,2651133.319999999832362,2670471.280000000260770,2521139.440000000409782,10451304.390000000596046
