訓練日期,20131114 - 20140219
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11419356.939999999478459
真實報酬,1419356.939999999478459

夏普值報酬,0.133235694000000
夏普值風險,0.041303924806281
夏普值,3.225739312302292

預期報酬,21392.071603480490012
風險,120808.814215619218885
趨勢值,0.177073765208058
找到最佳解世代,2256
找到最佳解實驗#,2
找到最佳解次數,27

stock[index](rank)
投資組合檔數,3
CAT[3](2),MRK[17](1),V[25](4),
Stock#,CAT[3](2),MRK[17](1),V[25](4),
張數,39588,70412,66733,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,23.399999999906868,28.919999999925494,19.649999999906868,
20131114,3315914.280000000260770,3367130.759999999776483,3339338.969999999739230,10022385.009999999776483
20131115,3315122.519999999552965,3384733.759999999776483,3370036.149999999906868,10069893.429999999701977
20131118,3326998.919999999925494,3380509.039999999571592,3335334.989999999757856,10042843.949999999254942
20131119,3312351.359999999869615,3384733.759999999776483,3293293.200000000186265,9990379.320000000298023
20131120,3273159.240000000223517,3388958.479999999981374,3305305.140000000130385,9967423.860000001266599
20131121,3250989.959999999962747,3423460.359999999869615,3363362.849999999627471,10037814.169999999925494
20131122,3281076.839999999850988,3445992.199999999720603,3372038.140000000130385,10099108.179999999701977
20131125,3341250.600000000093132,3496688.839999999850988,3368701.489999999757856,10206641.929999999701977
20131126,3339667.080000000074506,3491055.879999999888241,3395394.689999999944121,10226118.650000000372529
20131127,3351939.359999999869615,3508658.879999999888241,3403402.649999999906868,10264001.890000000596046
20131129,3349168.199999999720603,3508658.879999999888241,3394727.359999999869615,10252555.439999999478459
20131202,3335312.399999999906868,3533303.080000000074506,3422087.890000000130385,10290704.370000001043081
20131203,3320268.959999999962747,3503730.039999999571592,3366032.169999999925494,10190032.169999999925494
20131204,3324227.759999999776483,3472044.640000000130385,3382715.419999999925494,10178988.820000000298023
20131205,3341646.479999999981374,3436838.640000000130385,3365364.839999999850988,10143850.960000000894070
20131206,3384797.399999999906868,3477677.600000000093132,3368034.159999999683350,10230510.160000000149012
20131209,3408154.319999999832362,3489647.640000000130385,3363362.849999999627471,10261165.809999998658895
20131210,3421218.359999999869615,3480494.080000000074506,3327327.029999999795109,10229040.469999998807907
20131211,3376088.040000000037253,3446696.320000000298023,3431430.510000000242144,10254215.870000001043081
20131212,3387568.559999999590218,3402336.759999999776483,3394060.029999999795109,10183966.349999999627471
20131213,3406570.799999999813735,3406561.479999999981374,3459458.370000000111759,10272591.649999998509884
20131216,3459222.839999999850988,3386142.000000000000000,3466131.669999999925494,10311497.509999999776483
20131217,3441012.359999999869615,3372763.719999999739230,3557555.879999999888241,10371332.960000000894070
20131218,3490497.359999999869615,3443175.719999999739230,3592924.370000000111759,10526598.449999999254942
20131219,3465556.919999999925494,3435430.399999999906868,3604936.310000000055879,10505924.630000000819564
20131220,3520584.240000000223517,3472748.759999999776483,3602934.319999999832362,10596268.320000000298023
20131223,3561359.879999999888241,3475565.239999999757856,3637635.479999999981374,10674561.599999999627471
20131224,3598968.479999999981374,3479085.839999999850988,3648980.089999999850988,10727035.410000000149012
20131226,3608469.600000000093132,3500913.560000000055879,3673671.299999999813735,10783055.460000000894070
20131227,3597384.959999999962747,3505842.399999999906868,3664996.010000000242144,10768224.369999999180436
20131230,3597384.959999999962747,3516404.199999999720603,3685683.239999999757856,10799473.400000000372529
