訓練日期,20121010 - 20130115
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11311667.019999999552965
真實報酬,1311667.019999999552965

夏普值報酬,0.122466702000000
夏普值風險,0.034615360901301
夏普值,3.537929370408452

預期報酬,18209.688457054391620
風險,137225.640570718329400
趨勢值,0.132698877420581
找到最佳解世代,2429
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](2),V[25](1),
Stock#,BA[2](2),V[25](1),
張數,70781,146241,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,30.160000000149012,20.209999999962747,
20121010,4978765.700000000186265,5023398.560000000521541,10002164.260000001639128
20121011,5013448.389999999664724,5083357.370000000111759,10096805.759999999776483
20121012,5085645.009999999776483,5086282.190000000409782,10171927.199999999254942
20121015,5113957.410000000149012,5114067.979999999515712,10228025.390000000596046
20121016,5201018.040000000037253,5160865.099999999627471,10361883.140000000596046
20121017,5211635.189999999478459,5212049.450000000186265,10423684.640000000596046
20121018,5256227.220000000670552,5187188.479999999515712,10443415.699999999254942
20121019,5238531.970000000670552,5116992.799999999813735,10355524.769999999552965
20121022,5216589.860000000335276,5081894.959999999962747,10298484.820000000298023
20121023,5154302.580000000074506,4995612.769999999552965,10149915.349999999627471
20121024,5146516.669999999925494,4989763.129999999888241,10136279.800000000745058
20121025,5063702.900000000372529,5029248.200000000186265,10092951.100000001490116
20121026,5033267.070000000298023,5057033.989999999292195,10090301.059999998658895
20121031,4985843.799999999813735,5073120.500000000000000,10058964.300000000745058
20121101,5010617.150000000372529,5260308.979999999515712,10270926.129999998956919
20121102,4958239.209999999962747,5242760.060000000521541,10200999.269999999552965
20121105,4983720.370000000111759,5174026.790000000037253,10157747.160000000149012
20121106,5097677.780000000260770,5260308.979999999515712,10357986.759999999776483
20121107,4962486.070000000298023,5212049.450000000186265,10174535.519999999552965
20121108,5024065.540000000037253,5194500.530000000260770,10218566.070000000298023
20121109,5184738.410000000149012,5225211.139999999664724,10409949.550000000745058
20121112,5215882.049999999813735,5236910.419999999925494,10452792.469999998807907
20121113,5192524.320000000298023,5207662.219999999739230,10400186.539999999105930
20121114,5046007.650000000372529,5116992.799999999813735,10163000.449999999254942
20121115,5028312.400000000372529,5118455.209999999962747,10146767.609999999403954
20121116,5009201.530000000260770,5217899.089999999850988,10227100.620000001043081
20121119,5093430.919999999925494,5324655.019999999552965,10418085.939999999478459
20121120,5134483.900000000372529,5350978.400000000372529,10485462.300000000745058
20121121,5177660.310000000521541,5362677.680000000633299,10540337.990000002086163
20121123,5219421.099999999627471,5415324.440000000409782,10634745.539999999105930
20121126,5256935.030000000260770,5383151.419999999925494,10640086.449999999254942
20121127,5272506.849999999627471,5367064.910000000149012,10639571.759999999776483
20121128,5244194.450000000186265,5384613.830000000074506,10628808.280000001192093
20121129,5246317.880000000819564,5418249.259999999776483,10664567.140000000596046
20121130,5257642.839999999850988,5473820.839999999850988,10731463.679999999701977
20121203,5239239.780000000260770,5434335.769999999552965,10673575.550000000745058
20121204,5241363.209999999962747,5396313.109999999403954,10637676.320000000298023
20121205,5228622.630000000819564,5413862.030000000260770,10642484.660000000149012
20121206,5236408.540000000037253,5428486.129999999888241,10664894.669999999925494
20121207,5283124.000000000000000,5431410.950000000186265,10714534.949999999254942
20121210,5346119.089999999850988,5435798.180000000633299,10781917.269999999552965
20121211,5366645.580000000074506,5444572.639999999664724,10811218.219999998807907
20121212,5341872.230000000447035,5406549.979999999515712,10748422.210000000894070
20121213,5260474.080000000074506,5381689.009999999776483,10642163.089999999850988
20121214,5239239.780000000260770,5368527.320000000298023,10607767.100000001490116
20121217,5283831.810000000521541,5451884.690000000409782,10735716.500000000000000
20121218,5345411.280000000260770,5510381.089999999850988,10855792.370000001043081
20121219,5344703.470000000670552,5453347.099999999627471,10798050.570000000298023
20121220,5393542.360000000335276,5574727.129999999888241,10968269.490000000223517
20121221,5391418.930000000633299,5511843.500000000000000,10903262.429999999701977
20121224,5377262.730000000447035,5527930.009999999776483,10905192.740000000223517
20121226,5380801.780000000260770,5475283.250000000000000,10856085.030000001192093
20121227,5367353.389999999664724,5462121.560000000521541,10829474.949999999254942
20121228,5286663.049999999813735,5434335.769999999552965,10720998.820000000298023
20121231,5334086.320000000298023,5542554.109999999403954,10876640.429999999701977
20130102,5455121.830000000074506,5681483.060000000521541,11136604.890000000596046
20130103,5483434.230000000447035,5685870.290000000037253,11169304.519999999552965
20130104,5499006.049999999813735,5731205.000000000000000,11230211.050000000745058
20130107,5388587.689999999478459,5772152.479999999515712,11160740.169999998062849
20130108,5247025.689999999478459,5826261.650000000372529,11073287.339999999850988
20130109,5433179.720000000670552,5915468.660000000149012,11348648.380000000819564
20130110,5456537.450000000186265,5868671.540000000037253,11325208.990000000223517
20130111,5319930.120000000111759,5892070.099999999627471,11212000.219999998807907
20130114,5418315.709999999962747,5873058.769999999552965,11291374.480000000447035
20130115,5445920.299999999813735,5865746.719999999739230,11311667.019999999552965
