訓練日期,20120504 - 20120806
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11962493.759999997913837
真實報酬,1962493.759999997913837

夏普值報酬,0.187549376000000
夏普值風險,0.054378599007550
夏普值,3.448955644737405

預期報酬,32785.160991405522509
風險,112712.448535122806788
趨勢值,0.290874356980979
找到最佳解世代,2422
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DIS[6](2),WMT[28](1),
Stock#,DIS[6](2),WMT[28](1),
張數,114129,84760,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,8.509999999776483,7.599999999627471,
20120504,4899566.479999999515712,4975419.599999999627471,9874986.079999998211861
20120507,5001141.290000000037253,5016951.999999999068677,10018093.289999999105930
20120508,5055923.209999999031425,5005085.599999999627471,10061008.809999998658895
20120509,5138096.089999999850988,5003390.399999999441206,10141486.489999998360872
20120510,5167769.629999999888241,5016951.999999999068677,10184721.629999998956919
20120511,5199725.750000000000000,5036446.799999999813735,10236172.550000000745058
20120514,5155215.440000000409782,5006780.799999999813735,10161996.240000000223517
20120515,5136954.799999999813735,5030513.599999999627471,10167468.399999998509884
20120516,5144943.829999999143183,5016951.999999999068677,10161895.829999998211861
20120517,5059347.079999999143183,5228004.399999999441206,10287351.479999998584390
20120518,5000000.000000000000000,5291574.399999999441206,10291574.399999998509884
20120521,5066194.820000000298023,5343278.000000000000000,10409472.820000000298023
20120522,5066194.820000000298023,5401762.399999999441206,10467957.219999998807907
20120523,5066194.820000000298023,5401762.399999999441206,10467957.219999998807907
20120524,5071901.269999999552965,5515340.799999998882413,10587242.069999998435378
20120525,5078749.009999999776483,5535683.200000000186265,10614432.210000000894070
20120529,5190595.429999999701977,5567044.400000000372529,10757639.830000000074506
20120530,5158639.310000000521541,5546701.999999999068677,10705341.309999998658895
20120531,5216845.099999999627471,5578910.799999998882413,10795755.899999998509884
20120601,5067336.109999999403954,5556025.599999999627471,10623361.709999999031425
20120604,5068477.399999999441206,5593319.999999999068677,10661797.399999998509884
20120605,5117552.870000000111759,5551787.599999999627471,10669340.469999998807907
20120606,5196301.879999999888241,5588234.400000000372529,10784536.280000001192093
20120607,5207714.780000000260770,5583148.799999999813735,10790863.580000000074506
20120608,5277333.469999999739230,5782334.799999999813735,11059668.269999999552965
20120611,5227116.709999999031425,5723850.399999999441206,10950967.109999999403954
20120612,5293311.530000000260770,5739954.799999999813735,11033266.330000000074506
20120613,5276192.179999999701977,5684860.799999998882413,10961052.979999998584390
20120614,5384614.729999999515712,5732326.399999999441206,11116941.129999998956919
20120615,5374343.120000000111759,5742497.599999999627471,11116840.719999998807907
20120618,5375484.410000000149012,5773858.799999999813735,11149343.210000000894070
20120619,5422277.299999999813735,5747583.200000000186265,11169860.500000000000000
20120620,5447385.679999999701977,5807762.799999998882413,11255148.479999998584390
20120621,5409723.109999999403954,5738259.599999999627471,11147982.709999999031425
20120622,5417712.139999999664724,5704355.599999999627471,11122067.739999998360872
20120625,5329832.810000000521541,5778944.400000000372529,11108777.210000000894070
20120626,5398310.209999999031425,5812848.399999999441206,11211158.609999999403954
20120627,5463363.739999999292195,5813696.000000000000000,11277059.739999998360872
20120628,5457657.290000000037253,5789115.599999999627471,11246772.890000000596046
20120629,5535265.009999999776483,5909474.799999999813735,11444739.809999998658895
20120702,5560373.389999999664724,5878113.599999998696148,11438486.989999998360872
20120703,5545536.620000000111759,5996777.599999999627471,11542314.219999998807907
20120705,5490754.699999999254942,6024748.399999999441206,11515503.099999997764826
20120706,5482765.669999999925494,6048481.199999999254942,11531246.869999999180436
20120709,5478200.509999999776483,6082385.200000000186265,11560585.710000000894070
20120710,5405157.949999999254942,6112051.199999999254942,11517209.149999998509884
20120711,5394886.339999999850988,6124765.200000000186265,11519651.539999999105930
20120712,5410864.399999999441206,6129003.200000000186265,11539867.599999999627471
20120713,5499885.019999999552965,6202744.400000000372529,11702629.419999999925494
20120716,5462222.449999999254942,6185792.400000000372529,11648014.849999999627471
20120717,5632274.660000000149012,6195963.599999998696148,11828238.259999997913837
20120718,5632274.660000000149012,6174773.599999998696148,11807048.259999997913837
20120719,5591188.219999999739230,6062890.399999999441206,11654078.619999999180436
20120720,5545536.620000000111759,6123917.599999999627471,11669454.219999998807907
20120723,5475917.929999999701977,6090013.599999998696148,11565931.529999997466803
20120724,5496461.149999999441206,6114594.000000000000000,11611055.149999998509884
20120725,5512439.209999999031425,6109508.399999999441206,11621947.609999999403954
20120726,5673361.099999999627471,6244276.799999999813735,11917637.899999998509884
20120727,5699610.769999999552965,6316322.799999998882413,12015933.569999998435378
20120730,5683632.709999999031425,6355312.400000000372529,12038945.109999999403954
20120731,5608307.570000000298023,6308694.400000000372529,11917001.970000000670552
20120801,5608307.570000000298023,6240038.799999999813735,11848346.370000001043081
20120802,5590046.929999999701977,6276485.599999999627471,11866532.529999999329448
20120803,5680208.839999999850988,6318865.599999999627471,11999074.439999999478459
20120806,5666513.359999999403954,6295980.399999999441206,11962493.759999997913837
