訓練日期,20141217 - 20150323
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12287728.940000001341105
真實報酬,2287728.940000001341105

夏普值報酬,0.220072894000000
夏普值風險,0.056315099466624
夏普值,3.907884316717364

預期報酬,36193.926810761775414
風險,157447.972936192032648
趨勢值,0.229878645852302
找到最佳解世代,2073
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),UNH[23](3),WBA[27](7),
Stock#,BA[2](2),UNH[23](3),WBA[27](7),
張數,26827,34776,46046,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,78.250000000000000,53.400000000372529,63.060000000055879,
20141217,3355062.870000000111759,3447746.040000000502914,3314914.599999999627471,10117724.509999999776483
20141218,3371427.339999999850988,3555551.640000000130385,3424964.540000000037253,10351944.519999999552965
20141219,3386450.459999999962747,3564245.640000000130385,3372011.640000000130385,10322708.740000000223517
20141222,3439836.189999999944121,3583372.440000000409782,3419899.479999999981374,10443109.110000001266599
20141223,3488393.060000000055879,3576765.000000000000000,3523042.520000000484288,10588201.580000001937151
20141224,3520853.730000000447035,3570853.080000000540167,3530409.880000000353903,10622117.690000001341105
20141226,3531316.259999999776483,3566332.200000000186265,3520740.219999999739230,10618389.679999999701977
20141229,3549022.079999999608845,3558681.480000000447035,3535935.400000000372529,10643639.960000000894070
20141230,3536681.660000000149012,3576765.000000000000000,3501861.359999999869615,10615309.019999999552965
20141231,3487051.709999999497086,3515559.240000000689179,3508768.260000000242144,10511380.210000000894070
20150102,3486246.899999999906868,3504778.680000000633299,3499559.060000000055879,10490585.640000000596046
20150105,3462102.600000000093132,3447050.520000000484288,3430490.060000000055879,10339644.180000001564622
20150106,3421325.560000000055879,3440095.320000000298023,3439238.799999999813735,10300660.679999999701977
20150107,3474443.019999999552965,3475219.080000000540167,3527186.659999999683350,10476849.759999999776483
20150108,3535876.850000000093132,3641100.600000000558794,3570930.359999999869615,10747908.810000000521541
20150109,3528901.829999999608845,3607020.120000000111759,3484363.880000000353903,10620286.830000000074506
20150112,3510927.740000000223517,3566332.200000000186265,3485745.260000000242144,10563006.200000001117587
20150113,3518975.839999999850988,3584415.720000000204891,3465485.020000000484288,10568877.580000001937151
20150114,3497782.509999999776483,3593457.480000000447035,3453052.599999999627471,10544293.589999999850988
20150115,3491344.029999999795109,3632754.360000000335276,3443382.939999999944121,10567482.330000000074506
20150116,3508513.310000000055879,3678310.920000000391155,3500940.439999999944121,10687765.669999999925494
20150120,3520317.189999999944121,3673094.520000000484288,3501861.359999999869615,10695274.070000000298023
20150121,3552241.319999999832362,3801765.720000000204891,3480680.200000000186265,10834688.240000000223517
20150122,3638892.529999999795109,3959301.000000000000000,3500479.979999999981374,11098674.509999999776483
20150123,3611528.990000000223517,3894965.400000000372529,3480680.200000000186265,10987175.589999999850988
20150126,3596774.139999999664724,3881402.760000000242144,3492191.700000000186265,10970369.600000001490116
20150127,3554119.209999999497086,3825761.160000000614673,3450289.840000000316650,10830171.210000000894070
20150128,3746200.529999999795109,3771858.360000000335276,3396876.479999999981374,10914936.370000001043081
20150129,3964572.310000000055879,3804200.040000000502914,3433713.279999999795109,11202486.630000000819564
20150130,3899919.240000000223517,3695003.400000000372529,3395955.560000000055879,10990879.200000001117587
20150202,3923795.269999999552965,3731170.440000000409782,3448448.000000000000000,11103414.710000000894070
20150203,3952768.430000000167638,3749253.960000000428408,3443843.400000000372529,11145866.790000000968575
20150204,3949549.189999999944121,3753079.320000000298023,3438317.880000000353903,11140947.390000000596046
20150205,3986570.449999999720603,3784377.720000000204891,3443843.400000000372529,11214792.570000000298023
20150206,3970474.250000000000000,3741951.000000000000000,3506465.960000000428408,11218892.210000000894070
20150209,3959206.910000000149012,3703349.640000000130385,3517977.460000000428408,11180535.010000001639128
20150210,3971547.329999999608845,3789594.120000000111759,3531330.799999999813735,11292473.250000000000000
20150211,3968328.089999999850988,3820197.000000000000000,3662101.439999999944121,11450627.529999999329448
20150212,3972888.680000000167638,3819849.240000000689179,3681901.219999999739230,11474640.140000000596046
20150213,4016884.959999999497086,3805938.840000000316650,3625264.640000000130385,11448089.439999999478459
20150217,4021982.089999999850988,3817067.160000000614673,3591651.060000000055879,11430701.310000000521541
20150218,4055515.839999999850988,3817414.920000000391155,3581981.400000000372529,11454913.160000000149012
20150219,4124729.500000000000000,3826456.680000000633299,3550209.659999999683350,11501396.839999999850988
20150220,4247060.620000000111759,3916526.520000000484288,3551591.040000000037253,11715179.179999999701977
20150223,4151288.230000000447035,4047979.800000000745058,3618818.200000000186265,11818087.230000000447035
20150224,4141630.509999999776483,4014247.080000000540167,3701701.000000000000000,11857579.589999999850988
20150225,4104877.519999999552965,3966256.200000000186265,3684203.520000000484288,11755338.240000000223517
20150226,4070538.959999999497086,3952693.560000000055879,3759718.960000000428408,11782952.480000000447035
20150227,4046931.199999999720603,3951650.280000000260770,3825564.739999999757856,11824147.220000000670552
20150302,4126070.850000000093132,3978427.800000000745058,3850429.580000000074506,11954929.230000000447035
20150303,4173554.639999999664724,3924872.760000000242144,3831550.719999999739230,11929979.120000001043081
20150304,4140825.699999999720603,3958257.720000000204891,3822801.979999999981374,11921886.400000000372529
20150305,4144044.939999999944121,3991990.440000000409782,3831090.260000000242144,11967126.640000000596046
