訓練日期,20120807 - 20121108
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11136342.199999999254942
真實報酬,1136342.199999999254942

夏普值報酬,0.104934220000000
夏普值風險,0.040626338828638
夏普值,2.582911062761820

預期報酬,22451.580412961084221
風險,127680.598261144783464
趨勢值,0.175841754493043
找到最佳解世代,2383
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),TRV[22](4),V[25](8),
Stock#,HD[9](1),TRV[22](4),V[25](8),
張數,64102,52476,101750,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,29.000000000000000,57.479999999981374,3.000000000000000,
20120807,3358973.799999999813735,3325461.599999999627471,3317053.000000000000000,10001489.399999998509884
20120808,3383973.580000000074506,3348551.040000000037253,3336385.500000000000000,10068911.120000001043081
20120809,3407050.299999999813735,3352749.120000000111759,3269230.500000000465661,10029030.919999999925494
20120810,3401281.120000000111759,3357471.959999999962747,3283475.500000000465661,10042229.580000000074506
20120813,3385896.640000000130385,3344352.959999999962747,3264143.000000000000000,9994393.599999999627471
20120814,3507049.419999999925494,3334382.520000000018626,3303825.500000000000000,10145258.439999999478459
20120815,3525639.000000000000000,3345402.479999999981374,3283475.500000000465661,10154517.980000000447035
20120816,3609612.620000000111759,3360095.760000000242144,3298738.000000000000000,10268447.380000000819564
20120817,3636535.459999999962747,3417819.359999999869615,3273300.500000000000000,10327656.320000000298023
20120820,3626279.140000000130385,3444582.120000000111759,3260073.000000000000000,10330935.259999999776483
20120821,3610253.640000000130385,3423066.959999999962747,3243793.000000000000000,10277114.599999999627471
20120822,3630766.280000000260770,3434611.680000000167638,3259055.500000000000000,10324434.460000000894070
20120823,3624997.099999999627471,3400502.279999999795109,3234635.500000000000000,10260135.879999998956919
20120824,3651278.919999999925494,3431987.880000000353903,3222425.500000000000000,10305693.300000000745058
20120827,3632689.340000000316650,3420443.160000000149012,3247863.000000000000000,10300996.500000000000000
20120828,3623715.060000000055879,3402601.320000000298023,3240740.500000000000000,10267057.880000000819564
20120829,3643586.680000000167638,3400502.279999999795109,3257020.500000000000000,10301110.460000000894070
20120830,3629484.239999999757856,3384234.719999999739230,3223443.000000000000000,10237162.959999999031425
20120831,3637817.500000000000000,3397353.719999999739230,3262108.000000000000000,10297280.219999998807907
20120904,3640381.580000000074506,3392106.120000000111759,3269230.500000000465661,10301719.200000001117587
20120905,3624356.080000000074506,3386333.760000000242144,3245828.000000000000000,10256518.839999999850988
20120906,3695509.299999999813735,3428839.320000000298023,3294668.000000000465661,10419017.620000001043081
20120907,3670509.520000000018626,3422017.439999999478459,3299755.500000000000000,10392283.459999999031425
20120910,3673073.599999999627471,3427265.040000000037253,3273300.500000000000000,10373640.140000000596046
20120911,3635894.439999999944121,3513325.680000000167638,3344525.499999999534339,10493746.619999999180436
20120912,3657048.099999999627471,3544286.520000000484288,3395400.499999999534339,10596736.119999999180436
20120913,3737175.599999999627471,3592039.680000000167638,3433048.000000000000000,10762264.279999999329448
20120914,3811533.919999999925494,3598861.560000000055879,3414733.000000000000000,10825129.480000000447035
20120917,3776277.819999999832362,3593613.959999999962747,3405575.500000000000000,10775468.279999999329448
20120918,3773072.719999999739230,3592564.439999999478459,3400488.000000000000000,10766126.160000000149012
20120919,3812174.939999999944121,3580494.959999999962747,3428978.000000000465661,10821648.900000000372529
20120920,3799995.560000000055879,3592039.680000000167638,3423890.500000000000000,10815926.740000000223517
20120921,3808969.840000000316650,3600435.839999999850988,3434065.500000000000000,10843472.179999999701977
20120924,3807046.780000000260770,3590465.399999999906868,3402523.000000000000000,10800036.179999999701977
20120925,3828200.439999999944121,3593613.959999999962747,3422873.000000000000000,10844688.400000000372529
20120926,3792944.340000000316650,3556880.760000000242144,3370980.500000000465661,10720806.600000001490116
20120927,3838456.760000000242144,3589940.639999999664724,3406592.999999999534339,10834991.400000000372529
20120928,3869866.739999999757856,3582069.240000000223517,3415750.500000000000000,10867687.480000000447035
20121001,3882687.140000000130385,3624574.799999999813735,3477818.000000000000000,10985080.939999999478459
20121002,3867302.659999999683350,3605158.680000000167638,3459503.000000000000000,10931965.339999999850988
20121003,3959609.540000000037253,3621426.240000000223517,3523605.500000000465661,11104642.280000001192093
20121004,3957686.479999999981374,3635594.760000000242144,3553113.000000000000000,11146395.240000000223517
20121005,4051275.400000000372529,3650288.040000000037253,3568375.500000000000000,11269939.940000001341105
20121008,3966660.760000000242144,3649238.520000000484288,3528693.000000000000000,11144593.280000001192093
20121009,3907045.900000000372529,3637693.799999999813735,3478835.500000000000000,11023576.199999999254942
20121010,3829482.479999999981374,3641891.880000000353903,3495115.500000000000000,10966490.859999999403954
20121011,3782688.020000000018626,3629297.639999999664724,3536833.000000000000000,10948819.660000000149012
20121012,3817944.120000000111759,3606208.199999999720603,3538868.000000000000000,10963021.320000000298023
20121015,3887815.299999999813735,3662357.520000000484288,3558200.500000000000000,11108374.320000000298023
20121016,3901276.719999999739230,3699090.719999999739230,3590760.500000000000000,11191128.939999999478459
20121017,3935250.780000000260770,3745794.359999999869615,3626373.000000000000000,11307419.140000000596046
20121018,3961532.599999999627471,3880132.919999999925494,3609075.500000000000000,11450742.019999999552965
20121019,3967301.780000000260770,3857568.240000000223517,3560235.500000000000000,11385106.519999999552965
20121022,3976917.080000000074506,3882756.719999999739230,3535815.500000000000000,11395490.300000000745058
20121023,3958327.500000000000000,3850746.359999999869615,3475782.999999999534339,11284857.859999999403954
20121024,3928199.560000000055879,3840251.160000000149012,3471712.999999999534339,11240164.720000000670552
20121025,3876917.959999999962747,3784626.600000000093132,3499185.500000000000000,11160731.060000000521541
20121026,3848713.080000000074506,3755240.040000000037253,3518518.000000000000000,11122472.120000001043081
20121031,3934609.760000000242144,3722704.919999999925494,3529710.500000000000000,11187026.179999999701977
20121101,3991019.520000000018626,3685446.959999999962747,3659950.500000000000000,11336417.980000000447035
20121102,3975635.040000000037253,3653436.600000000093132,3647740.500000000000000,11276813.140000000596046
20121105,3998711.760000000242144,3626673.839999999850988,3599918.000000000465661,11225304.599999999627471
20121106,4014096.239999999757856,3682298.399999999906868,3659950.500000000000000,11356346.140000000596046
20121107,3973711.979999999981374,3605683.439999999478459,3626373.000000000000000,11205769.419999999925494
20121108,3901276.719999999739230,3620901.479999999981374,3614163.000000000465661,11136342.199999999254942
