訓練日期,20160705 - 20161004
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11222670.500000000000000
真實報酬,1222670.500000000000000

夏普值報酬,0.113567050000000
夏普值風險,0.031821109149489
夏普值,3.568921795481330

預期報酬,20844.322282496115804
風險,132733.024557343858760
趨勢值,0.157039458356431
找到最佳解世代,1721
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),INTC[11](4),PG[21](3),
Stock#,AAPL[0](2),INTC[11](4),PG[21](3),
張數,34762,101781,39317,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.819999999832362,5.250000000000000,37.739999999757856,
20160705,3302047.199999999720603,3326208.330000000074506,3359282.219999999739230,9987538.750000000000000
20160706,3320818.679999999701977,3355724.819999999832362,3343162.250000000000000,10019706.750000000000000
20160707,3335071.099999999627471,3379134.450000000186265,3335298.849999999627471,10049505.399999998509884
20160708,3360794.979999999981374,3460559.250000000000000,3372256.829999999608845,10193612.060000000521541
20160711,3371223.580000000074506,3499236.030000000260770,3371470.489999999757856,10241931.099999999627471
20160712,3386518.859999999869615,3556233.389999999664724,3371470.489999999757856,10314223.740000000223517
20160713,3367399.759999999776483,3563358.059999999590218,3376974.869999999646097,10307733.689999999478459
20160714,3434142.800000000279397,3582696.450000000186265,3376188.529999999795109,10393028.779999999329448
20160715,3433795.179999999701977,3569464.919999999925494,3381692.910000000149012,10384954.009999999776483
20160718,3470295.279999999795109,3567429.299999999813735,3378547.549999999813735,10416273.129999998956919
20160719,3471685.759999999776483,3577607.399999999906868,3387983.629999999888241,10437277.789999999105930
20160720,3474814.339999999385327,3632569.139999999664724,3354564.179999999701977,10461948.659999998286366
20160721,3456390.479999999981374,3488040.120000000111759,3352205.160000000149012,10296636.759999999776483
20160722,3429623.739999999757856,3527734.709999999497086,3370290.979999999515712,10327650.429999999701977
20160725,3383737.899999999906868,3530788.139999999664724,3373436.339999999850988,10287963.379999998956919
20160726,3360447.359999999869615,3571500.540000000502914,3352598.329999999608845,10284547.230000000447035
20160727,3578752.719999999739230,3545037.479999999981374,3320751.559999999590218,10444542.759999997913837
20160728,3627071.899999999906868,3538930.620000000111759,3334512.509999999776483,10500516.029999999329448
20160729,3622552.839999999385327,3548090.910000000149012,3365179.770000000018626,10535824.519999999552965
20160801,3686514.919999999925494,3547073.100000000093132,3397419.709999999497086,10631008.729999998584390
20160802,3631938.580000000074506,3517556.610000000335276,3411180.660000000149012,10560676.850000001490116
20160803,3677476.800000000279397,3486004.500000000000000,3380120.229999999515712,10543602.530000001192093
20160804,3680257.759999999776483,3519592.229999999981374,3383265.589999999850988,10583116.580000000074506
20160805,3736224.580000000074506,3560304.629999999888241,3372650.000000000000000,10669180.210000000894070
20160808,3767162.759999999776483,3566411.489999999757856,3371863.660000000149012,10705438.910000000149012
20160809,3782458.040000000037253,3554197.770000000018626,3380906.569999999366701,10717563.379999998956919
20160810,3754300.819999999832362,3514503.180000000167638,3393488.009999999776483,10662293.009999999776483
20160811,3751867.479999999981374,3529770.330000000074506,3410001.149999999906868,10691639.960000000894070
