訓練日期,20091211 - 20100317
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11143671.750000000000000
真實報酬,1143671.750000000000000

夏普值報酬,0.105667175000000
夏普值風險,0.030531812897044
夏普值,3.460887676611959

預期報酬,16568.539258314205654
風險,126196.324317048332887
趨勢值,0.131291773734141
找到最佳解世代,2142
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),MCD[15](2),PG[21](14),UNH[23](3),
Stock#,BA[2](1),MCD[15](2),PG[21](14),UNH[23](3),
張數,45446,40950,40167,82481,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,15.540000000037253,2.500000000000000,5.919999999925494,0.890000000130385,
20091211,2526813.140000000130385,2524979.500000000000000,2504016.700000000186265,2514021.770000000018626,10069831.110000001266599
20091214,2547263.839999999850988,2544635.500000000000000,2530928.589999999850988,2552787.839999999850988,10175615.769999999552965
20091215,2529994.360000000335276,2538902.500000000000000,2495179.959999999962747,2583305.810000000055879,10147382.630000000819564
20091216,2505453.520000000018626,2556101.500000000000000,2496786.639999999664724,2655889.090000000316650,10214230.750000000000000
20091217,2475459.160000000149012,2535626.500000000000000,2473891.450000000186265,2624546.310000000055879,10109523.419999999925494
20091218,2428649.779999999795109,2545864.000000000000000,2472284.770000000018626,2601451.629999999888241,10048250.179999999701977
20091221,2467733.339999999850988,2565929.500000000000000,2462243.020000000018626,2653414.660000000149012,10149320.519999999552965
20091222,2504090.140000000130385,2578624.000000000000000,2462243.020000000018626,2665786.810000000055879,10210743.970000000670552
20091223,2497727.700000000186265,2594594.500000000000000,2462644.689999999944121,2608050.110000000335276,10163017.000000000000000
20091224,2521359.620000000111759,2597051.500000000000000,2461439.680000000167638,2612998.970000000204891,10192849.770000001415610
20091228,2505907.979999999981374,2604832.000000000000000,2460234.669999999925494,2589079.479999999981374,10160054.130000000819564
20091229,2509089.200000000186265,2604013.000000000000000,2473489.779999999795109,2544539.740000000223517,10131131.720000000670552
20091230,2497727.700000000186265,2575348.000000000000000,2465054.709999999962747,2557736.700000000186265,10095867.109999999403954
20091231,2460007.520000000018626,2556920.500000000000000,2435331.129999999888241,2514021.770000000018626,9966280.919999999925494
20100104,2553171.819999999832362,2570843.500000000000000,2455012.959999999962747,2600626.820000000298023,10179655.100000001490116
20100105,2636792.459999999962747,2551187.500000000000000,2455816.299999999813735,2596502.770000000018626,10240299.029999999329448
20100106,2716777.419999999925494,2516380.000000000000000,2444167.870000000111759,2622071.879999999888241,10299397.169999999925494
20100107,2826756.740000000223517,2534807.500000000000000,2430912.760000000242144,2722698.700000000186265,10515175.699999999254942
20100108,2799489.140000000130385,2532350.500000000000000,2427699.399999999906868,2697129.590000000316650,10456668.630000000819564
20100111,2766313.560000000055879,2552006.500000000000000,2418059.319999999832362,2715275.410000000149012,10451654.790000000968575
20100112,2746317.319999999832362,2565929.500000000000000,2445774.549999999813735,2643516.939999999944121,10401538.310000000521541
20100113,2779492.899999999906868,2563063.000000000000000,2471079.760000000242144,2683932.629999999888241,10497568.289999999105930
20100114,2797671.300000000279397,2565520.000000000000000,2473489.779999999795109,2748267.810000000055879,10584948.890000000596046
20100115,2764041.260000000242144,2550368.500000000000000,2442962.859999999869615,2783734.640000000130385,10541107.259999999776483
20100119,2756315.439999999944121,2599508.500000000000000,2479113.159999999683350,2897558.420000000391155,10732495.519999999552965
20100120,2735864.740000000223517,2580262.000000000000000,2428101.069999999832362,2849719.439999999944121,10593947.250000000000000
20100121,2690418.740000000223517,2588042.500000000000000,2403599.200000000186265,2730121.990000000223517,10412182.429999999701977
20100122,2625430.959999999962747,2595823.000000000000000,2422477.689999999944121,2735070.849999999627471,10378802.500000000000000
20100125,2625885.419999999925494,2583538.000000000000000,2435331.129999999888241,2721873.890000000130385,10366628.439999999478459
20100126,2622704.200000000186265,2613022.000000000000000,2437741.149999999906868,2675684.529999999795109,10349151.879999998956919
20100127,2814486.319999999832362,2609746.000000000000000,2442561.189999999944121,2741669.330000000074506,10608462.839999999850988
20100128,2843117.300000000279397,2572891.000000000000000,2477506.479999999981374,2757340.720000000204891,10650855.500000001862645
20100129,2754043.140000000130385,2556511.000000000000000,2472284.770000000018626,2721873.890000000130385,10504712.800000000745058
20100201,2804033.740000000223517,2616298.000000000000000,2489958.250000000000000,2732596.420000000391155,10642886.410000000149012
20100202,2814940.779999999795109,2622031.000000000000000,2526510.219999999739230,2808478.939999999944121,10771960.939999999478459
20100203,2793126.700000000186265,2670351.999999999534339,2516468.469999999739230,2748267.810000000055879,10728214.979999998584390
20100204,2695872.260000000242144,2623259.500000000000000,2466259.719999999739230,2677334.150000000372529,10462725.629999998956919
20100205,2654061.939999999944121,2595004.000000000000000,2462243.020000000018626,2683932.629999999888241,10395241.589999999850988
20100208,2630884.479999999981374,2576576.500000000000000,2450594.589999999850988,2673210.099999999627471,10331265.669999999925494
