訓練日期,20140711 - 20141010
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11126718.019999999552965
真實報酬,1126718.019999999552965

夏普值報酬,0.103971802000000
夏普值風險,0.039488392624276
夏普值,2.632971237631044

預期報酬,22717.843776010253350
風險,137870.946737110440154
趨勢值,0.164776149824576
找到最佳解世代,2023
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](2),HD[9](1),MSFT[18](3),NKE[19](7),
Stock#,GS[8](2),HD[9](1),MSFT[18](3),NKE[19](7),
張數,15298,31486,59966,64516,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.840000000316650,11.599999999627471,17.459999999962747,5.000000000000000,
20140711,2521111.240000000689179,2506612.059999999590218,2523986.400000000372529,2493548.399999999906868,10045258.100000001490116
20140714,2554766.840000000316650,2501889.159999999217689,2526984.700000000186265,2514838.679999999701977,10098479.379999998956919
20140715,2587963.500000000000000,2514483.559999999590218,2545574.160000000149012,2517419.320000000298023,10165440.539999999105930
20140716,2607850.900000000372529,2508186.359999999403954,2643318.739999999757856,2481290.359999999869615,10240646.359999999403954
20140717,2602802.560000000055879,2504722.899999999441206,2670303.439999999944121,2469032.320000000298023,10246861.219999998807907
20140718,2623148.900000000372529,2521410.479999999515712,2679898.000000000000000,2500645.159999999683350,10325102.539999999105930
20140721,2626973.400000000372529,2509760.659999999217689,2688892.900000000372529,2478064.559999999590218,10303691.519999999552965
20140722,2677456.800000000279397,2535894.040000000037253,2688293.239999999757856,2485161.320000000298023,10386805.400000000372529
20140723,2704993.200000000186265,2551007.319999999366701,2690691.879999999888241,2496129.040000000037253,10442821.439999999478459
20140724,2696426.320000000298023,2556674.799999999813735,2662507.859999999869615,2535483.799999999813735,10451092.780000001192093
20140725,2683270.040000000502914,2551322.179999999701977,2668504.459999999962747,2507096.759999999776483,10410193.440000001341105
20140728,2691683.939999999944121,2552581.619999999180436,2636722.479999999981374,2529032.200000000186265,10410020.239999998360872
20140729,2685411.760000000242144,2549747.879999999888241,2631925.200000000186265,2519354.799999999813735,10386439.640000000596046
20140730,2688777.320000000298023,2574306.959999999962747,2613335.739999999757856,2568386.959999999962747,10444806.980000000447035
20140731,2644566.100000000558794,2545654.699999999254942,2588150.019999999552965,2488387.120000000111759,10266757.939999999478459
20140801,2604485.340000000316650,2511020.099999999627471,2570160.219999999739230,2476774.240000000223517,10162439.899999998509884
20140804,2626514.460000000428408,2519836.179999999701977,2600742.879999999888241,2489032.279999999795109,10236125.800000000745058
20140805,2591788.000000000000000,2519836.179999999701977,2583352.739999999757856,2481290.359999999869615,10176267.279999999329448
20140806,2596683.360000000335276,2535264.319999999366701,2562964.300000000279397,2488387.120000000111759,10183299.100000001490116
20140807,2586892.640000000130385,2533690.019999999552965,2592347.639999999664724,2462580.720000000204891,10175511.019999999552965
20140808,2635234.320000000298023,2595402.580000000074506,2590548.660000000149012,2485806.479999999981374,10306992.040000000968575
20140811,2638293.920000000391155,2609571.279999999329448,2590548.660000000149012,2485806.479999999981374,10324220.339999999850988
20140812,2636305.180000000633299,2610830.719999999739230,2609737.780000000260770,2475483.919999999925494,10332357.600000001490116
20140813,2636917.100000000558794,2617127.919999999925494,2643318.739999999757856,2492258.080000000074506,10389621.839999999850988
20140814,2642424.380000000353903,2640427.559999999590218,2654712.280000000260770,2493548.399999999906868,10431112.619999999180436
20140815,2629727.040000000502914,2635074.939999999478459,2685894.600000000093132,2488387.120000000111759,10439083.699999999254942
20140818,2670266.740000000689179,2631926.339999999850988,2705083.719999999739230,2534193.479999999981374,10541470.279999999329448
20140819,2661240.920000000391155,2778021.379999999888241,2718276.239999999757856,2532903.159999999683350,10690441.700000001117587
20140820,2662311.780000000260770,2857366.099999999627471,2695489.160000000149012,2545806.359999999869615,10760973.400000000372529
20140821,2679445.540000000502914,2869960.500000000000000,2711679.979999999981374,2546451.520000000018626,10807537.540000000968575
20140822,2684340.900000000372529,2866182.179999999701977,2707482.359999999869615,2558064.399999999906868,10816069.839999999850988
20140825,2721056.100000000558794,2871534.799999999813735,2708681.680000000167638,2581290.159999999683350,10882562.740000000223517
20140826,2721515.040000000502914,2885073.779999999329448,2699087.119999999646097,2563870.840000000316650,10869546.779999999329448
20140827,2720138.220000000204891,2892630.419999999925494,2690691.879999999888241,2571612.759999999776483,10875073.280000001192093
20140828,2717690.540000000502914,2912781.459999999962747,2691291.540000000037253,2542580.559999999590218,10864344.099999999627471
20140829,2740025.620000000577420,2943952.599999999627471,2724272.839999999850988,2534193.479999999981374,10942444.540000000968575
20140902,2750122.300000000279397,2869960.500000000000000,2703884.400000000372529,2557419.240000000223517,10881386.440000001341105
20140903,2747521.640000000130385,2802265.599999999627471,2696088.819999999832362,2542580.559999999590218,10788456.620000001043081
20140904,2754864.680000000633299,2831547.580000000074506,2714078.619999999646097,2578064.359999999869615,10878555.240000000223517
20140905,2749816.340000000316650,2884444.059999999590218,2753056.519999999552965,2646451.320000000298023,11033768.240000000223517
20140908,2755323.620000000577420,2859570.119999999180436,2786637.479999999981374,2658064.200000000186265,11059595.420000001788139
20140909,2713866.040000000502914,2800061.580000000074506,2804027.619999999646097,2639999.720000000204891,10957954.960000000894070
20140910,2751652.100000000558794,2810137.099999999627471,2808824.900000000372529,2660644.840000000316650,11031258.940000001341105
20140911,2768938.840000000316650,2809192.519999999552965,2818419.459999999962747,2639354.559999999590218,11035905.379999998956919
20140912,2802135.500000000000000,2797227.839999999850988,2800429.660000000149012,2639999.720000000204891,11039792.720000000670552
20140915,2814526.880000000353903,2814230.279999999329448,2772845.300000000279397,2632902.959999999962747,11034505.420000001788139
20140916,2815444.760000000242144,2842252.819999999366701,2804027.619999999646097,2619354.600000000093132,11081079.799999998882413
20140917,2827377.200000000186265,2872164.519999999552965,2789635.780000000260770,2629677.159999999683350,11118854.660000000149012
20140918,2874342.060000000055879,2899557.339999999850988,2799230.339999999850988,2644515.840000000316650,11217645.580000000074506
20140919,2848488.439999999944121,2907428.839999999850988,2849601.780000000260770,2639354.559999999590218,11244873.619999997317791
20140922,2834567.260000000242144,2893260.139999999664724,2822017.419999999925494,2603225.600000000093132,11153070.419999999925494
20140923,2831507.660000000149012,2880665.739999999292195,2792034.419999999925494,2584515.959999999962747,11088723.780000001192093
20140924,2873118.220000000204891,2928839.319999999366701,2823216.739999999757856,2607741.720000000204891,11232916.000000000000000
20140925,2816209.660000000149012,2893575.000000000000000,2760852.100000000093132,2572903.080000000074506,11043539.839999999850988
20140926,2831966.600000000558794,2923171.839999999850988,2783039.519999999552965,2887096.000000000000000,11425273.960000000894070
20140929,2812232.180000000633299,2924431.279999999329448,2784838.500000000000000,2874837.959999999962747,11396339.920000001788139
20140930,2808254.700000000186265,2888537.239999999292195,2780041.219999999739230,2877418.600000000093132,11354251.759999999776483
20141001,2764349.439999999944121,2865867.319999999366701,2752456.859999999869615,2829031.600000000093132,11211705.219999998807907
20141002,2797699.080000000074506,2904280.239999999292195,2744061.619999999646097,2880644.399999999906868,11326685.339999999850988
20141003,2877095.700000000186265,2945212.040000000037253,2763850.400000000372529,2912902.399999999906868,11499060.540000000968575
20141006,2868069.880000000353903,2936395.959999999962747,2763850.400000000372529,2878063.759999999776483,11446380.000000000000000
20141007,2811773.240000000689179,2911522.019999999552965,2730269.439999999944121,2841289.640000000130385,11294854.339999999850988
20141008,2855219.560000000055879,2962529.339999999850988,2805226.939999999944121,2865805.720000000204891,11488781.560000000521541
20141009,2773069.300000000279397,2930413.619999999180436,2749458.560000000055879,2814192.919999999925494,11267134.400000000372529
20141010,2759454.080000000074506,2914040.899999999441206,2640320.439999999944121,2812902.600000000093132,11126718.019999999552965
