訓練日期,20131004 - 20140107
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11453113.490000000223517
真實報酬,1453113.490000000223517

夏普值報酬,0.136611349000000
夏普值風險,0.042919908828064
夏普值,3.182936607513821

預期報酬,24999.153858858699095
風險,80230.656191616726574
趨勢值,0.311591043193672
找到最佳解世代,2425
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,3
AAPL[0](7),GS[8](2),XOM[29](1),
20131220,3785594.790000000502914,3722438.810000000055879,3847168.480000000447035,11355203.080000001937151
20131223,3930878.459999999962747,3750277.620000000111759,3840540.860000000335276,11521697.940000001341105
20131224,3914467.679999999701977,3743689.810000000055879,3868220.919999999925494,11526379.410000000149012
20131226,3888403.500000000000000,3749852.599999999627471,3933717.400000000372529,11571974.500000000000000
20131227,3861856.650000000372529,3747727.500000000000000,3957498.860000000335276,11567084.010000001639128
20131230,3823725.719999999739230,3734551.879999999888241,3910715.660000000149012,11468994.259999999776483
20131231,3868614.030000000260770,3767065.909999999683350,3945413.200000000186265,11581094.140000000596046
20140102,3814072.319999999832362,3759203.039999999571592,3888883.500000000000000,11462159.859999999403954
20140103,3730087.740000000223517,3785979.299999999813735,3879526.860000000335276,11395594.900000000372529
20140106,3750359.879999999888241,3811905.520000000018626,3885374.759999999776483,11447641.160000000149012
20140107,3723813.030000000260770,3788954.439999999944121,3940345.019999999552965,11453113.490000000223517
