訓練日期,20131218 - 20140324
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11556365.940000001341105
真實報酬,1556365.940000001341105

夏普值報酬,0.146936594000000
夏普值風險,0.049765008635356
夏普值,2.952608630627390

預期報酬,30530.422539689319819
風險,171514.230419515661197
趨勢值,0.178005186304445
找到最佳解世代,2057
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DD[7](2),MRK[17](1),
Stock#,DD[7](2),MRK[17](1),
張數,83194,104384,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,40.599999999627471,6.400000000372529,
20131218,5154740.839999999850988,5104384.000000000000000,10259124.839999999850988
20131219,5201329.479999999515712,5092901.760000000707805,10294231.240000000223517
20131220,5187186.500000000000000,5148225.280000000260770,10335411.780000001192093
20131223,5198833.660000000149012,5152400.640000000596046,10351234.300000000745058
20131224,5262893.039999999105930,5157619.839999999850988,10420512.879999998956919
20131226,5314473.320000000298023,5189978.879999999888241,10504452.199999999254942
20131227,5283691.539999999105930,5197285.760000000707805,10480977.300000000745058
20131230,5283691.539999999105930,5212943.360000000335276,10496634.899999998509884
20131231,5260397.219999999739230,5224425.599999999627471,10484822.820000000298023
20140102,5197169.779999999329448,5165970.560000000521541,10363140.339999999850988
20140103,5173875.459999999031425,5191022.719999999739230,10364898.179999999701977
20140106,5164724.119999999180436,5192066.560000000521541,10356790.679999999701977
20140107,5107320.259999999776483,5230688.640000000596046,10338008.900000000372529
20140108,5113143.839999999850988,5197285.760000000707805,10310429.600000001490116
20140109,5047420.580000000074506,5169102.080000001005828,10216522.660000000149012
20140110,5059899.679999999701977,5206680.320000000298023,10266580.000000000000000
20140113,4963394.639999999664724,5544884.480000000447035,10508279.120000001043081
20140114,5053244.160000000149012,5532358.400000000372529,10585602.560000000521541
20140115,5100664.740000000223517,5482254.080000001005828,10582918.820000000298023
20140116,5104824.439999999478459,5480166.400000000372529,10584990.839999999850988
20140117,5103160.559999999590218,5422755.200000001117587,10525915.760000001639128
20140121,5441760.139999999664724,5410229.120000000111759,10851989.259999999776483
20140122,5411810.299999999813735,5360124.800000000745058,10771935.100000001490116
20140123,5298666.459999999031425,5386220.800000000745058,10684887.259999999776483
20140124,5143093.679999999701977,5425886.719999999739230,10568980.399999998509884
20140127,5106488.320000000298023,5483297.920000000856817,10589786.240000002086163
20140128,5101496.679999999701977,5518788.480000000447035,10620285.160000000149012
20140129,5299498.399999999441206,5449895.040000000037253,10749393.439999999478459
20140130,5368549.419999999925494,5585594.240000000223517,10954143.660000000149012
20140131,5391843.740000000223517,5529226.879999999888241,10921070.620000001043081
20140203,5294506.759999999776483,5436325.120000000111759,10730831.879999998956919
20140204,5326952.419999999925494,5585594.240000000223517,10912546.660000000149012
20140205,5313641.379999998956919,5587681.920000000856817,10901323.300000000745058
20140206,5400995.080000000074506,5612734.080000001005828,11013729.160000000149012
20140207,5402658.959999999031425,5717118.080000001005828,11119777.039999999105930
20140210,5430944.919999999925494,5729644.160000000149012,11160589.080000000074506
20140211,5549080.399999999441206,5814195.200000001117587,11363275.600000001490116
20140212,5494172.360000000335276,5741126.400000000372529,11235298.760000001639128
20140213,5485852.959999999031425,5751564.800000000745058,11237417.759999999776483
20140214,5534105.479999999515712,5787055.360000000335276,11321160.839999999850988
20140218,5542424.879999999888241,5813151.360000000335276,11355576.240000000223517
20140219,5501659.819999999366701,5745301.760000000707805,11246961.580000000074506
20140220,5584853.819999999366701,5825677.440000000409782,11410531.259999999776483
20140221,5564055.319999999366701,5848641.920000000856817,11412697.240000000223517
20140224,5562391.439999999478459,5864299.520000000484288,11426690.960000000894070
20140225,5594837.099999999627471,5836115.839999999850988,11430952.939999999478459
20140226,5666383.939999999478459,5873694.080000001005828,11540078.019999999552965
20140227,5747082.119999999180436,5914403.839999999850988,11661485.959999999031425
20140228,5771208.379999999888241,5948850.560000000521541,11720058.940000001341105
20140303,5738762.719999999739230,5889351.680000000633299,11628114.400000000372529
20140304,5860225.959999999031425,5956157.440000000409782,11816383.399999998509884
20140305,5913470.119999999180436,5937368.320000000298023,11850838.439999999478459
20140306,5897663.259999999776483,5977034.240000000223517,11874697.500000000000000
20140307,5866049.540000000037253,5998954.879999999888241,11865004.419999999925494
20140310,5903486.839999998919666,5983297.280000000260770,11886784.119999999180436
20140311,5836099.700000000186265,5917535.360000000335276,11753635.060000000521541
20140312,5808645.679999998770654,5930061.440000000409782,11738707.119999999180436
20140313,5774536.139999999664724,5823589.760000000707805,11598125.900000000372529
20140314,5763720.919999999925494,5814195.200000001117587,11577916.120000001043081
20140317,5805317.919999999925494,5872650.240000000223517,11677968.160000000149012
20140318,5884352.219999999739230,5883088.640000000596046,11767440.859999999403954
20140319,5877696.700000000186265,5844466.560000000521541,11722163.260000001639128
20140320,5952571.299999999813735,5802712.960000000894070,11755284.260000001639128
20140321,5948411.599999999627471,5705635.839999999850988,11654047.439999999478459
20140324,5942588.020000000484288,5613777.920000000856817,11556365.940000001341105
