訓練日期,20140502 - 20140804
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11344585.699999999254942
真實報酬,1344585.699999999254942

夏普值報酬,0.125758570000000
夏普值風險,0.042866081556252
夏普值,2.933754741145874

預期報酬,23725.216581647353451
風險,88997.513918449491030
趨勢值,0.266582913803495
找到最佳解世代,1511
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),CSCO[4](3),DIS[6](4),INTC[11](5),VZ[26](7),
Stock#,AAPL[0](1),CSCO[4](3),DIS[6](4),INTC[11](5),VZ[26](7),
張數,23668,86918,25138,75614,42354,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,54.000000000000000,16.819999999832362,20.719999999972060,9.699999999953434,44.120000000111759,
20140502,2003550.200000000186265,1993915.739999999990687,2018853.500000000000000,1996975.439999999944121,1995764.600000000093132,10009059.480000000447035
20140505,2031951.799999999813735,1995654.099999999860302,2041729.079999999841675,1978828.080000000074506,2007200.180000000167638,10055363.240000000223517
20140506,2009940.560000000055879,1974793.779999999795109,2036952.860000000102445,1981096.500000000000000,2010588.500000000000000,10013372.199999999254942
20140507,2002840.160000000149012,1987831.479999999981374,2018350.740000000223517,1993950.880000000121072,2037271.520000000251457,10040244.780000001192093
20140508,1988166.000000000000000,2000869.179999999701977,2051281.519999999785796,1991682.459999999962747,2053789.580000000307336,10085788.740000000223517
20140509,1979882.200000000186265,2000869.179999999701977,2060079.820000000065193,1988657.899999999906868,2053366.040000000037253,10082855.140000000596046
20140512,2004496.919999999925494,2015645.239999999990687,2071894.679999999934807,1993950.880000000121072,2039812.760000000009313,10125800.480000000447035
20140513,2007573.759999999776483,1986962.299999999813735,2063347.760000000009313,2000000.000000000000000,2026683.020000000251457,10084566.839999999850988
20140514,2008047.120000000111759,1982616.399999999674037,2034187.679999999934807,1990926.319999999832362,2033459.659999999916181,10049237.179999999701977
20140515,1991006.160000000149012,2101694.059999999590218,2014831.420000000158325,1966729.840000000083819,2031341.960000000195578,10105603.439999999478459
20140516,2020354.479999999981374,2118208.479999999981374,2020864.540000000037253,1952363.179999999934807,2078354.900000000139698,10190145.580000000074506
20140519,2044259.160000000149012,2116470.120000000111759,2037455.619999999878928,1968998.259999999776483,2081743.219999999972060,10248926.380000000819564
20140520,2044732.520000000018626,2096478.979999999981374,2038461.140000000130385,1968998.259999999776483,2060566.219999999972060,10209237.120000001043081
20140521,2050176.160000000149012,2127769.459999999962747,2066112.939999999944121,1981096.500000000000000,2082590.300000000279397,10307745.360000001266599
20140522,2053253.000000000000000,2119077.659999999683350,2070135.019999999785796,1977315.799999999813735,2094449.420000000158325,10314230.900000000372529
20140523,2076447.640000000130385,2131246.179999999701977,2094518.879999999888241,1987901.759999999776483,2106732.080000000074506,10396846.539999999105930
20140527,2115499.839999999850988,2147760.600000000093132,2105076.839999999850988,2019659.640000000130385,2101649.600000000093132,10489646.519999999552965
20140528,2109819.520000000018626,2157321.580000000074506,2101557.519999999552965,2032514.019999999785796,2106732.080000000074506,10507944.719999998807907
20140529,2148398.359999999869615,2145153.059999999590218,2112366.860000000335276,2038563.140000000130385,2105885.000000000000000,10550366.419999999925494
20140530,2140351.240000000223517,2139937.979999999981374,2111864.100000000558794,2065784.179999999934807,2116049.959999999962747,10573987.460000000894070
20140602,2125677.080000000074506,2153844.859999999869615,2118399.979999999515712,2061247.340000000083819,2119861.819999999832362,10579031.080000000074506
20140603,2155735.439999999944121,2145153.059999999590218,2108596.160000000149012,2091492.939999999944121,2087672.780000000027940,10588650.379999998956919
20140604,2180350.160000000149012,2129507.819999999832362,2117645.839999999850988,2086956.100000000093132,2081743.219999999972060,10596203.140000000596046
20140605,2188870.640000000130385,2146891.419999999925494,2131220.360000000335276,2091492.939999999944121,2087249.240000000223517,10645724.600000001490116
20140606,2182716.959999999962747,2158190.759999999776483,2126946.900000000372529,2130056.080000000074506,2093178.800000000279397,10691089.500000000000000
20140609,2217745.600000000093132,2155583.219999999739230,2148816.959999999962747,2110396.440000000409782,2099531.899999999906868,10732074.120000001043081
20140610,2230763.000000000000000,2172966.819999999832362,2130466.219999999739230,2135349.059999999590218,2097414.200000000186265,10766959.300000000745058
20140611,2221532.479999999981374,2176443.539999999571592,2119405.500000000000000,2111908.719999999739230,2091061.100000000093132,10720351.339999997988343
20140612,2184373.720000000204891,2143414.699999999720603,2081447.119999999878928,2114177.139999999664724,2077084.280000000027940,10600496.959999999031425
20140613,2160469.040000000037253,2146891.419999999925494,2081447.119999999878928,2258599.879999999888241,2083013.840000000083819,10730421.300000000745058
20140616,2182243.600000000093132,2132115.359999999869615,2094016.119999999878928,2269185.839999999850988,2088519.860000000102445,10766080.779999999329448
20140617,2179403.439999999944121,2129507.819999999832362,2090496.799999999813735,2264649.000000000000000,2084284.460000000195578,10748341.519999999552965
20140618,2181770.240000000223517,2140807.159999999683350,2101054.759999999776483,2263136.719999999739230,2093178.800000000279397,10779947.679999999701977
20140619,2174196.479999999981374,2147760.600000000093132,2105830.979999999515712,2275234.959999999962747,2095296.500000000000000,10798319.519999999552965
20140620,2151711.879999999888241,2158190.759999999776483,2081949.879999999888241,2283552.500000000000000,2091908.180000000167638,10767313.199999999254942
20140623,2149818.439999999944121,2146891.419999999925494,2080441.600000000093132,2285820.919999999925494,2106308.540000000037253,10769280.919999998062849
20140624,2136801.040000000037253,2132115.359999999869615,2078430.560000000055879,2306236.700000000186265,2087249.240000000223517,10740832.900000000372529
20140625,2138694.479999999981374,2148629.779999999795109,2109098.919999999925494,2334970.019999999552965,2092755.260000000009313,10824148.459999999031425
20140626,2151475.200000000186265,2142545.519999999552965,2122924.820000000298023,2327408.620000000111759,2084284.460000000195578,10828638.620000001043081
20140627,2177036.640000000130385,2146891.419999999925494,2144292.120000000111759,2338750.719999999739230,2088943.400000000139698,10895914.300000000745058
20140630,2199521.240000000223517,2159929.120000000111759,2155352.839999999850988,2336482.299999999813735,2072425.340000000083819,10923710.839999999850988
20140701,2213485.359999999869615,2179920.259999999776483,2173703.580000000074506,2342531.419999999925494,2091061.100000000093132,11000701.719999998807907
20140702,2212538.640000000130385,2175574.359999999869615,2172949.439999999478459,2342531.419999999925494,2103343.759999999776483,11006937.619999999180436
20140703,2225556.040000000037253,2189481.239999999757856,2183004.639999999664724,2354629.660000000149012,2105461.459999999962747,11058133.039999999105930
20140707,2271471.959999999962747,2192957.959999999962747,2176720.139999999664724,2346312.120000000111759,2107155.620000000111759,11094617.800000000745058
