訓練日期,20170421 - 20170724
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10809887.779999999329448
真實報酬,809887.779999999329448

夏普值報酬,0.072288778000000
夏普值風險,0.023889916991595
夏普值,3.025911644039302

預期報酬,13403.706786846731120
風險,46887.773416816642566
趨勢值,0.285867845924187
找到最佳解世代,4033
找到最佳解實驗#,3
找到最佳解次數,19

stock[index](rank)
投資組合檔數,6
BA[2](3),JNJ[12](2),KO[14](11),MCD[15](5),NKE[19](26),XOM[29](20),
Stock#,BA[2](3),JNJ[12](2),KO[14](11),MCD[15](5),NKE[19](26),XOM[29](20),
張數,9295,13675,38678,12505,29550,20573,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,72.500000000000000,93.750000000000000,30.979999999981374,124.649999999906868,46.000000000000000,47.269999999785796,
20170421,1676704.599999999860302,1665161.750000000000000,1665892.439999999944121,1668416.699999999953434,1650413.500000000000000,1660082.639999999664724,9986675.629999998956919
20170424,1692320.199999999953434,1680614.500000000000000,1674014.820000000065193,1678670.799999999813735,1639184.500000000000000,1668723.299999999813735,10033532.120000001043081
20170425,1705797.949999999953434,1687999.000000000000000,1667439.560000000055879,1772083.149999999674037,1638593.500000000000000,1681478.559999999823049,10153395.720000000670552
20170426,1689066.950000000186265,1689093.000000000000000,1672467.699999999953434,1761328.849999999860302,1630024.000000000000000,1674689.469999999972060,10116673.970000000670552
20170427,1703102.399999999906868,1692238.250000000000000,1663571.760000000009313,1761704.000000000000000,1639184.500000000000000,1671809.250000000000000,10131614.160000000149012
20170428,1718067.350000000093132,1688546.000000000000000,1668986.679999999934807,1749949.300000000046566,1637411.500000000000000,1679832.719999999972060,10142797.550000000745058
20170501,1695387.549999999813735,1686768.250000000000000,1671694.139999999897555,1765205.399999999906868,1625000.500000000000000,1688267.649999999906868,10132327.490000000223517
20170502,1705147.300000000046566,1691691.250000000000000,1678269.399999999906868,1766205.799999999813735,1627364.500000000000000,1688061.919999999692664,10156744.169999999925494
20170503,1704682.549999999813735,1686631.500000000000000,1675561.939999999944121,1783587.750000000000000,1611407.500000000000000,1701434.369999999878928,10163309.609999999403954
20170504,1701708.149999999906868,1695110.000000000000000,1688712.459999999962747,1793966.899999999674037,1609634.500000000000000,1679626.989999999757856,10168762.999999998137355
20170505,1719740.449999999953434,1689093.000000000000000,1689872.799999999813735,1800344.449999999953434,1594268.500000000000000,1687444.729999999748543,10180767.929999999701977
20170508,1729128.400000000139698,1685537.500000000000000,1697608.399999999906868,1803845.850000000093132,1604611.000000000000000,1705343.239999999757856,10226078.390000000596046
20170509,1737400.949999999953434,1684990.500000000000000,1682910.760000000009313,1805346.450000000186265,1622045.500000000000000,1693410.899999999906868,10226109.060000000521541
20170510,1702730.600000000093132,1679520.500000000000000,1685231.439999999944121,1807347.250000000000000,1612294.000000000000000,1685181.699999999720603,10172309.489999998360872
