訓練日期,20120103 - 20120404
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11924876.070000000298023
真實報酬,1924876.070000000298023

夏普值報酬,0.183787607000000
夏普值風險,0.053242299393661
夏普值,3.451909648776026

預期報酬,31465.192375273582002
風險,69359.528239365361515
趨勢值,0.453653494681865
找到最佳解世代,2034
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,9
AAPL[0](2),GS[8](8),HD[9](1),IBM[10](6),KO[14](25),NKE[19](7),PFE[20](24),UNH[23](14),V[25](11),
Stock#,AAPL[0](2),GS[8](8),HD[9](1),IBM[10](6),KO[14](25),NKE[19](7),PFE[20](24),UNH[23](14),V[25](11),
張數,19203,12286,26429,6042,31755,46123,51345,21924,43778,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,25.419999999925494,88.020000000018626,35.840000000083819,108.040000000037253,3.550000000046566,7.929999999934807,5.199999999953434,2.679999999934807,25.360000000102445,
20120103,1128201.669999999925494,1171680.979999999981374,1113753.900000000139698,1125732.640000000130385,1113651.400000000139698,1116184.529999999795109,1128054.849999999860302,1128869.439999999944121,1127308.860000000102445,10153439.269999997690320
20120104,1134154.599999999860302,1164063.659999999916181,1129611.300000000046566,1121140.719999999972060,1106665.300000000046566,1132788.809999999823049,1117785.849999999860302,1145312.439999999944121,1107170.979999999981374,10158694.659999998286366
20120105,1146828.579999999841675,1162097.899999999906868,1138861.450000000186265,1115823.760000000009313,1101584.500000000000000,1131866.349999999860302,1109057.199999999953434,1152985.840000000083819,1115488.800000000046566,10174595.380000000819564
20120106,1158734.439999999944121,1147846.140000000130385,1141768.640000000130385,1103014.719999999972060,1094598.399999999906868,1130021.429999999934807,1107516.849999999860302,1157151.399999999906868,1102355.400000000139698,10143008.419999999925494
20120109,1157006.169999999925494,1163449.360000000102445,1142561.510000000009313,1097274.820000000065193,1094598.399999999906868,1134172.500000000000000,1120353.099999999860302,1155835.959999999962747,1093599.800000000046566,10158852.620000001043081
20120110,1161038.800000000046566,1208170.399999999906868,1150490.210000000195578,1095583.060000000055879,1100949.400000000139698,1135556.189999999944121,1126514.500000000000000,1153643.559999999823049,1092286.459999999962747,10224233.580000001937151
