訓練日期,20110118 - 20110419
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10963708.190000001341105
真實報酬,963708.190000001341105

夏普值報酬,0.087670819000000
夏普值風險,0.030814375974697
夏普值,2.845127192320599

預期報酬,17223.061925692618388
風險,94973.012373180041322
趨勢值,0.181346905771690
找到最佳解世代,2272
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](2),MCD[15](15),PFE[20](1),
Stock#,CVX[5](2),MCD[15](15),PFE[20](1),
張數,35907,45008,181752,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,86.189999999944121,40.520000000018626,1.319999999832362,
20110118,3352004.639999999664724,3361237.960000000428408,3340603.079999999608845,10053846.679999999701977
20110119,3338359.979999999981374,3391393.319999999832362,3329697.959999999962747,10059452.259999999776483
20110120,3329024.159999999683350,3382841.799999999813735,3315157.799999999348074,10027024.759999997913837
20110121,3367444.649999999906868,3376090.600000000093132,3336968.039999999571592,10080504.289999999105930
20110124,3378934.889999999664724,3392743.559999999590218,3353325.719999999739230,10125005.169999998062849
20110125,3378216.750000000000000,3397244.360000000335276,3356960.759999999776483,10132422.870000001043081
20110126,3398324.669999999925494,3383291.879999999888241,3336968.039999999571592,10118585.589999999850988
20110127,3402274.439999999944121,3346385.319999999832362,3358778.279999999795109,10107439.039999999105930
20110128,3352722.780000000260770,3298226.760000000242144,3298800.119999999646097,9949750.660000000149012
20110131,3408737.700000000186265,3315779.879999999888241,3311522.759999999776483,10036041.339999999850988
20110201,3455057.729999999981374,3306778.279999999795109,3493274.759999999776483,10255111.769999999552965
20110202,3464393.550000000279397,3314429.640000000130385,3446019.239999999757856,10224843.429999999701977
20110203,3494196.359999999869615,3322981.160000000149012,3484187.160000000149012,10301365.679999999701977
20110204,3487014.959999999962747,3332882.919999999925494,3507814.919999999925494,10327713.800000000745058
20110207,3506763.809999999590218,3305878.120000000111759,3460559.399999999906868,10273202.330000000074506
20110208,3509636.369999999646097,3391843.399999999906868,3482369.639999999664724,10383850.410000000149012
20110209,3455775.869999999646097,3417497.960000000428408,3462376.919999999925494,10335651.750000000000000
20110210,3472293.089999999850988,3409846.600000000093132,3458741.879999999888241,10340882.570000000298023
20110211,3463316.339999999850988,3426949.640000000130385,3422391.479999999515712,10312658.460000000894070
20110214,3481269.839999999850988,3431450.439999999944121,3462376.919999999925494,10375098.199999999254942
20110215,3459366.570000000298023,3427399.720000000204891,3462376.919999999925494,10349144.210000000894070
20110216,3470856.809999999590218,3421548.679999999701977,3504179.879999999888241,10396586.369999999180436
20110217,3489169.379999999888241,3419748.360000000335276,3520537.560000000055879,10429456.300000000745058
20110218,3544825.229999999981374,3426499.559999999590218,3487822.200000000186265,10459147.989999998360872
20110222,3602276.429999999701977,3407146.120000000111759,3433296.600000000093132,10442720.150000000372529
20110223,3672295.079999999608845,3384192.040000000037253,3409668.840000000316650,10466156.959999999031425
20110224,3663677.399999999906868,3385092.199999999720603,3435114.119999999646097,10483884.719999998807907
20110225,3666190.889999999664724,3350436.040000000037253,3427844.039999999571592,10444471.969999998807907
20110228,3725437.439999999944121,3406245.960000000428408,3496909.799999999348074,10628594.199999999254942
20110301,3694916.490000000223517,3370689.640000000130385,3478734.600000000093132,10544341.730000000447035
20110302,3715383.479999999981374,3361688.040000000037253,3487822.200000000186265,10564894.719999998807907
20110303,3741236.520000000018626,3431450.439999999944121,3593238.359999999869615,10765926.320000000298023
20110304,3725437.439999999944121,3421998.760000000242144,3573245.639999999664724,10720682.839999999850988
20110307,3698866.260000000242144,3433700.840000000316650,3564158.039999999571592,10696726.140000000596046
20110308,3726155.579999999608845,3399944.840000000316650,3576880.679999999701977,10702982.099999999627471
20110309,3667627.169999999925494,3410746.760000000242144,3573245.639999999664724,10651620.570000000298023
20110310,3557751.750000000000000,3451253.960000000428408,3518720.039999999571592,10527726.750000000000000
20110311,3588272.700000000186265,3453504.360000000335276,3538712.759999999776483,10580490.820000000298023
20110314,3619511.790000000037253,3405795.879999999888241,3600508.439999999478459,10625817.109999999403954
20110315,3634951.800000000279397,3381041.480000000447035,3591420.840000000316650,10607415.120000001043081
20110316,3573191.760000000242144,3302727.559999999590218,3507814.919999999925494,10383735.240000000223517
20110317,3671217.869999999646097,3303627.720000000204891,3613231.079999999608845,10588077.669999999925494
20110318,3691325.790000000037253,3285174.439999999944121,3667756.679999999701977,10644257.910000000149012
20110321,3777143.520000000018626,3319830.600000000093132,3631406.279999999795109,10728381.400000000372529
20110322,3778579.800000000279397,3324781.480000000447035,3624136.200000000186265,10727498.480000000447035
20110323,3787556.550000000279397,3354486.760000000242144,3620501.160000000149012,10762545.470000000670552
20110324,3783965.849999999627471,3372489.960000000428408,3689566.919999999925494,10846023.730000000447035
20110325,3834235.649999999906868,3386892.520000000018626,3698654.520000000018626,10919783.689999999478459
20110328,3807664.470000000204891,3375640.520000000018626,3684114.359999999869615,10867420.349999999627471
20110329,3855420.780000000260770,3392293.480000000447035,3704107.079999999608845,10951822.339999999850988
20110330,3878401.260000000242144,3412097.000000000000000,3696837.000000000000000,10987336.259999999776483
20110331,3859729.619999999646097,3424699.240000000223517,3691384.439999999478459,10975814.299999998882413
20110401,3889532.429999999701977,3420198.439999999944121,3704107.079999999608845,11013838.949999999254942
20110404,3886300.800000000279397,3438201.640000000130385,3733187.399999999906868,11057690.839999999850988
20110405,3925798.500000000000000,3447653.319999999832362,3716829.719999999739230,11090282.539999999105930
20110406,3901740.809999999590218,3453054.279999999795109,3687749.399999999906868,11042545.490000000223517
20110407,3911794.770000000018626,3421098.600000000093132,3695019.479999999515712,11027913.849999999627471
20110408,3937647.809999999590218,3422448.840000000316650,3718647.239999999757856,11078744.890000000596046
20110411,3870142.649999999906868,3431900.520000000018626,3756815.160000000149012,11058859.330000000074506
20110412,3740877.450000000186265,3450353.799999999813735,3718647.239999999757856,10909879.490000000223517
20110413,3727591.859999999869615,3460705.640000000130385,3718647.239999999757856,10906945.740000000223517
20110414,3766012.349999999627471,3468807.079999999608845,3724099.799999999348074,10958920.229999998584390
20110415,3814845.869999999646097,3482759.559999999590218,3731369.879999999888241,11028976.309999998658895
20110418,3752367.689999999944121,3465656.520000000018626,3707742.119999999646097,10925767.330000000074506
20110419,3784683.990000000223517,3447653.319999999832362,3731369.879999999888241,10963708.190000001341105
