訓練日期,20100511 - 20100811
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10506417.699999999254942
真實報酬,506417.699999999254942

夏普值報酬,0.041941770000000
夏普值風險,0.027965834960622
夏普值,1.499750322458015

預期報酬,5691.577658143378358
風險,219975.708259532897500
趨勢值,0.025873664429476
找到最佳解世代,2484
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
IBM[10](4),MRK[17](3),VZ[26](1),
Stock#,IBM[10](4),MRK[17](3),VZ[26](1),
張數,26398,97323,124610,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,57.540000000037253,20.250000000000000,15.500000000000000,
20100511,3349699.760000000242144,3261313.979999999981374,3308411.000000000000000,9919425.740000000223517
20100512,3502544.180000000167638,3273965.970000000204891,3343301.799999999813735,10119812.949999999254942
20100513,3470866.579999999608845,3241849.380000000353903,3342055.700000000186265,10054772.660000000149012
20100514,3463211.160000000149012,3200000.490000000223517,3322118.100000000093132,9985330.750000000000000
20100517,3443412.660000000149012,3190268.189999999944121,3339563.500000000000000,9973245.349999999627471
20100518,3430477.639999999664724,3148419.300000000279397,3310903.200000000186265,9889801.140000000596046
20100519,3401703.820000000298023,3174696.509999999776483,3322118.100000000093132,9898519.429999999701977
20100520,3268129.939999999944121,3096838.109999999869615,3233645.000000000000000,9598614.050000000745058
20100521,3310894.700000000186265,3118249.169999999925494,3257320.899999999906868,9686465.769999999552965
20100524,3285288.640000000130385,3100731.029999999795109,3202492.500000000000000,9588513.169999999925494
20100525,3287136.500000000000000,3120195.630000000353903,3192523.700000000186265,9599856.830000001937151
20100526,3253083.080000000074506,3155231.910000000149012,3137695.299999999813735,9546011.289999999105930
20100527,3336500.760000000242144,3272019.509999999776483,3213707.399999999906868,9822228.669999999925494
20100528,3306671.020000000018626,3278832.119999999646097,3206230.800000000279397,9791734.939999999478459
20100601,3282384.860000000335276,3263260.439999999944121,3170093.900000000372529,9715740.200000001117587
20100602,3363426.719999999739230,3344038.529999999795109,3213707.399999999906868,9921173.650000000372529
20100603,3377945.619999999646097,3337225.919999999925494,3219937.899999999906868,9935110.439999999478459
20100604,3307198.979999999981374,3228224.160000000149012,3170093.900000000372529,9705518.040000000968575
20100607,3276841.279999999795109,3241849.380000000353903,3155140.700000000186265,9673832.359999999403954
20100608,3266018.100000000093132,3290510.880000000353903,3224922.299999999813735,9781452.280000001192093
20100609,3270769.740000000223517,3280778.580000000074506,3236137.199999999720603,9787686.519999999552965
20100610,3370554.180000000167638,3372262.199999999720603,3302180.500000000000000,10044997.879999998956919
20100611,3390880.639999999664724,3392700.029999999795109,3327102.500000000000000,10110684.169999999925494
20100614,3392200.540000000037253,3408271.710000000428408,3335825.199999999720603,10136298.449999999254942
20100615,3426253.959999999962747,3505594.710000000428408,3391899.699999999720603,10323749.369999999180436
20100616,3441036.839999999850988,3504621.479999999981374,3399376.300000000279397,10345035.620000001043081
20100617,3457667.579999999608845,3490023.029999999795109,3389407.500000000000000,10337099.109999999403954
20100618,3435757.240000000223517,3471531.660000000149012,3393145.800000000279397,10300435.700000001117587
20100621,3448956.240000000223517,3418004.009999999776483,3385669.200000000186265,10252630.449999999254942
20100622,3413318.940000000409782,3418977.240000000223517,3385669.200000000186265,10217966.380000000819564
20100623,3434701.320000000298023,3447200.910000000149012,3416821.700000000186265,10298724.929999999701977
20100624,3384017.160000000149012,3465692.279999999795109,3374454.299999999813735,10224164.739999998360872
20100625,3355771.300000000279397,3496835.640000000130385,3325856.400000000372529,10178464.339999999850988
20100628,3404871.579999999608845,3497808.869999999646097,3344547.899999999906868,10247229.349999999627471
20100629,3302183.360000000335276,3448174.140000000130385,3334579.100000000093132,10084937.599999999627471
20100630,3259682.580000000074506,3403405.560000000055879,3264797.500000000000000,9927886.640000000596046
20100701,3235660.399999999906868,3351824.369999999646097,3277258.500000000000000,9864744.269999999552965
