訓練日期,20100915 - 20101215
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11535267.059999998658895
真實報酬,1535267.059999998658895

夏普值報酬,0.144826706000000
夏普值風險,0.044391069493403
夏普值,3.262518962772977

預期報酬,26164.554714140831493
風險,85481.893935808795504
趨勢值,0.306083002018985
找到最佳解世代,2268
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](3),KO[14](1),NKE[19](6),XOM[29](2),
Stock#,INTC[11](3),KO[14](1),NKE[19](6),XOM[29](2),
張數,133404,86805,132837,40976,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,9.040000000037253,16.000000000000000,7.660000000149012,54.240000000223517,
20100915,2497331.919999999925494,2492187.550000000279397,2542507.840000000316650,2499590.240000000223517,10031617.550000000745058
20100916,2530682.919999999925494,2496527.800000000279397,2545164.580000000074506,2498360.959999999962747,10070736.260000001639128
20100917,2509338.279999999795109,2498263.899999999906868,2566418.500000000000000,2490575.520000000484288,10064596.199999999254942
20100920,2525346.759999999776483,2516492.949999999720603,2602284.490000000223517,2522127.040000000037253,10166251.239999998360872
20100921,2553361.600000000093132,2522569.299999999813735,2579702.200000000186265,2521717.280000000260770,10177350.380000000819564
20100922,2536019.080000000074506,2527777.600000000093132,2567746.870000000111759,2518029.440000000409782,10149572.990000000223517
20100923,2532016.959999999962747,2512152.700000000186265,2579702.200000000186265,2505736.640000000130385,10129608.500000000000000
20100924,2590714.720000000204891,2544270.549999999813735,2642135.590000000316650,2530322.240000000223517,10307443.099999999627471
20100927,2566702.000000000000000,2543402.500000000000000,2627523.520000000484288,2528683.200000000186265,10266311.220000000670552
20100928,2602721.080000000074506,2565103.750000000000000,2678001.580000000074506,2543024.800000000279397,10388851.210000000894070
20100929,2566702.000000000000000,2550346.899999999906868,2654090.920000000391155,2523766.080000000540167,10294905.900000000372529
20100930,2561365.839999999850988,2539930.300000000279397,2662061.140000000130385,2531961.280000000260770,10295318.560000002384186
20101001,2577374.320000000298023,2565971.799999999813735,2664717.879999999888241,2562693.280000000260770,10370757.280000001192093
20101004,2517342.520000000018626,2555555.200000000186265,2652762.549999999813735,2548351.680000000167638,10274011.950000001117587
20101005,2554695.639999999664724,2589409.149999999906868,2700583.870000000111759,2592196.000000000000000,10436884.660000000149012
20101006,2566702.000000000000000,2593749.399999999906868,2693942.020000000484288,2611044.959999999962747,10465438.380000000819564
20101007,2588046.639999999664724,2579860.600000000093132,2689956.910000000149012,2616371.840000000316650,10474235.990000000223517
20101008,2604055.120000000111759,2578992.550000000279397,2724494.530000000260770,2638089.120000000111759,10545631.320000000298023
20101011,2609391.279999999795109,2585068.899999999906868,2723166.160000000149012,2645055.040000000037253,10562681.379999998956919
20101012,2637406.120000000111759,2586805.000000000000000,2719181.049999999813735,2651201.440000000409782,10594593.609999999403954
20101013,2566702.000000000000000,2601561.850000000093132,2724494.530000000260770,2665133.280000000260770,10557891.660000000149012
20101014,2577374.320000000298023,2600693.800000000279397,2715195.940000000409782,2675787.040000000037253,10569051.100000001490116
20101015,2577374.320000000298023,2601561.850000000093132,2723166.160000000149012,2671279.680000000167638,10573382.009999999776483
20101018,2560031.800000000279397,2604166.000000000000000,2712539.200000000186265,2715943.520000000484288,10592680.520000001415610
20101019,2562699.880000000353903,2618922.850000000093132,2680658.320000000298023,2668411.360000000335276,10530692.410000000149012
20101020,2620063.600000000093132,2654512.899999999906868,2697927.129999999888241,2704880.000000000465661,10677383.630000000819564
20101021,2636072.080000000074506,2668401.699999999720603,2727151.270000000484288,2717582.560000000055879,10749207.609999999403954
20101022,2646744.399999999906868,2674478.049999999813735,2720509.420000000391155,2718402.080000000540167,10760133.949999999254942
20101025,2650746.520000000018626,2648436.550000000279397,2724494.530000000260770,2712665.440000000409782,10736343.040000000968575
20101026,2673425.199999999720603,2657985.100000000093132,2716524.310000000055879,2726187.520000000484288,10774122.129999998956919
20101027,2693435.800000000279397,2656249.000000000000000,2691285.280000000260770,2690948.160000000149012,10731918.240000002086163
20101028,2730788.919999999925494,2657117.049999999813735,2693942.020000000484288,2713484.959999999962747,10795332.949999999254942
20101029,2674759.240000000223517,2661457.299999999813735,2704568.979999999981374,2724548.479999999981374,10765334.000000000000000
20101101,2744129.320000000298023,2678818.299999999813735,2692613.649999999906868,2743397.440000000409782,10858958.710000000894070
20101102,2713446.399999999906868,2684894.649999999906868,2715195.940000000409782,2779866.080000000540167,10893403.070000000298023
20101103,2732122.959999999962747,2689234.899999999906868,2717852.680000000167638,2785192.959999999962747,10924403.500000000000000
20101104,2797490.919999999925494,2710936.149999999906868,2769659.110000000335276,2842969.120000000111759,11121055.300000000745058
20101105,2833510.000000000000000,2716144.449999999720603,2793569.770000000484288,2868374.240000000223517,11211598.460000000894070
20101108,2832175.959999999962747,2710936.149999999906868,2776300.959999999962747,2881486.560000000055879,11200899.629999998956919
20101109,2822837.680000000167638,2718748.600000000093132,2763017.260000000242144,2894189.120000000111759,11198792.660000000149012
20101110,2806829.199999999720603,2715276.399999999906868,2785599.549999999813735,2914677.120000000111759,11222382.269999999552965
20101111,2829507.880000000353903,2725693.000000000000000,2778957.700000000186265,2943360.320000000298023,11277518.900000002235174
20101112,2872197.160000000149012,2730901.300000000279397,2744420.080000000074506,2908940.479999999981374,11256459.020000001415610
20101115,2841514.240000000223517,2732637.399999999906868,2716524.310000000055879,2888042.720000000204891,11178718.670000001788139
20101116,2810831.320000000298023,2694443.199999999720603,2674016.470000000204891,2824939.680000000167638,11004230.669999999925494
20101117,2812165.359999999869615,2713540.300000000279397,2703240.610000000335276,2827808.000000000465661,11056754.270000001415610
20101118,2804161.120000000111759,2770831.600000000093132,2739106.600000000093132,2881076.800000000279397,11195176.120000001043081
20101119,2820169.600000000093132,2791664.799999999813735,2849361.310000000055879,2890501.280000000260770,11351696.990000002086163
20101122,2834844.040000000037253,2789928.700000000186265,2853346.420000000391155,2876159.680000000167638,11354278.839999999850988
20101123,2813499.399999999906868,2761283.049999999813735,2832092.500000000000000,2826578.720000000204891,11233453.669999999925494
20101124,2853520.600000000093132,2804685.550000000279397,2873271.970000000204891,2863457.120000000111759,11394935.240000002086163
20101126,2846850.399999999906868,2782984.300000000279397,2854674.790000000037253,2836822.720000000204891,11321332.210000000894070
20101129,2845516.359999999869615,2751734.500000000000000,2828107.390000000130385,2845837.440000000409782,11271195.690000001341105
