訓練日期,20161213 - 20170317
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11007320.650000000372529
真實報酬,1007320.650000000372529

夏普值報酬,0.092032065000000
夏普值風險,0.029703597324579
夏普值,3.098347449110018

預期報酬,16418.596820050170209
風險,57489.469136652871384
趨勢值,0.285593119341962
找到最佳解世代,1854
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](2),DIS[6](4),INTC[11](22),UNH[23](15),V[25](1),
Stock#,AAPL[0](2),DIS[6](4),INTC[11](22),UNH[23](15),V[25](1),
張數,17652,19219,55601,12539,25477,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,28.400000000139698,70.859999999869615,32.030000000027940,154.889999999897555,55.500000000000000,
20161213,2033362.280000000027940,1995964.009999999776483,2046148.829999999841675,2013165.949999999720603,2017833.900000000139698,10106474.970000000670552
20161214,2033362.280000000027940,1999807.809999999823049,2032248.579999999841675,2004639.430000000167638,2016050.509999999776483,10086108.609999999403954
20161215,2044483.040000000037253,2006342.269999999785796,2045592.820000000065193,2014169.070000000065193,2025477.000000000000000,10136064.199999999254942
20161216,2047130.840000000083819,1997117.149999999906868,2018904.340000000083819,2055798.549999999813735,1996178.449999999953434,10115129.330000000074506
20161219,2058957.680000000167638,2023831.559999999823049,2051152.920000000158325,2025704.949999999720603,1989809.199999999953434,10149456.309999998658895
20161220,2064429.800000000279397,2026906.599999999860302,2068945.239999999990687,2026331.899999999906868,1996433.219999999972060,10183046.760000001639128
20161221,2066371.520000000251457,2028828.500000000000000,2056157.009999999776483,2023071.760000000009313,1990828.280000000027940,10165257.070000000298023
20161222,2052779.480000000214204,2026137.839999999850988,2053376.959999999962747,2026206.510000000009313,1984713.800000000046566,10143214.589999999850988
20161223,2056839.440000000176951,2020948.709999999962747,2055601.000000000000000,2044388.059999999823049,1991083.050000000046566,10168860.259999999776483
20161227,2069901.920000000158325,2021333.089999999850988,2061161.100000000093132,2039497.849999999627471,1996178.449999999953434,10188072.409999998286366
20161228,2061075.920000000158325,2004612.559999999823049,2036696.660000000149012,2024451.049999999813735,1994904.599999999860302,10121740.790000000968575
20161229,2060546.360000000102445,2009609.500000000000000,2038364.689999999944121,2019435.449999999720603,1995668.909999999916181,10123624.910000000149012
20161230,2044483.040000000037253,2003075.039999999804422,2016680.300000000279397,2006896.449999999720603,1987771.039999999804422,10058905.869999999180436
20170103,2050308.200000000186265,2038822.379999999888241,2035028.630000000121072,2024576.439999999711290,2025477.000000000000000,10174212.649999998509884
20170104,2048013.440000000176951,2064960.219999999739230,2024464.439999999944121,2030344.379999999888241,2042037.050000000046566,10209819.529999999329448
20170105,2058428.120000000111759,2063807.079999999841675,2021128.380000000121072,2033729.909999999916181,2065985.430000000167638,10243078.919999999925494
20170106,2081375.719999999972060,2094557.479999999981374,2028356.509999999776483,2036613.879999999888241,2094519.669999999925494,10335423.259999999776483
20170109,2100439.879999999888241,2082641.699999999953434,2035584.639999999897555,2030845.939999999711290,2082800.250000000000000,10332312.410000000149012
20170110,2102558.120000000111759,2083026.079999999841675,2031692.570000000065193,2026206.510000000009313,2071590.370000000111759,10315073.650000000372529
20170111,2113855.400000000372529,2103398.219999999739230,2054488.980000000214204,2030093.599999999627471,2084074.099999999860302,10385910.300000000745058
20170112,2105029.400000000372529,2066689.929999999934807,2041144.739999999990687,2035986.930000000167638,2073118.990000000223517,10321969.990000000223517
20170113,2101322.480000000447035,2076876.000000000000000,2045592.820000000065193,2028965.090000000083819,2068023.590000000083819,10320779.980000000447035
20170117,2118268.400000000372529,2075146.289999999804422,2046148.829999999841675,2014670.629999999888241,2070316.520000000018626,10324550.669999999925494
20170118,2118091.879999999888241,2078797.899999999906868,2043924.789999999804422,1978056.750000000000000,2078723.930000000167638,10297595.250000000000000
