訓練日期,20101019 - 20110120
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11361362.890000000596046
真實報酬,1361362.890000000596046

夏普值報酬,0.127436289000000
夏普值風險,0.039307366460531
夏普值,3.242045969372191

預期報酬,22942.401236427693220
風險,90501.399750949552981
趨勢值,0.253503275082626
找到最佳解世代,2404
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](3),DIS[6](4),INTC[11](13),KO[14](10),WBA[27](9),XOM[29](1),
Stock#,CAT[3](3),DIS[6](4),INTC[11](13),KO[14](10),WBA[27](9),XOM[29](1),
張數,20771,47961,86850,55555,48435,25145,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,0.960000000195578,21.250000000000000,14.500000000000000,16.000000000000000,17.650000000139698,55.399999999906868,
20101019,1631563.010000000242144,1642205.890000000130385,1668403.000000000000000,1676110.350000000093132,1628886.700000000186265,1637497.800000000046566,9884670.750000000000000
20101020,1668327.680000000167638,1660431.069999999832362,1705748.500000000000000,1698887.899999999906868,1648260.700000000186265,1659876.850000000093132,10041536.700000001117587
20101021,1638625.150000000139698,1663308.729999999981374,1716170.500000000232831,1707776.699999999953434,1651651.150000000139698,1667671.799999999813735,10045208.030000001192093
20101022,1626993.390000000130385,1677217.419999999925494,1723118.500000000000000,1711665.549999999813735,1650198.100000000093132,1668174.699999999953434,10057371.660000000149012
20101025,1641948.510000000242144,1700718.310000000055879,1725724.000000000000000,1694999.050000000046566,1668119.050000000046566,1664654.399999999906868,10096167.320000000298023
20101026,1633640.110000000335276,1724698.810000000055879,1740488.500000000000000,1701110.100000000093132,1653588.550000000279397,1672952.250000000000000,10126482.320000000298023
20101027,1624708.580000000074506,1722780.370000000111759,1753516.000000000000000,1699999.000000000000000,1644385.900000000372529,1651327.550000000046566,10096721.400000002235174
20101028,1614738.500000000000000,1751077.359999999869615,1777834.000000000000000,1700554.550000000046566,1653588.550000000279397,1665157.299999999813735,10162954.259999997913837
20101029,1632601.560000000055879,1732852.180000000167638,1741357.000000000000000,1703332.300000000046566,1640995.450000000186265,1671946.449999999720603,10123088.939999999478459
20101101,1646518.130000000121072,1728056.080000000074506,1786519.000000000000000,1714443.300000000046566,1649229.399999999906868,1683513.149999999906868,10208283.060000000521541
20101102,1656488.210000000195578,1731892.959999999962747,1766543.500000000000000,1718332.149999999906868,1670540.800000000279397,1705892.199999999953434,10249693.820000000298023
20101103,1659188.440000000176951,1740525.939999999944121,1778702.500000000000000,1721109.900000000139698,1703960.950000000186265,1709161.049999999813735,10312652.780000001192093
20101104,1727732.740000000223517,1776017.080000000074506,1821259.000000000000000,1734998.650000000139698,1741255.900000000372529,1744615.499999999767169,10545882.870000001043081
20101105,1735210.300000000279397,1784170.450000000186265,1844708.499999999767169,1738331.949999999953434,1702023.550000000279397,1760205.399999999906868,10564654.150000000372529
20101108,1726486.480000000214204,1777455.910000000149012,1843840.000000000000000,1734998.650000000139698,1699601.800000000279397,1768251.799999999813735,10550638.640000000596046
20101109,1701353.570000000065193,1767863.709999999962747,1837760.500000000000000,1739998.600000000093132,1706867.050000000279397,1776046.749999999767169,10529894.180000001564622
20101110,1712777.620000000111759,1774098.640000000130385,1827338.500000000000000,1737776.400000000139698,1700570.500000000000000,1788619.249999999767169,10541184.910000000149012
20101111,1712362.200000000186265,1723259.979999999981374,1842103.000000000000000,1744443.000000000000000,1705414.000000000232831,1806220.749999999767169,10533806.929999999701977
20101112,1683282.800000000279397,1810549.000000000000000,1869895.000000000000000,1747776.300000000046566,1687008.699999999953434,1785098.949999999720603,10583614.750000000000000
20101115,1699484.180000000167638,1786568.500000000000000,1849919.500000000000000,1748887.400000000139698,1671509.500000000000000,1772275.000000000000000,10528648.080000000074506
20101116,1669366.230000000214204,1770741.370000000111759,1829944.000000000000000,1724443.199999999953434,1647292.000000000000000,1733551.699999999953434,10375342.500000000000000
20101117,1685983.030000000260770,1785129.669999999925494,1830812.499999999767169,1736665.300000000046566,1647292.000000000000000,1735311.850000000093132,10421198.349999999627471
20101118,1726278.770000000251457,1802395.629999999888241,1825601.500000000000000,1773331.600000000093132,1667150.350000000325963,1768000.349999999860302,10562762.199999999254942
20101119,1744141.830000000074506,1775057.859999999869615,1836023.500000000000000,1786664.799999999813735,1683618.250000000000000,1773783.699999999953434,10599293.939999997615814
20101122,1744764.960000000195578,1772180.200000000186265,1845577.000000000000000,1785553.699999999953434,1689914.800000000279397,1764982.949999999953434,10602977.609999999403954
20101123,1716308.690000000176951,1732372.569999999832362,1831681.000000000000000,1767220.549999999813735,1645838.949999999953434,1734557.500000000000000,10427983.259999999776483
20101124,1759096.950000000186265,1768343.319999999832362,1857736.000000000000000,1794998.050000000046566,1661822.500000000232831,1757187.999999999767169,10599188.820000000298023
