訓練日期,20101011 - 20110111
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11406792.410000002011657
真實報酬,1406792.410000002011657

夏普值報酬,0.131979241000000
夏普值風險,0.038439864081434
夏普值,3.433395100471846

預期報酬,22180.057359632744920
風險,84223.695521173474845
趨勢值,0.263346997806060
找到最佳解世代,1978
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
AAPL[0](5),CAT[3](11),DIS[6](4),KO[14](6),XOM[29](1),
Stock#,AAPL[0](5),CAT[3](11),DIS[6](4),KO[14](6),XOM[29](1),
張數,47607,24884,57954,67317,31065,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,29.930000000167638,72.919999999925494,7.460000000195578,11.929999999934807,35.300000000046566,
20101011,2008569.260000000009313,1990295.239999999990687,2003477.240000000223517,2004712.189999999944121,2005281.050000000046566,10012334.980000000447035
20101012,2030468.480000000214204,1974369.479999999981374,1998261.380000000121072,2006058.530000000027940,2009940.800000000046566,10019098.669999999925494
20101013,2041418.090000000316650,1998009.280000000027940,2023181.600000000093132,2017502.419999999925494,2020502.900000000139698,10100614.290000000968575
20101014,2056176.260000000009313,1988553.359999999869615,2019704.360000000335276,2016829.250000000000000,2028579.800000000046566,10109843.030000001192093
20101015,2140440.650000000372529,1984571.919999999925494,2021442.980000000447035,2017502.419999999925494,2025162.649999999906868,10189120.620000001043081
20101018,2162815.939999999944121,1996765.079999999841675,2013908.960000000195578,2019521.929999999934807,2059023.500000000000000,10252035.410000000149012
20101019,2104735.400000000372529,1954711.119999999878928,1984352.420000000391155,2030965.820000000065193,2022988.100000000093132,10097752.860000001266599
20101020,2111876.450000000186265,1998755.799999999813735,2006374.939999999944121,2058565.789999999804422,2050635.950000000186265,10226208.929999999701977
20101021,2105211.470000000204891,1963171.679999999934807,2009852.180000000167638,2069336.509999999776483,2060266.099999999860302,10207837.939999999478459
20101022,2090929.370000000344589,1949236.639999999897555,2026658.840000000083819,2074048.699999999953434,2060887.400000000139698,10201760.950000001117587
20101025,2100450.770000000018626,1967153.119999999878928,2055056.300000000279397,2053853.600000000093132,2056538.300000000046566,10233052.089999999850988
20101026,2095214.000000000000000,1957199.520000000018626,2084033.300000000279397,2061258.469999999972060,2066789.750000000000000,10264495.039999999105930
