訓練日期,20120411 - 20120712
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11923506.730000000447035
真實報酬,1923506.730000000447035

夏普值報酬,0.183650673000000
夏普值風險,0.052738408356047
夏普值,3.482294569076498

預期報酬,30792.929824053811899
風險,84825.125242674839683
趨勢值,0.363016614899876
找到最佳解世代,2357
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](2),VZ[26](1),WMT[28](3),
Stock#,DIS[6](2),VZ[26](1),WMT[28](3),
張數,81320,90579,55620,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,26.199999999720603,25.800000000279397,26.399999999906868,
20120411,3364234.599999999627471,3385868.820000000298023,3326102.399999999906868,10076206.820000000298023
20120412,3427664.199999999720603,3401267.250000000000000,3345013.199999999720603,10173945.649999998509884
20120413,3403268.199999999720603,3374999.340000000316650,3324433.800000000279397,10102702.339999999850988
20120416,3387817.399999999441206,3390397.770000000484288,3369486.000000000000000,10147702.169999999925494
20120417,3470763.799999999813735,3418477.260000000242144,3441235.799999999813735,10330477.859999999403954
20120418,3455313.000000000000000,3411230.939999999944121,3451803.600000000093132,10318348.539999999105930
20120419,3421971.799999999813735,3455614.650000000372529,3434561.399999999906868,10312148.849999999627471
20120420,3443928.199999999720603,3508150.470000000204891,3473495.399999999906868,10425575.070000000298023
20120423,3416279.399999999441206,3493657.830000000074506,3311641.199999999720603,10221579.429999999701977
20120424,3430103.799999999813735,3577896.300000000279397,3213193.800000000279397,10221194.900000000372529
20120425,3472390.199999999720603,3576084.720000000204891,3190389.600000000093132,10238865.519999999552965
20120426,3526061.399999999906868,3635866.860000000335276,3278825.399999999906868,10440754.660000000149012
20120427,3525248.199999999720603,3644018.970000000204891,3283275.000000000000000,10452543.169999999925494
20120430,3505731.399999999906868,3657605.820000000298023,3276600.599999999627471,10439938.820000000298023
20120501,3561028.999999999534339,3673910.040000000502914,3285499.799999999813735,10520439.839999999850988
20120502,3540698.999999999534339,3677533.200000000186265,3282162.599999999627471,10500395.799999998882413
20120503,3562655.399999999906868,3681156.360000000335276,3281050.200000000186265,10524862.960000000894070
20120504,3491093.799999999813735,3646736.340000000316650,3264920.399999999906868,10402751.540000000968575
20120507,3563468.599999999627471,3671192.670000000391155,3292174.199999999720603,10526836.469999998807907
20120508,3602502.199999999720603,3673004.250000000000000,3284387.399999999906868,10559894.849999999627471
20120509,3661052.600000000093132,3645830.550000000279397,3283275.000000000000000,10590159.150000000372529
20120510,3682195.799999999813735,3673004.250000000000000,3292174.199999999720603,10647375.250000000000000
20120511,3704965.399999999906868,3728257.439999999944121,3304966.799999999813735,10738190.640000000596046
20120514,3673250.599999999627471,3703801.110000000335276,3285499.799999999813735,10662552.509999999776483
20120515,3660239.399999999441206,3718293.750000000000000,3301073.399999999906868,10679607.549999998882413
20120516,3665931.799999999813735,3702895.320000000298023,3292174.199999999720603,10661002.320000000298023
20120517,3604941.799999999813735,3747279.030000000260770,3430668.000000000000000,10782889.830000000074506
20120518,3562655.399999999906868,3761771.670000000391155,3472383.000000000000000,10796811.070000000298023
20120521,3609820.999999999534339,3744561.660000000614673,3506311.199999999720603,10860694.859999999403954
20120522,3609820.999999999534339,3749090.610000000335276,3544688.999999999534339,10903601.609999999403954
20120523,3609820.999999999534339,3749090.610000000335276,3544688.999999999534339,10903601.609999999403954
20120524,3613886.999999999534339,3749090.610000000335276,3619219.799999999348074,10982198.409999998286366
20120525,3618766.199999999720603,3754525.350000000558794,3632568.600000000093132,11005861.150000000372529
20120529,3698459.799999999348074,3781699.050000000279397,3653148.000000000465661,11133307.849999999627471
20120530,3675690.199999999720603,3751807.980000000447035,3639799.199999999720603,11067298.379999998956919
20120531,3717163.399999999906868,3771735.360000000335276,3660934.799999999348074,11149834.559999998658895
20120601,3610634.199999999720603,3716482.170000000391155,3645917.399999999906868,10973034.769999999552965
20120604,3611447.399999999441206,3744561.660000000614673,3670390.199999999720603,11026400.259999999776483
20120605,3646415.000000000000000,3731880.600000000558794,3643136.399999999906868,11021433.000000000000000
20120606,3702525.799999999813735,3783510.630000000353903,3667053.000000000465661,11153090.429999999701977
20120607,3710657.799999999813735,3771735.360000000335276,3663715.800000000279397,11146109.960000000894070
20120608,3760263.000000000000000,3844198.560000000055879,3794422.799999999813735,11398885.359999999403954
20120611,3724482.199999999720603,3855068.040000000502914,3756045.000000000000000,11335596.240000000223517
20120612,3771647.799999999813735,3889488.060000000055879,3766612.799999999813735,11427749.660000000149012
20120613,3759449.799999999348074,3894017.010000000242144,3730459.799999999348074,11383927.609999999403954
20120614,3836703.799999999813735,3962857.050000000279397,3761606.999999999534339,11561168.849999999627471
20120615,3829385.000000000000000,3944741.250000000000000,3768281.399999999906868,11542408.650000000372529
20120618,3830198.199999999720603,3969197.580000000074506,3788860.800000000279397,11588257.580000000074506
20120619,3863539.399999999441206,3961045.470000000204891,3771618.600000000093132,11596204.469999998807907
20120620,3881429.799999999348074,3922096.500000000000000,3811108.799999999813735,11614636.099999997764826
20120621,3854594.199999999720603,3924813.870000000111759,3765500.399999999906868,11544909.470000000670552
20120622,3860286.599999999627471,3980972.850000000558794,3743252.399999999906868,11584512.849999999627471
20120625,3797670.199999999720603,3953799.150000000372529,3792198.000000000465661,11543668.349999999627471
20120626,3846462.199999999720603,3971009.160000000614673,3814446.000000000000000,11631918.359999999403954
20120627,3892814.599999999627471,3965574.420000000391155,3815002.200000000186265,11673392.219999998807907
20120628,3888748.599999999627471,3982784.430000000167638,3798872.399999999906868,11670406.429999999701977
20120629,3944046.199999999720603,4025356.560000000055879,3877852.799999999813735,11847256.559999998658895
20120702,3961936.599999999627471,4069740.270000000484288,3857273.399999999441206,11888951.269999999552965
20120703,3951365.000000000000000,4071551.850000000558794,3935141.399999999906868,11958059.250000000000000
20120705,3912331.399999999906868,4066117.110000000335276,3953496.000000000000000,11931945.509999999776483
20120706,3906638.999999999534339,4023544.980000000447035,3969069.600000000093132,11899254.580000000074506
20120709,3903386.199999999720603,4052530.260000000242144,3991317.600000000093132,11947235.060000000521541
20120710,3851341.399999999906868,4048907.100000000558794,4010784.600000000093132,11911034.099999999627471
20120711,3844022.600000000093132,4067022.900000000372529,4019127.600000000093132,11930174.099999999627471
20120712,3855407.399999999441206,4046189.730000000447035,4021908.600000000093132,11923506.730000000447035
