訓練日期,20131021 - 20140123
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11199096.460000000894070
真實報酬,1199096.460000000894070

夏普值報酬,0.111209646000000
夏普值風險,0.033971185195738
夏普值,3.273646337601200

預期報酬,20278.762563711105031
風險,68968.064755426064949
趨勢值,0.294031195969083
找到最佳解世代,2012
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](10),BA[2](7),MRK[17](9),V[25](14),XOM[29](2),
Stock#,AAPL[0](10),BA[2](7),MRK[17](9),V[25](14),XOM[29](2),
張數,27510,16323,42909,39912,22844,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,23.000000000000000,106.040000000037253,11.510000000009313,9.679999999934807,7.800000000046566,
20131021,2048967.800000000046566,1982860.850000000093132,1995709.099999999860302,1996008.799999999813735,1992689.920000000158325,10016236.470000000670552
20131022,2043190.699999999953434,1999347.080000000074506,1993992.739999999990687,1995609.679999999934807,2009822.920000000158325,10041963.120000001043081
20131023,2062997.899999999906868,2106099.500000000000000,1997854.550000000046566,1984434.319999999832362,2001370.640000000130385,10152756.910000000149012
20131024,2090507.899999999906868,2105446.580000000074506,1983265.489999999990687,2024745.439999999711290,2019874.280000000027940,10223839.689999999478459
20131025,2067124.399999999906868,2141520.410000000149012,1996996.369999999878928,2026341.920000000158325,2009594.479999999981374,10241577.580000000074506
20131028,2082530.000000000000000,2120137.279999999795109,1945934.660000000149012,2026341.920000000158325,2015533.920000000158325,10190477.779999999329448
20131029,2030536.100000000093132,2116546.220000000204891,1955803.729999999981374,2037916.400000000139698,2031524.720000000204891,10172327.170000001788139
20131030,2062997.899999999906868,2116872.680000000167638,1941214.670000000158325,2033925.199999999953434,2028783.440000000176951,10183793.890000000596046
20131031,2054194.699999999953434,2130257.540000000037253,1934778.320000000065193,1962482.719999999972060,2047287.080000000074506,10129000.359999999403954
20131101,2043740.900000000139698,2171554.729999999981374,1940785.579999999841675,1987228.159999999916181,2051855.879999999888241,10195165.250000000000000
20131104,2070150.500000000000000,2167637.209999999962747,1961810.989999999990687,1960088.000000000000000,2103940.200000000186265,10263626.900000000372529
20131105,2064923.600000000093132,2180369.149999999906868,1946363.750000000000000,1969267.760000000009313,2101427.360000000335276,10262351.620000001043081
20131106,2047317.199999999953434,2172534.109999999869615,1972109.150000000139698,1986030.799999999813735,2129525.480000000447035,10307516.740000000223517
20131107,2014030.099999999860302,2146743.770000000018626,1966101.890000000130385,1956895.040000000037253,2100742.040000000037253,10184512.839999999850988
20131108,2045941.700000000186265,2179063.310000000055879,2008152.709999999962747,1978447.520000000018626,2118331.919999999925494,10329937.160000000149012
20131111,2039889.500000000232831,2163393.229999999981374,2016734.510000000009313,1988425.520000000018626,2123586.040000000037253,10332028.800000000745058
20131112,2043740.900000000139698,2160128.630000000353903,2042050.820000000065193,1978447.520000000018626,2116961.280000000260770,10341329.150000002235174
20131113,2046216.799999999813735,2173839.949999999720603,2031323.570000000065193,1993614.080000000074506,2115133.759999999776483,10360128.160000000149012
20131114,2075652.500000000000000,2205180.109999999869615,2051919.890000000130385,1997206.159999999916181,2129525.480000000447035,10459484.140000000596046
20131115,2063273.000000000000000,2221339.880000000353903,2062647.140000000130385,2015565.679999999934807,2176355.679999999701977,10539181.380000000819564
20131118,2038238.900000000139698,2258556.320000000298023,2060072.599999999860302,1994811.439999999711290,2180467.600000000558794,10532146.859999999403954
20131119,2041815.199999999953434,2236030.580000000074506,2062647.140000000130385,1969666.879999999888241,2179782.280000000260770,10489942.080000000074506
20131120,2023933.699999999720603,2162087.389999999664724,2065221.680000000167638,1976851.040000000037253,2162877.719999999739230,10390971.529999999329448
20131121,2048142.500000000000000,2169922.430000000167638,2086247.089999999850988,2011574.479999999981374,2163106.160000000149012,10478992.660000000149012
20131122,2042915.600000000093132,2219544.350000000093132,2099977.969999999739230,2016763.040000000037253,2170416.240000000223517,10549617.199999999254942
20131125,2058321.199999999720603,2171065.040000000037253,2130872.450000000186265,2014767.439999999711290,2172243.759999999776483,10547269.890000000596046
20131126,2096285.000000000000000,2200119.979999999981374,2127439.729999999515712,2030732.239999999990687,2153511.679999999701977,10608088.629999998956919
20131127,2145527.899999999906868,2199140.600000000093132,2138166.979999999515712,2035521.679999999934807,2142775.000000000000000,10661132.160000000149012
20131129,2185417.399999999906868,2191468.790000000037253,2138166.979999999515712,2030333.119999999878928,2135464.919999999925494,10680851.209999999031425
20131202,2166435.500000000000000,2189999.720000000204891,2153185.129999999888241,2046697.040000000037253,2136378.679999999701977,10692696.070000000298023
20131203,2225582.000000000000000,2154742.040000000037253,2135163.349999999627471,2013170.959999999729916,2156252.959999999962747,10684911.309999998658895
20131204,2220355.099999999627471,2146580.540000000037253,2115854.299999999813735,2023148.959999999729916,2162649.280000000260770,10668588.179999999701977
20131205,2231909.299999999813735,2166657.830000000074506,2094399.800000000046566,2012771.839999999850988,2150313.519999999552965,10656052.289999999105930
20131206,2200823.000000000000000,2206649.180000000167638,2119287.020000000484288,2014368.319999999832362,2185036.400000000372529,10726163.919999999925494
20131209,2226132.200000000186265,2198487.680000000167638,2126581.549999999813735,2011574.479999999981374,2189376.759999999776483,10752152.669999999925494
20131210,2222555.900000000372529,2182491.139999999664724,2121003.379999999888241,1990022.000000000000000,2186407.040000000037253,10702479.460000000894070
20131211,2206049.899999999906868,2163882.919999999925494,2100407.060000000521541,2052284.719999999972060,2153283.240000000223517,10675907.840000001713634
20131212,2203023.799999999813735,2170412.120000000111759,2073374.390000000130385,2029934.000000000000000,2178411.639999999664724,10655155.949999999254942
20131213,2178815.000000000000000,2184613.130000000353903,2075948.930000000167638,2069047.760000000009313,2177269.440000000409782,10685694.260000001639128
20131216,2190919.399999999906868,2199140.600000000093132,2063505.320000000065193,2073038.959999999729916,2220901.480000000447035,10747505.759999999776483
20131217,2181015.799999999813735,2218075.279999999795109,2055352.609999999869615,2127718.400000000372529,2210164.799999999813735,10792326.890000000596046
20131218,2164509.800000000279397,2211709.310000000055879,2098261.610000000335276,2148871.759999999776483,2273899.560000000521541,10897252.040000000968575
20131219,2139750.799999999813735,2206485.949999999720603,2093541.619999999878928,2156055.919999999925494,2271386.719999999739230,10867221.009999997913837
20131220,2157632.300000000279397,2230970.449999999720603,2116283.389999999664724,2154858.559999999590218,2254253.719999999739230,10913998.419999998062849
20131223,2240437.399999999906868,2226563.240000000223517,2117999.750000000000000,2175612.799999999813735,2250370.240000000223517,11010983.430000001564622
20131224,2231084.000000000000000,2233582.130000000353903,2120145.200000000186265,2182397.839999999850988,2266589.480000000447035,11033798.650000002235174
20131226,2216228.600000000093132,2257087.250000000000000,2133446.990000000223517,2197165.280000000260770,2304967.400000000372529,11108895.520000001415610
20131227,2201098.100000000093132,2234724.740000000223517,2136450.620000000111759,2191976.719999999739230,2318902.240000000223517,11083152.419999999925494
20131230,2179365.200000000186265,2218728.199999999720603,2142886.969999999739230,2204349.439999999478459,2291489.440000000409782,11036819.250000000000000
20131231,2204949.500000000000000,2228032.310000000055879,2147606.959999999962747,2221910.719999999739230,2311820.600000000558794,11114320.089999999850988
20140102,2173863.199999999720603,2230970.449999999720603,2123577.919999999925494,2205147.679999999701977,2278696.799999999813735,11012256.050000000745058
20140103,2125995.799999999813735,2246477.300000000279397,2133876.080000000074506,2206744.160000000149012,2273214.240000000223517,10986307.580000000074506
20140106,2137550.000000000000000,2259372.470000000204891,2134305.169999999925494,2193573.200000000186265,2276640.839999999850988,11001441.679999999701977
20140107,2122419.500000000000000,2293650.770000000018626,2150181.500000000000000,2210336.240000000223517,2308850.879999999888241,11085438.890000000596046
20140108,2135899.399999999906868,2298710.899999999906868,2136450.620000000111759,2217520.400000000372529,2301312.360000000335276,11089893.679999999701977
