訓練日期,20110823 - 20111122
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11778318.400000000372529
真實報酬,1778318.400000000372529

夏普值報酬,0.169131840000000
夏普值風險,0.061954748563981
夏普值,2.729925371666002

預期報酬,39467.114192281005671
風險,266558.615130034508184
趨勢值,0.148061671812888
找到最佳解世代,1222
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](2),IBM[10](3),INTC[11](1),
Stock#,CSCO[4](2),IBM[10](3),INTC[11](1),
張數,222074,20966,171998,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,2.260000000242144,158.320000000298023,11.760000000242144,
20110823,3428824.820000000298023,3445291.439999999944121,3390092.340000000316650,10264209.599999999627471
20110824,3433266.300000000279397,3496448.479999999981374,3405572.160000000149012,10335287.940000001341105
20110825,3348878.180000000167638,3471708.600000000558794,3340212.920000000391155,10160800.700000001117587
20110826,3402175.940000000409782,3546347.560000000055879,3400412.220000000204891,10348936.720000000670552
20110829,3495447.020000000484288,3619309.240000000223517,3491571.160000000149012,10606328.420000001788139
20110830,3471018.880000000353903,3617002.979999999981374,3481251.279999999795109,10569274.140000000596046
20110831,3479901.840000000316650,3604423.380000000353903,3462331.500000000000000,10546657.720000000670552
20110901,3513212.940000000409782,3571297.100000000558794,3438251.779999999795109,10522762.820000000298023
20110902,3422162.600000000093132,3501061.000000000000000,3378052.480000000447035,10301277.080000000074506
20110906,3393292.979999999981374,3461854.580000000540167,3360852.680000000167638,10216001.240000000223517
20110907,3526537.380000000353903,3507979.780000000260770,3453731.600000000093132,10488249.759999999776483
20110908,3617587.720000000204891,3464789.820000000298023,3422771.959999999962747,10505150.500000000000000
20110909,3513212.940000000409782,3383441.740000000223517,3388372.360000000335276,10285028.040000000968575
20110912,3573172.920000000391155,3405456.040000000037253,3488131.200000000651926,10466761.160000002011657
20110913,3630912.160000000614673,3426631.700000000651926,3570690.240000000689179,10628235.100000001490116
20110914,3626470.679999999701977,3506512.160000000614673,3632609.520000000484288,10765593.359999999403954
