訓練日期,20120210 - 20120514
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11163769.179999999701977
真實報酬,1163769.179999999701977

夏普值報酬,0.107676918000000
夏普值風險,0.039226689899519
夏普值,2.744991185231771

預期報酬,23053.558932792384439
風險,109586.599994139411137
趨勢值,0.210368411229341
找到最佳解世代,2751
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,2
HD[9](2),KO[14](1),
Stock#,HD[9](2),KO[14](1),
張數,110448,147102,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,19.040000000037253,3.019999999552965,
20120210,5006626.879999999888241,4997057.959999999031425,10003684.839999999850988
20120213,5072895.679999999701977,5033833.459999999031425,10106729.139999998733401
20120214,5087253.919999999925494,5067666.919999999925494,10154920.839999999850988
20120215,5048597.120000000111759,5030891.419999999925494,10079488.539999999105930
20120216,5072895.679999999701977,5064724.879999999888241,10137620.559999998658895
20120217,5159045.120000000111759,5079435.080000000074506,10238480.199999999254942
20120221,5182239.200000000186265,5061782.839999998919666,10244022.039999999105930
20120222,5143582.400000000372529,5094145.280000000260770,10237727.679999999701977
20120223,5185552.640000000596046,5088261.200000000186265,10273813.839999999850988
20120224,5188866.080000000074506,5075022.019999999552965,10263888.099999999627471
20120227,5183343.679999999701977,5063253.859999999403954,10246597.539999999105930
20120228,5216478.080000000074506,5063253.859999999403954,10279731.939999999478459
20120229,5254030.400000000372529,5138275.879999999888241,10392306.280000001192093
20120301,5241881.120000000111759,5119152.619999999180436,10361033.739999998360872
20120302,5236358.719999999739230,5088261.200000000186265,10324619.919999999925494
20120305,5234149.759999999776483,5092674.259999998845160,10326824.019999999552965
20120306,5123701.759999999776483,5057369.780000000260770,10181071.539999999105930
20120307,5234149.759999999776483,5060311.819999999366701,10294461.579999998211861
20120308,5281642.400000000372529,5095616.299999999813735,10377258.699999999254942
20120309,5312567.839999999850988,5113268.539999999105930,10425836.379999998956919
20120312,5366687.360000000335276,5160341.179999999701977,10527028.539999999105930
20120313,5427433.759999999776483,5167696.280000000260770,10595130.039999999105930
20120314,5463881.599999999627471,5164754.239999999292195,10628635.839999999850988
20120315,5434060.640000000596046,5173580.359999999403954,10607641.000000000000000
20120316,5417493.439999999478459,5160341.179999999701977,10577834.619999999180436
20120319,5393194.879999999888241,5177993.419999999925494,10571188.300000000745058
20120320,5453941.280000000260770,5192703.619999999180436,10646644.899999998509884
20120321,5499224.959999999962747,5230950.139999999664724,10730175.099999999627471
20120322,5487075.679999999701977,5253015.439999999478459,10740091.119999999180436
20120323,5471612.959999999962747,5257428.500000000000000,10729041.460000000894070
20120326,5536777.280000000260770,5288319.919999999925494,10825097.199999999254942
20120327,5526836.959999999962747,5286848.899999999441206,10813685.859999999403954
20120328,5512478.719999999739230,5344218.679999999701977,10856697.399999998509884
20120329,5512478.719999999739230,5429537.839999998919666,10942016.559999998658895
20120330,5556657.919999999925494,5444248.039999999105930,11000905.959999999031425
20120402,5521314.560000000521541,5453074.159999999217689,10974388.719999998807907
20120403,5522419.040000000037253,5425124.780000000260770,10947543.820000000298023
20120404,5505851.839999999850988,5403059.479999999515712,10908911.320000000298023
20120405,5590896.799999999813735,5404530.500000000000000,10995427.300000000745058
20120409,5586478.879999999888241,5360399.899999999441206,10946878.779999999329448
20120410,5451732.320000000298023,5297146.039999999105930,10748878.359999999403954
20120411,5494807.040000000037253,5304501.139999999664724,10799308.179999999701977
20120412,5592001.280000000260770,5311856.239999999292195,10903857.519999999552965
20120413,5628449.120000000111759,5291261.959999999031425,10919711.079999998211861
20120416,5709076.160000000149012,5328037.459999999031425,11037113.619999999180436
20120417,5746628.480000000447035,5439834.979999999515712,11186463.460000000894070
20120418,5722329.919999999925494,5456016.200000000186265,11178346.120000001043081
20120419,5694717.919999999925494,5429537.839999998919666,11124255.759999997913837
20120420,5683673.120000000111759,5453074.159999999217689,11136747.279999999329448
20120423,5643911.839999999850988,5420711.719999999739230,11064623.559999998658895
20120424,5658270.080000000074506,5451603.139999999664724,11109873.219999998807907
20120425,5733374.719999999739230,5511914.959999999031425,11245289.679999999701977
20120426,5728956.799999999813735,5567813.719999999739230,11296770.519999999552965
20120427,5737792.640000000596046,5636951.659999999217689,11374744.300000000745058
20120430,5720120.959999999962747,5613415.339999998919666,11333536.299999998882413
20120501,5778658.400000000372529,5659016.959999999031425,11437675.359999999403954
20120502,5821733.120000000111759,5675198.179999999701977,11496931.300000000745058
20120503,5795225.599999999627471,5695792.459999999031425,11491018.059999998658895
20120504,5738897.120000000111759,5663430.019999999552965,11402327.140000000596046
20120507,5675941.759999999776483,5684024.299999999813735,11359966.059999998658895
20120508,5590896.799999999813735,5673727.159999999217689,11264623.959999999031425
20120509,5534568.320000000298023,5647248.799999999813735,11181817.120000001043081
20120510,5590896.799999999813735,5694321.439999999478459,11285218.239999998360872
20120511,5559971.360000000335276,5698734.500000000000000,11258705.859999999403954
20120514,5509165.280000000260770,5654603.899999999441206,11163769.179999999701977
